Accession_id	Assembly_id	GenBank_id	Refseq_id
SAMN02603879	376848	GCA_000240165.1	GCF_000240165.1
SAMN14411170	6465981	GCA_011765705.1	
SAMN14411171	6466001	GCA_011765735.1	
SAMD00106498	2168011	GCA_003945305.1	GCF_003945305.1
SAMN05710194	1533101	GCA_002897315.1	GCF_002897315.1
SAMD00060936	32108	GCA_000010625.1	GCF_000010625.1
SAMN05967630	1679721	GCA_003054475.1	GCF_003054475.1
SAMN12084250	5358031	GCA_009711975.1	GCF_009711975.1
SAMN12084370	5358071	GCA_009712085.1	GCF_009712085.1
SAMN12084395	5358081	GCA_009712075.1	GCF_009712075.1
SAMN12084379	5358101	GCA_009712125.1	GCF_009712125.1
SAMN02604187 	457528	GCA_000312705.1	GCF_000312705.1
SAMN05967626	4439041	GCA_008121535.1	GCF_008121535.1
SAMN12084251	5358011	GCA_009711935.1	GCF_009711935.1
SAMN12084254	5358041	GCA_009711985.1	GCF_009711985.1
SAMN12084240	5358021	GCA_009711965.1	GCF_009711965.1
SAMN12084252	5358001	GCA_009711925.1	GCF_009711925.1
SAMN12084309	5358051	GCA_009712025.1	GCF_009712025.1
SAMN12084337	5358091	GCA_009712065.1	GCF_009712065.1
SAMN02598253	276508	GCA_000204075.1	GCF_000204075.1
SAMN02470243	219718	GCA_000175835.1	GCF_000175835.1
SAMN04901525	1822741	GCA_003326215.1	
SAMN02909965	338961	GCA_000734895.2	GCF_000734895.2
SAMN12084330	5358061	GCA_009712035.1	GCF_009712035.1
SAMN03329508	654711	GCA_001578075.1	GCF_001578075.1
SAMD00079800	1232441	GCA_002368075.1	GCF_002368075.1
SAMN02485748	93481	GCA_000521175.1	GCF_000521175.1
SAMN02598449	41068	GCA_000020025.1	GCF_000020025.1
SAMN14256955	6226541	GCA_011290345.1	
SAMN05421797	954911	GCA_900155985.1	GCF_900155985.1
SAMN02436092	234898	GCA_000166275.1	GCF_000166275.1
SAMN02799635	205821	GCA_000744555.1	GCF_000744555.1
SAMN08946991	1689911	GCA_003075075.1	GCF_003075075.1
SAMN02598440	44488	GCA_000023865.1	GCF_000023865.1
SAMN02420412	94471	GCA_000522425.1	GCF_000522425.1
SAMN08057133	-	-	-
SAMN08057132	-	-	-
SAMN08057131	-	-	-
SAMN08057130	-	-	-
SAMN08057129	-	-	-
SAMN08057128	-	-	-
SAMN08057125	-	-	-
SAMN08057127	-	-	-
SAMN08057126	-	-	-
SAMN03838137	432881	GCA_001190015.1	GCF_001190015.1
AAAAA000000	-	-	-
SAMN02388884	85661	GCA_000506385.1	GCF_000506385.1
SAMN02604012	33368	GCA_000012265.1	GCF_000012265.1
SAMN09389195	1821881	GCA_003324555.1	GCF_003324555.1
SAMN02598267	33548	GCA_000012445.1	GCF_000012445.1
