c00017_NODE_17...region001,ERR2239797_contigs.region003
c00219_NODE_21...region001,ERR2239719_contigs.region004
c00533_NODE_53...region001,ERR3946850_contigs.region002
c00003_NODE_3_...region001,ERR2239707_contigs.region002
c00013_NODE_13...region001,ERR2239715_contigs.region001
c00024_NODE_24...region001,ERR2239791_contigs.region002
c00045_NODE_45...region001,ERR2239667_contigs.region001
c00080_NODE_80...region001,ERR2239734_contigs.region001
c00181_NODE_18...region001,ERR2239562_contigs.region002
c00213_NODE_21...region001,ERR2239446_contigs.region002
c00221_NODE_22...region001,ERR2239756_contigs.region002
c00252_NODE_25...region001,ERR3946881_contigs.region003
c00867_NODE_86...region001,ERR2239236_contigs.region005
c01847_NODE_18...region001,ERR3941051_contigs.region011
c02317_NODE_23...region001,ERR3941051_contigs.region012
c04387_NODE_43...region001,ERR3941051_contigs.region013
c04510_NODE_45...region001,ERR3941148_contigs.region011
c05125_NODE_51...region001,ERR3941051_contigs.region015
c06408_NODE_64...region001,ERR3941051_contigs.region016
c07096_NODE_70...region001,ERR3941051_contigs.region017
c00008_NODE_8_...region001,ERR2239773_contigs.region001
c00264_NODE_26...region001,ERR2239522_contigs.region014
c00398_NODE_39...region001,ERR2239246_contigs.region005
c00002_NODE_2_...region001,ERR2239797_contigs.region001
c00007_NODE_7_...region001,ERR2239801_contigs.region001
c00046_NODE_46...region001,ERR2239712_contigs.region001
c00120_NODE_12...region001,ERR2239806_contigs.region001
c00153_NODE_15...region001,ERR3946882_contigs.region002
c00004_NODE_4_...region001,ERR2239797_contigs.region002
c00051_NODE_51...region001,ERR2239797_contigs.region005
c00056_NODE_56...region001,ERR2239654_contigs.region002
c00087_NODE_87...region001,ERR2239719_contigs.region001
c00340_NODE_34...region001,ERR3941295_contigs.region004
c00631_NODE_63...region001,ERR3946831_contigs.region009
c00020_NODE_20...region001,ERR2239722_contigs.region001
c00304_NODE_30...region001,ERR2239230_contigs.region002
c02009_NODE_20...region001,ERR3941055_contigs.region003
c00362_NODE_36...region001,ERR2239602_contigs.region002
c00491_NODE_49...region001,ERR3941282_contigs.region004
c00526_NODE_52...region001,ERR2239214_contigs.region009
c01828_NODE_18...region001,ERR3946718_contigs.region008
c00026_NODE_26...region001,ERR2239706_contigs.region002
c00047_NODE_47...region001,ERR2239695_contigs.region001
c00091_NODE_91...region001,ERR2239732_contigs.region001
c00104_NODE_10...region001,ERR2239651_contigs.region001
c01307_NODE_13...region001,ERR2239692_contigs.region008
c02743_NODE_27...region001,ERR3941057_contigs.region007
c03834_NODE_38...region001,ERR3941057_contigs.region008
c04295_NODE_42...region001,ERR3941057_contigs.region009
c00018_NODE_18...region001,ERR2239706_contigs.region001
c00022_NODE_22...region001,ERR2239710_contigs.region001
c00034_NODE_34...region001,ERR2239652_contigs.region002
c00095_NODE_95...region001,ERR2239670_contigs.region004
c00174_NODE_17...region001,ERR2239738_contigs.region005
c00054_NODE_54...region001,ERR2239633_contigs.region001
c00558_NODE_55...region001,ERR2239489_contigs.region002
c01198_NODE_11...region001,ERR3946789_contigs.region012
c01308_NODE_13...region001,ERR3941059_contigs.region004
c04009_NODE_40...region001,ERR3941059_contigs.region005
c00005_NODE_5_...region001,ERR2239792_contigs.region001
c00016_NODE_16...region001,ERR2239668_contigs.region001
c00055_NODE_55...region001,ERR2239663_contigs.region002
c00114_NODE_11...region001,ERR2239703_contigs.region002
c03866_NODE_38...region001,ERR3941060_contigs.region007
c00053_NODE_53...region001,ERR2239704_contigs.region001
c00154_NODE_15...region001,ERR2239607_contigs.region003
c00044_NODE_44...region001,ERR2239481_contigs.region004
c00050_NODE_50...region001,ERR2239748_contigs.region003
c00066_NODE_66...region001,ERR2239735_contigs.region001
c00151_NODE_15...region001,ERR3946860_contigs.region005
c00508_NODE_50...region001,ERR3941062_contigs.region005
c00562_NODE_56...region001,ERR2239261_contigs.region003
c01300_NODE_13...region001,ERR3941062_contigs.region007
c01389_NODE_13...region001,ERR3941062_contigs.region008
c01766_NODE_17...region001,ERR3941062_contigs.region009
c01990_NODE_19...region001,ERR2239791_contigs.region011
c02553_NODE_25...region001,ERR3946787_contigs.region007
c02578_NODE_25...region001,ERR3941062_contigs.region012
c02853_NODE_28...region001,ERR3941062_contigs.region013
c06456_NODE_64...region001,ERR3946888_contigs.region014
c07328_NODE_73...region001,ERR3941062_contigs.region015
c00078_NODE_78...region001,ERR2239748_contigs.region005
c00288_NODE_28...region001,ERR2239620_contigs.region002
c00411_NODE_41...region001,ERR2239204_contigs.region003
c00724_NODE_72...region001,ERR3946848_contigs.region009
c01298_NODE_12...region001,ERR3941172_contigs.region009
c01923_NODE_19...region001,ERR2239742_contigs.region014
c05189_NODE_51...region001,ERR3941063_contigs.region007
c05422_NODE_54...region001,ERR3941063_contigs.region008
c05803_NODE_58...region001,ERR3946765_contigs.region011
c00006_NODE_6_...region001,ERR2239739_contigs.region001
c00232_NODE_23...region001,ERR2239310_contigs.region002
c00290_NODE_29...region001,ERR2239281_contigs.region002
c00010_NODE_10...region001,ERR2239746_contigs.region002
c02293_NODE_22...region001,ERR3941065_contigs.region004
c02917_NODE_29...region001,ERR3941065_contigs.region005
c00025_NODE_25...region001,ERR2239730_contigs.region002
c00175_NODE_17...region001,ERR2239793_contigs.region001
c00281_NODE_28...region001,ERR3941365_contigs.region003
c00030_NODE_30...region001,ERR2239797_contigs.region004
c00048_NODE_48...region001,ERR2239122_contigs.region001
c02817_NODE_28...region001,ERR3941067_contigs.region003
c00182_NODE_18...region001,ERR2239645_contigs.region002
c00235_NODE_23...region001,ERR2239564_contigs.region003
c00277_NODE_27...region001,ERR3941068_contigs.region004
c00352_NODE_35...region001,ERR2239538_contigs.region007
c00458_NODE_45...region001,ERR2239644_contigs.region004
c00587_NODE_58...region001,ERR2239801_contigs.region002
c00808_NODE_80...region001,ERR2239283_contigs.region003
c01914_NODE_19...region001,ERR3946801_contigs.region014
c00012_NODE_12...region001,ERR2239764_contigs.region002
c00071_NODE_71...region001,ERR2239710_contigs.region002
c00192_NODE_19...region001,ERR2239532_contigs.region002
c00228_NODE_22...region001,ERR2239558_contigs.region010
c00943_NODE_94...region001,ERR2239202_contigs.region005
c01931_NODE_19...region001,ERR3941069_contigs.region007
c02255_NODE_22...region001,ERR2239687_contigs.region002
c00097_NODE_97...region001,ERR2239505_contigs.region001
c00142_NODE_14...region001,ERR2239745_contigs.region004
c00191_NODE_19...region001,ERR3946698_contigs.region003
c00243_NODE_24...region001,ERR2239483_contigs.region004
c00829_NODE_82...region001,ERR3941087_contigs.region007
c01768_NODE_17...region001,ERR3946851_contigs.region009
c00027_NODE_27...region001,ERR2239802_contigs.region002
c00195_NODE_19...region001,ERR3941387_contigs.region001
c00791_NODE_79...region001,ERR3946778_contigs.region004
c00930_NODE_93...region001,ERR2239454_contigs.region014
c01563_NODE_15...region001,ERR2239714_contigs.region003
c01741_NODE_17...region001,ERR3941071_contigs.region006
c02491_NODE_24...region001,ERR3941071_contigs.region007
c02828_NODE_28...region001,ERR2239775_contigs.region004
c00183_NODE_18...region001,ERR2239558_contigs.region009
