BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABCS01000025.1.region001	ABCS01000025.1	ABCS01000025.1 Plesiocystis pacifica SIR-1 1103186006199, whole genome shotgun sequence	T1PKS	PKSI		
ABCS01000094.1.region001	ABCS01000094.1	ABCS01000094.1 Plesiocystis pacifica SIR-1 1103186006241, whole genome shotgun sequence	T1PKS	PKSI		
ABCS01000172.1.region001	ABCS01000172.1	ABCS01000172.1 Plesiocystis pacifica SIR-1 1103186006198, whole genome shotgun sequence	T1PKS	PKSI		
ABCS01000180.1.region001	ABCS01000180.1	ABCS01000180.1 Plesiocystis pacifica SIR-1 1103186006123, whole genome shotgun sequence	T1PKS	PKSI		
ABCS01000182.1.region001	ABCS01000182.1	ABCS01000182.1 Plesiocystis pacifica SIR-1 1103186006299, whole genome shotgun sequence	T1PKS	PKSI		
ABCS01000198.1.region001	ABCS01000198.1	ABCS01000198.1 Plesiocystis pacifica SIR-1 1103186006243, whole genome shotgun sequence	T1PKS	PKSI		
ABCS01000201.1.region001	ABCS01000201.1	ABCS01000201.1 Plesiocystis pacifica SIR-1 1103186006079, whole genome shotgun sequence	T1PKS	PKSI		
ABCS01000213.1.region001	ABCS01000213.1	ABCS01000213.1 Plesiocystis pacifica SIR-1 1103186006242, whole genome shotgun sequence	T1PKS	PKSI		
ABYX02000001.1.region003	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS-like.nucleoside.T1PKS	Others		
ABYX02000001.1.region019	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	oligosaccharide.T1PKS	Others		
AHCD02000036.1.region001	AHCD02000036.1	AHCD02000036.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig036, whole genome shotgun sequence	NRPS.betalactone.T1PKS	Others		
AL645882.2.region019	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	butyrolactone.T1PKS	Others		
ALVZ01000136.1.region001	ALVZ01000136.1	ALVZ01000136.1 Xenococcus sp. PCC 7305 scaffold_00136, whole genome shotgun sequence	T1PKS	PKSI		
AP009552.1.region003	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	terpene.T1PKS	Others		
AP019314.1.region010	AP019314.1	AP019314.1 Microcystis viridis NIES-102 DNA, complete genome	terpene.T1PKS	Others		
AUEV01000003.1.region001	AUEV01000003.1	AUEV01000003.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00003.3_C, whole genome shotgun sequence	T1PKS	PKSI		
AUEV01000019.1.region002	AUEV01000019.1	AUEV01000019.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00017.17_C, whole genome shotgun sequence	hglE-KS.lanthipeptide.T1PKS	Others		
AUFD01000012.1.region003	AUFD01000012.1	AUFD01000012.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00010.10_C, whole genome shotgun sequence	T1PKS	PKSI		
AUFD01000018.1.region001	AUFD01000018.1	AUFD01000018.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00016.16_C, whole genome shotgun sequence	NRPS.butyrolactone.T1PKS	Others		
AUFD01000029.1.region001	AUFD01000029.1	AUFD01000029.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00027.27_C, whole genome shotgun sequence	T1PKS	PKSI		
AUFD01000037.1.region001	AUFD01000037.1	AUFD01000037.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00035.35_C, whole genome shotgun sequence	T1PKS	PKSI		
AUFD01000040.1.region001	AUFD01000040.1	AUFD01000040.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00038.38_C, whole genome shotgun sequence	T1PKS	PKSI		
AUFD01000043.1.region001	AUFD01000043.1	AUFD01000043.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00041.41_C, whole genome shotgun sequence	T1PKS	PKSI		
AUFD01000044.1.region001	AUFD01000044.1	AUFD01000044.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00042.42_C, whole genome shotgun sequence	T1PKS	PKSI		
AUFD01000056.1.region001	AUFD01000056.1	AUFD01000056.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00054.54_C, whole genome shotgun sequence	T1PKS	PKSI		
AUKN01000047.1.region001	AUKN01000047.1	AUKN01000047.1 Streptomyces sp. CNT318 H296DRAFT_scaffold00044.44_C, whole genome shotgun sequence	T1PKS	PKSI		
AUKO01000001.1.region001	AUKO01000001.1	AUKO01000001.1 Streptomyces sp. CNT360 H297DRAFT_scaffold00001.1_C, whole genome shotgun sequence	T1PKS	PKSI		
