#BGC Name	Clan Number	Family Number
ABCS01000001.1.region001	108	0
ABCS01000011.1.region001	108	6
ABCS01000021.1.region001	108	9
ABCS01000037.1.region001	108	14
ABCS01000038.1.region001	108	15
ABCS01000075.1.region001	108	17
ABJH01000022.1.region001	108	34
ABJH01000031.1.region001	108	37
ABJH01000136.1.region001	108	43
ABJH01000155.1.region001	108	46
ABJH01000207.1.region001	108	47
ABJH01000209.1.region001	108	48
ABJH01000280.1.region001	108	51
ABJH01000459.1.region001	108	57
ABJH01000551.1.region001	108	67
ABYC01000041.1.region001	108	88
KB898224.1.region002	108	88
ABYC01000351.1.region001	108	100
KB898222.1.region002	108	100
ABYC01000374.1.region001	108	101
ABYC01000471.1.region001	108	108
CM001165.1.region006	108	108
CP025018.1.region015	108	108
CP032543.1.region024	108	108
CP040916.1.region025	108	108
GG657754.1.region011	108	108
JAACKE010000001.region008	108	108
KB897782.1.region004	108	108
KB898221.1.region003	108	108
KB898990.1.region001	108	108
ABYC01000474.1.region001	108	109
ACRC01000040.1.region001	108	160
HE798385.1.region007	108	160
ACRG01000004.1.region001	108	174
ACRG01000007.1.region001	108	177
ACVN02000153.1.region001	108	191
ACWY01000060.1.region001	108	218
GG740015.1.region001	108	218
ACYA01000001.1.region001	108	219
ACYA01000063.1.region001	108	225
ACYA01000091.1.region001	108	226
AGEM01000013.1.region001	108	425
AGEQ01000007.1.region001	108	428
AGEQ01000011.1.region001	108	429
AIIG01003919.1.region001	108	495
AIIJ01000538.1.region001	108	508
AIIJ01001893.1.region001	108	539
AL009126.3.region003	108	556
AL009126.3.region006	108	559
AL589148.1.region001	108	566
AL645882.2.region002	108	569
CP009124.1.region025	108	569
CP011664.1.region002	108	569
AL645882.2.region027	108	594
CP009124.1.region002	108	594
ALIX01000357.1.region001	108	605
ALIX01000357.1.region002	108	606
ALIX01000480.1.region001	108	610
ALOA01000018.1.region001	108	619
JH815185.1.region002	108	619
ALVU02000001.1.region002	108	621
ALVZ01000137.1.region001	108	629
ALVZ01000159.1.region001	108	632
ALVZ01000226.1.region001	108	636
ALWB01000151.1.region001	108	643
AM747722.1.region001	108	661
CP000380.1.region001	108	661
LAUA01000003.1.region001	108	661
AP008231.1.region002	108	697
AP008231.1.region003	108	698
AP009324.1.region004	108	702
BA000033.2.region005	108	702
BX571856.1.region005	108	702
CP000253.1.region005	108	702
CP000255.1.region005	108	702
