#BGC Name	Family Number
ABCS01000003.1.region001	3
ABCS01000122.1.region001	23
ABCS01000183.1.region001	28
ABYX02000001.1.region003	34
ABYX02000001.1.region005	36
BGC0000431.1	36
ABYX02000001.1.region009	40
BGC0000950.1	40
ABYX02000001.1.region010	41
ABYX02000001.1.region012	43
ABYX02000001.1.region014	45
JNLT01000003.1.region003	45
KB898991.1.region001	45
ABYX02000001.1.region017	48
ABYX02000001.1.region024	55
BGC0001043.1	55
CP032543.1.region026	55
JNLT01000002.1.region001	55
ABYX02000001.1.region026	57
JNLT01000009.1.region004	57
ABYX02000001.1.region030	61
ACVN02000087.1.region001	65
ACVN02000123.1.region001	66
ACVN02000145.1.region001	67
ACVN02000185.1.region001	69
ACVN02000205.1.region001	71
ACVN02000330.1.region001	73
ACYA01000025.1.region001	76
ACYA01000027.1.region001	77
AHCD02000002.1.region001	95
AHCD02000003.1.region001	96
AHCD02000008.1.region001	97
AHCD02000017.1.region001	99
AHCD02000023.1.region001	100
AHCD02000036.1.region001	101
AHCD02000041.1.region001	102
AHCD02000074.1.region001	104
AHCD02000101.1.region001	106
AHCD02000109.1.region001	107
AHCD02000122.1.region001	107
AHCD02000115.1.region001	108
AHCD02000129.1.region001	111
AHCD02000132.1.region001	112
AHCD02000135.1.region001	113
AHCD02000136.1.region001	114
AHCD02000136.1.region002	115
AHCD02000142.1.region001	116
AHCD02000142.1.region002	117
AHCD02000148.1.region001	118
AHCD02000165.1.region001	119
AHCD02000170.1.region001	120
AHCD02000179.1.region001	121
AHCD02000191.1.region001	122
AKBX01000001.1.region001	123
AL645882.2.region015	144
CP009124.1.region012	144
AL645882.2.region027	156
BGC0000324.1	156
CP009124.1.region002	156
KE384240.1.region001	156
ALVU02000001.1.region003	161
ALVU02000001.1.region004	162
ALVU02000001.1.region005	163
ALVZ01000171.1.region001	172
ALVZ01000183.1.region001	173
ALVZ01000197.1.region001	174
ALVZ01000228.1.region001	176
ALVZ01000230.1.region001	177
ALVZ01000233.1.region001	178
ALWB01000112.1.region001	181
AP009552.1.region004	190
AP009552.1.region006	192
AP019314.1.region011	216
BEYQ01000005.1.region001	216
AUEV01000003.1.region002	220
AUEV01000009.1.region001	223
AUEV01000013.1.region001	225
AUEV01000018.1.region001	228
AUEV01000030.1.region001	234
AUFD01000005.1.region002	236
AUFD01000012.1.region001	242
AUFD01000018.1.region001	247
AUFD01000019.1.region001	248
AUFD01000025.1.region001	250
AUFD01000031.1.region001	252
AUFD01000032.1.region001	253
AUFD01000058.1.region001	259
AUKN01000001.1.region001	260
AUKN01000002.1.region004	266
AUKN01000007.1.region001	272
AUKN01000010.1.region001	275
AUKN01000010.1.region002	276
AUKN01000013.1.region001	278
AUKN01000015.1.region001	282
AUKN01000022.1.region001	283
AUKN01000036.1.region001	284
AUKN01000044.1.region001	285
AUKN01000049.1.region001	287
AUKO01000001.1.region002	289
AUKO01000002.1.region001	290
AUKO01000002.1.region002	291
AUKO01000012.1.region002	297
AUKO01000020.1.region001	300
AUKP01000009.1.region001	314
AZWZ01000010.1.region001	314
JNID01000010.1.region001	314
KB897366.1.region001	314
KB897626.1.region001	314
KB897719.1.region001	314
AUKP01000012.1.region001	316
AZWZ01000027.1.region001	316
JNID01000014.1.region001	316
KB897374.1.region001	316
KB897644.1.region001	316
KB897728.1.region001	316
AUKP01000016.1.region001	319
KB897425.1.region001	319
KB897729.1.region002	319
KL370765.1.region001	319
AUKP01000017.1.region001	320
AUKQ01000004.1.region002	350
AUKQ01000005.1.region002	352
AUKQ01000006.1.region003	356
AUKQ01000011.1.region001	357
AUKQ01000015.1.region001	362
AUKQ01000024.1.region001	366
AUKQ01000044.1.region001	371
AUKR01000002.1.region002	374
AUKR01000007.1.region001	376
AUKR01000007.1.region002	377
AUKR01000023.1.region001	385
AUKW01000002.1.region001	396
AUKW01000002.1.region002	397
AUKW01000003.1.region001	400
AUKW01000006.1.region001	404
AUKW01000006.1.region002	405
AUKW01000019.1.region001	411
AUKW01000020.1.region001	412
AUKW01000033.1.region001	418
AUKW01000038.1.region001	422
AWXD01000008.1.region001	423
AXVU01000004.1.region001	427
AXVU01000035.1.region001	442
AXVU01000075.1.region001	449
AXVU01000095.1.region001	453
AXVU01000134.1.region001	458
AYUD01000001.1.region001	459
AYUD01000001.1.region003	461
AYUD01000001.1.region005	463
AYUD01000008.1.region001	470
AYUD01000009.1.region001	471
AYUD01000023.1.region001	476
AZUS01000017.1.region001	486
AZUS01000034.1.region001	494
AZWL01000001.1.region005	504
AZWL01000001.1.region006	505
AZWL01000004.1.region003	508
AZWL01000009.1.region001	514
AZWZ01000011.1.region001	547
AZWZ01000020.1.region001	557
AZXC01000006.1.region001	582
KB846735.1.region001	582
KB898271.1.region001	582
AZXC01000008.1.region001	583
AZXC01000019.1.region001	599
BGC0000423.1	599
KB846738.1.region002	599
AZXC01000019.1.region002	600
KB846738.1.region001	600
AZXC01000020.1.region001	601
AZXC01000021.1.region003	606
AZXC01000043.1.region001	611
KB846750.1.region001	611
ADDB02000001.1.region001	615
AKCE01000001.1.region001	615
AZYU01000032.1.region001	615
JAQC01000014.1.region001	615
AZYU01000226.1.region001	616
JAQC01000045.1.region001	616
BA000019.2.region004	620
BA000019.2.region005	621
BA000019.2.region009	625
BA000019.2.region010	626
BEYQ01000012.1.region002	641
CP020771.1.region001	641
ABYX02000001.1.region020	946
BGC0000306.1	946
ABYX02000001.1.region002	976
BGC0000336.1	976
BGC0000398.1	1038
BGC0000399.1	1038
CP000076.1.region004	1038
BGC0000412.1	1051
QOLE01000002.1.region002	1051
AYUD01000001.1.region007	1052
BGC0000413.1	1052
CP000076.1.region010	1052
CP000076.1.region011	1052
CP000094.2.region009	1052
BGC0001028.1	1656
CP001037.1.region004	1656
BGC0001112.1	1739
CP000076.1.region006	1739
BGC0001117.1	1744
GG657754.1.region031	1744
BGC0000958.1	1839
BGC0001216.1	1839
KB898240.1.region001	1839
PPFB01000001.1.region004	1839
BGC0001297.1	1920
GG657758.1.region016	1920
BGC0001726.1	2336
PTJS01000001.1.region006	2336
BGC0001752.1	2361
LNBE01000003.1.region012	2361
BGC0001230.1	2375
BGC0001766.1	2375
KB899005.1.region001	2375
BGC0001823.1	2432
CP011664.1.region006	2432
CACA01000024.1.region001	2440
CACA01000060.1.region001	2442
CACA01000106.1.region001	2444
CACA01000175.1.region001	2445
CACA01000348.1.region001	2449
CACA01000353.1.region001	2450
CACA01000368.1.region001	2452
CACA01000370.1.region001	2454
CACA01000376.1.region001	2457
CM001023.1.region003	2463
CM001165.1.region003	2466
CM001165.1.region004	2467
CM001165.1.region007	2470
CM001165.1.region009	2472
CM001165.1.region016	2479
CM001165.1.region017	2480
CM001775.1.region002	2484
CM001775.1.region004	2486
CP000076.1.region007	2495
CP000076.1.region013	2501
AYUD01000002.1.region001	2504
CP000094.2.region001	2504
CP000094.2.region004	2507
BGC0000305.1	2509
BGC0001509.1	2509
CP000094.2.region006	2509
CP000094.2.region007	2510
CP000117.1.region003	2516
CP000117.1.region008	2521
CP000117.1.region009	2522
CP000117.1.region010	2523
CP000117.1.region012	2525
CP000117.1.region014	2527
CP000121.1.region001	2529
CP001037.1.region003	2532
CP001037.1.region005	2534
CP001037.1.region008	2537
CP001037.1.region009	2538
CP001037.1.region010	2539
CP001037.1.region013	2542
CP001037.1.region016	2545
CP001037.1.region019	2548
CP001037.1.region020	2549
CP001040.1.region001	2551
CP001287.1.region003	2555
CP001287.1.region007	2559
CP001287.1.region008	2560
CP001683.1.region002	2576
CP001683.1.region003	2577
CP002198.1.region005	2591
CP002199.1.region001	2594
CP002199.1.region002	2595
CP002199.1.region003	2596
CP003219.1.region010	2610
CP003219.1.region013	2613
CP003219.1.region014	2614
CP003219.1.region021	2621
CP003219.1.region022	2622
CP003219.1.region023	2623
CP003229.1.region003	2626
CP003229.1.region005	2628
CP003229.1.region009	2632
CP003229.1.region013	2636
CP003229.1.region015	2638
BGC0001016.1	2641
CP003284.1.region003	2641
CP043056.1.region005	2641
CP043056.1.region009	2641
VIKV01000211.1.region001	2641
VIKY01000283.1.region001	2641
VIKY01000297.1.region001	2641
VIKZ01000011.1.region001	2641
VIKZ01000014.1.region001	2641
BGC0000369.1	2646
CP003284.1.region008	2646
VIKV01000297.1.region001	2646
VIKY01000263.1.region001	2646
CP003549.1.region011	2661
CP003549.1.region014	2664
CP003594.1.region003	2667
CP003594.1.region004	2668
CP003597.1.region001	2671
CP003597.1.region004	2674
CP003597.1.region005	2675
CP003597.1.region006	2676
CP003597.1.region008	2678
CP003597.1.region009	2679
CP003597.1.region011	2681
CP003646.1.region004	2681
CP003600.1.region003	2685
CP003600.1.region006	2688
CP003600.1.region010	2692
CP003600.1.region012	2694
CP003600.1.region014	2696
CP003610.1.region003	2701
CP003610.1.region007	2705
CP003630.1.region001	2711
CP003630.1.region002	2712
CP003630.1.region003	2713
CP003630.1.region008	2718
CP003642.1.region001	2720
CP003642.1.region002	2721
CP003642.1.region003	2722
CP003642.1.region006	2725
CP003642.1.region007	2726
CP003642.1.region016	2735
CP003642.1.region018	2737
CP003642.1.region019	2738
CP003642.1.region021	2740
CP003642.1.region022	2741
CP003643.1.region001	2743
CP003646.1.region007	2750
CP003647.1.region001	2752
CP003647.1.region003	2754
CP003943.1.region003	2757
CP003943.1.region004	2758
CP003943.1.region009	2763
CP003943.1.region011	2765
CP003944.1.region002	2767
CP003946.1.region001	2771
CP003946.1.region005	2775
AL645882.2.region020	2785
CP009124.1.region007	2785
AL645882.2.region010	2795
BGC0000315.1	2795
BGC0001370.1	2795
CP009124.1.region017	2795
AL645882.2.region004	2801
BGC0000325.1	2801
CP009124.1.region023	2801
GG657754.1.region001	2801
CP011382.1.region003	2808
CP011382.1.region004	2809
CP011664.1.region003	2816
CP011664.1.region004	2817
CP011664.1.region027	2840
CP020114.1.region002	2847
AP018314.1.region005	2848
CP020114.1.region003	2848
CP020114.1.region010	2855
BGC0001705.1	2856
CP020114.1.region011	2856
CP032543.1.region004	2870
CP032543.1.region012	2878
CP032543.1.region013	2879
CP032543.1.region014	2880
CP032543.1.region022	2888
CP032543.1.region023	2889
CP032543.1.region025	2891
CP032543.1.region028	2894
CP040916.1.region001	2897
CP040916.1.region002	2898
CP040916.1.region006	2902
CP040916.1.region009	2905
CP040916.1.region010	2906
CP040916.1.region012	2908
CP040916.1.region015	2911
CP040916.1.region016	2912
CP040916.1.region023	2919
CP040916.1.region026	2922
CP040916.1.region030	2926
CP040916.1.region031	2927
CP040916.1.region032	2928
CP040916.1.region033	2929
CP040916.1.region034	2930
CP040916.1.region035	2931
CP040916.1.region041	2937
CP043056.1.region006	2945
CP003284.1.region005	2950
CP043056.1.region011	2950
VIKV01000220.1.region001	2950
VIKY01000027.1.region001	2950
CP049782.1.region001	2954
BGC0001570.1	2955
CP049782.1.region002	2955
CP049782.1.region012	2965
BGC0001477.1	2974
CP049782.1.region021	2974
PTJS01000001.1.region005	2974
CP049782.1.region024	2977
CP049782.1.region026	2979
DS264440.1.region001	2981
DS999641.1.region003	2984
DS999641.1.region005	2986
DS999641.1.region010	2991
DS999641.1.region019	3000
DS999641.1.region022	3003
DS999641.1.region024	3005
DS999641.1.region026	3007
CP011667.1.region001	3008
DS999642.1.region001	3008
DS999642.1.region002	3009
FP565176.1.region002	3012
FP565176.1.region004	3014
FP565176.1.region005	3015
FP565176.1.region006	3016
BGC0001088.1	3017
FP565176.1.region007	3017
FTMA01000003.1.region001	3022
GG657754.1.region006	3028
GG657754.1.region009	3031
GG657754.1.region010	3032
GG657754.1.region018	3040
GG657754.1.region022	3044
GG657754.1.region024	3046
GG657754.1.region027	3049
GG657754.1.region033	3055
GG657754.1.region036	3058
GG657754.1.region038	3060
GG657754.1.region040	3062
GG657758.1.region002	3064
GG657758.1.region003	3065
GG657758.1.region010	3072
GG657758.1.region013	3075
BGC0000374.1	3081
GG657758.1.region019	3081
GG657758.1.region022	3084
EQ973215.1.region001	3090
GG705211.1.region001	3090
JH724182.1.region001	3090
JH724208.1.region001	3090
JH724217.1.region001	3090
GL384115.1.region001	3172
GL384120.1.region001	3173
GL384136.1.region001	3174
GL383100.1.region001	3194
GL383112.1.region002	3194
GL383125.1.region002	3194
GL383158.1.region001	3194
GL383169.1.region001	3194
GL383213.1.region001	3194
GL383245.1.region001	3194
GL383264.1.region001	3194
GL383283.1.region001	3194
GL383325.1.region001	3194
GL383364.1.region002	3194
GL383379.1.region002	3194
GL383459.1.region002	3194
GL383465.1.region001	3194
GL383502.1.region001	3194
GL383596.1.region002	3194
GL383635.1.region001	3194
GL383669.1.region001	3194
GL383688.1.region001	3194
GL383701.1.region002	3194
GL383714.1.region002	3194
GL383727.1.region001	3194
GL383735.1.region001	3194
GL383759.1.region002	3194
GL383810.1.region001	3194
GL383821.1.region001	3194
GL383923.1.region001	3194
GL383972.1.region002	3194
GL384071.1.region001	3194
GL384112.1.region001	3194
GL384205.1.region001	3194
GL384389.1.region001	3194
GL384452.1.region002	3194
GL384508.1.region002	3194
GL384524.1.region002	3194
GL384547.1.region001	3194
GL384605.1.region002	3194
GL384611.1.region001	3194
GL384548.1.region001	3196
GL384555.1.region001	3198
JAACKE010000001.region004	3215
JAACKE010000001.region005	3216
JAACKE010000001.region007	3218
JAACKE010000001.region009	3220
JAACKE010000001.region010	3221
JAACKE010000001.region013	3224
JAACKE010000002.region003	3230
JAACKE010000003.region001	3234
JAACKE010000003.region004	3237
JAACKE010000003.region005	3238
JAACKE010000003.region007	3240
JAACKE010000003.region008	3241
JAACKE010000003.region009	3242
JAACKE010000005.region001	3246
JAIY01000003.1.region002	3251
JAIY01000003.1.region003	3252
JAIY01000003.1.region006	3255
JAIY01000003.1.region007	3256
BGC0001553.1	3257
JAIY01000004.1.region001	3257
JAIY01000005.1.region002	3261
