BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABCS01000003.1.region001	ABCS01000003.1	ABCS01000003.1 Plesiocystis pacifica SIR-1 1103186006335, whole genome shotgun sequence	NRPS-like	NRPS		
ABCS01000122.1.region001	ABCS01000122.1	ABCS01000122.1 Plesiocystis pacifica SIR-1 1103186006304, whole genome shotgun sequence	NRPS-like	NRPS		
ABCS01000183.1.region001	ABCS01000183.1	ABCS01000183.1 Plesiocystis pacifica SIR-1 1103186006057, whole genome shotgun sequence	NRPS	NRPS		
ABJH01000008.1.region001	ABJH01000008.1	ABJH01000008.1 Streptomyces clavuligerus strain ATCC 27064 cont1.8, whole genome shotgun sequence	blactam.NRPS	Others		
ABJH01000025.1.region001	ABJH01000025.1	ABJH01000025.1 Streptomyces clavuligerus strain ATCC 27064 cont1.25, whole genome shotgun sequence	NRPS	NRPS		
ABJH01000026.1.region001	ABJH01000026.1	ABJH01000026.1 Streptomyces clavuligerus strain ATCC 27064 cont1.26, whole genome shotgun sequence	NRPS-like	NRPS		
ABJH01000033.1.region001	ABJH01000033.1	ABJH01000033.1 Streptomyces clavuligerus strain ATCC 27064 cont1.33, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABJH01000100.1.region001	ABJH01000100.1	ABJH01000100.1 Streptomyces clavuligerus strain ATCC 27064 cont1.100, whole genome shotgun sequence	NRPS	NRPS		
ABJH01000154.1.region001	ABJH01000154.1	ABJH01000154.1 Streptomyces clavuligerus strain ATCC 27064 cont1.154, whole genome shotgun sequence	NRPS	NRPS		
ABJH01000155.1.region001	ABJH01000155.1	ABJH01000155.1 Streptomyces clavuligerus strain ATCC 27064 cont1.155, whole genome shotgun sequence	terpene.NRPS	Others		
ABJH01000269.1.region001	ABJH01000269.1	ABJH01000269.1 Streptomyces clavuligerus strain ATCC 27064 cont1.269, whole genome shotgun sequence	NRPS	NRPS		
ABJH01000401.1.region001	ABJH01000401.1	ABJH01000401.1 Streptomyces clavuligerus strain ATCC 27064 cont1.401, whole genome shotgun sequence	NRPS	NRPS		
ABJH01000402.1.region001	ABJH01000402.1	ABJH01000402.1 Streptomyces clavuligerus strain ATCC 27064 cont1.402, whole genome shotgun sequence	NRPS	NRPS		
ABJH01000476.1.region001	ABJH01000476.1	ABJH01000476.1 Streptomyces clavuligerus strain ATCC 27064 cont1.476, whole genome shotgun sequence	ectoine.phosphoglycolipid.NRPS	Others		
ABJH01000477.1.region001	ABJH01000477.1	ABJH01000477.1 Streptomyces clavuligerus strain ATCC 27064 cont1.477, whole genome shotgun sequence	NRPS	NRPS		
ABJH01000556.1.region001	ABJH01000556.1	ABJH01000556.1 Streptomyces clavuligerus strain ATCC 27064 cont1.556, whole genome shotgun sequence	NRPS-like	NRPS		
ABYC01000006.1.region001	ABYC01000006.1	ABYC01000006.1 Streptomyces albidoflavus strain J1074 cont3.6, whole genome shotgun sequence	NRPS-like	NRPS		
ABYC01000011.1.region001	ABYC01000011.1	ABYC01000011.1 Streptomyces albidoflavus strain J1074 cont3.11, whole genome shotgun sequence	T1PKS.NRPS.lanthipeptide	Others		
ABYC01000012.1.region001	ABYC01000012.1	ABYC01000012.1 Streptomyces albidoflavus strain J1074 cont3.12, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ABYC01000015.1.region001	ABYC01000015.1	ABYC01000015.1 Streptomyces albidoflavus strain J1074 cont3.15, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ABYC01000045.1.region001	ABYC01000045.1	ABYC01000045.1 Streptomyces albidoflavus strain J1074 cont3.45, whole genome shotgun sequence	NRPS-like	NRPS		
ABYC01000213.1.region001	ABYC01000213.1	ABYC01000213.1 Streptomyces albidoflavus strain J1074 cont3.213, whole genome shotgun sequence	NRPS	NRPS		
ABYC01000236.1.region001	ABYC01000236.1	ABYC01000236.1 Streptomyces albidoflavus strain J1074 cont3.236, whole genome shotgun sequence	NRPS	NRPS		
ABYC01000237.1.region001	ABYC01000237.1	ABYC01000237.1 Streptomyces albidoflavus strain J1074 cont3.237, whole genome shotgun sequence	NRPS	NRPS		
ABYC01000250.1.region001	ABYC01000250.1	ABYC01000250.1 Streptomyces albidoflavus strain J1074 cont3.250, whole genome shotgun sequence	NRPS	NRPS		
ABYC01000253.1.region001	ABYC01000253.1	ABYC01000253.1 Streptomyces albidoflavus strain J1074 cont3.253, whole genome shotgun sequence	NRPS-like	NRPS		
ABYC01000412.1.region001	ABYC01000412.1	ABYC01000412.1 Streptomyces albidoflavus strain J1074 cont3.412, whole genome shotgun sequence	NRPS	NRPS		
ABYC01000481.1.region001	ABYC01000481.1	ABYC01000481.1 Streptomyces albidoflavus strain J1074 cont3.481, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABYC01000500.1.region001	ABYC01000500.1	ABYC01000500.1 Streptomyces albidoflavus strain J1074 cont3.500, whole genome shotgun sequence	NRPS	NRPS		
ABYX02000001.1.region001	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABYX02000001.1.region002	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS	NRPS		
