#BGC Name	Clan Number	Family Number
ABCS01000025.1.region001	11	11
ABCS01000094.1.region001	11	20
ABCS01000172.1.region001	11	25
ABCS01000180.1.region001	11	26
ABCS01000182.1.region001	11	27
ABCS01000198.1.region001	11	29
ABCS01000201.1.region001	11	30
ABCS01000213.1.region001	11	31
ABJH01000364.1.region001	11	53
ABJH01000473.1.region001	11	58
ABYC01000005.1.region001	11	72
ABYC01000016.1.region001	11	77
ABYC01000018.1.region001	11	78
ABYC01000019.1.region001	11	79
ABYC01000020.1.region001	11	80
ABYC01000021.1.region001	11	81
ABYC01000024.1.region001	11	84
ABYC01000025.1.region001	11	85
ABYC01000026.1.region001	11	86
ABYX02000001.1.region003	11	114
ABYX02000001.1.region019	11	130
BGC0001452.1	11	130
BGC0001522.1	11	130
ACRC01000073.1.region001	11	161
AHCD02000036.1.region001	11	473
AHCD03000026.1.region001	11	473
AIIJ01000489.1.region001	11	506
AIIJ01000521.1.region001	11	507
AIIJ01000860.1.region001	11	511
AIIJ01000972.1.region001	11	516
AIIJ01001242.1.region001	11	529
AIIJ01001243.1.region001	11	530
AIIJ01001252.1.region001	11	531
AIIJ01001253.1.region001	11	532
AIIJ01001254.1.region001	11	533
ALVZ01000136.1.region001	11	628
AP009552.1.region003	11	743
AP019314.1.region010	11	743
JXYX01000016.1.region001	11	743
AQPE01000017.1.region001	11	753
KB846767.1.region001	11	753
AQPE01000018.1.region001	11	754
KB846766.1.region001	11	754
AQPE01000019.1.region001	11	755
KB846765.1.region001	11	755
AQPE01000027.1.region001	11	759
AQPE01000044.1.region001	11	763
KB846741.1.region001	11	763
ARBB01000003.1.region002	11	792
ARBB01000003.1.region003	11	793
JAASAV010000002.region002	11	793
ARGG01000060.1.region005	11	840
AZWQ01000005.1.region004	11	840
ARGH01000018.1.region001	11	841
ARGH01000047.1.region001	11	847
ARGH01000074.1.region001	11	865
ARGJ01000023.1.region001	11	866
ARHR01000007.1.region001	11	918
AUKP01000076.1.region001	11	918
JNID01000074.1.region001	11	918
KB897443.1.region001	11	918
ARHR01000014.1.region001	11	921
KB897436.1.region001	11	921
ARHR01000020.1.region001	11	924
AUKP01000063.1.region001	11	924
AZWZ01000071.1.region001	11	924
KB897430.1.region001	11	924
KB897668.1.region001	11	924
ARHR01000075.1.region001	11	953
ARHU01000019.1.region001	11	976
AXVU01000079.1.region001	11	976
AZWL01000070.1.region001	11	976
AZWZ01000070.1.region001	11	976
KB897758.1.region001	11	976
ARHU01000031.1.region001	11	979
AUKP01000072.1.region001	11	979
ARHU01000064.1.region001	11	1008
AUKP01000061.1.region001	11	1008
ARHR01000068.1.region001	11	1011
ARHU01000067.1.region001	11	1011
AUKP01000005.1.region001	11	1011
AXVU01000052.1.region001	11	1011
AZWL01000005.1.region001	11	1011
AZWZ01000002.1.region003	11	1011
JNID01000024.1.region001	11	1011
KB897383.1.region001	11	1011
ARJI01000057.1.region004	11	1089
KB898990.1.region009	11	1089
AUEV01000003.1.region001	11	1093
AUEV01000019.1.region002	11	1106
AUFD01000012.1.region003	11	1118
AUFD01000018.1.region001	11	1121
AUFD01000029.1.region001	11	1125
