	Compound_Name	SpectrumID
989	Mureidomycin B	CCMSLIB00000075009
996	Napsamycin C	CCMSLIB00000075016
1656	Rosamicin	CCMSLIB00000223877
1984	Ambiguine_C_isonitrile	CCMSLIB00000424890
1985	Ambiguine_C_isonitrile	CCMSLIB00000424891
1986	Ambiguine_E_isonitrile	CCMSLIB00000424892
1987	Ambiguine_E_isonitrile	CCMSLIB00000424893
1988	Ambiguine_E_isonitrile	CCMSLIB00000424894
1990	Ambiguine_B_isonitrile	CCMSLIB00000424896
1991	Ambiguine_B_isonitrile	CCMSLIB00000424897
1992	Ambiguine_B_isonitrile	CCMSLIB00000424898
1996	Ambiguine D isonitrile	CCMSLIB00000424902
1997	Ambiguine D isonitrile	CCMSLIB00000424903
1998	Ambiguine D isonitrile	CCMSLIB00000424904
1999	Ambiguine I isonitrile	CCMSLIB00000424905
2000	Ambiguine I isonitrile	CCMSLIB00000424906
2001	Ambiguine I isonitrile	CCMSLIB00000424907
2006	12-epi-hapalindole C isonitrile	CCMSLIB00000424912
2471	Bafilomycin A1-CDM-IM	CCMSLIB00000479759
2664	Antimycin A1	CCMSLIB00000578442
2727	Surugamide A	CCMSLIB00000579271
2739	Albicidin (LTQ-Orbitrap)	CCMSLIB00000579285
2791	Pyocyanin	CCMSLIB00000839195
2799	Dereplicator Identification - E'Surugamide_D'	CCMSLIB00000839203
2802	Dereplicator Identification - E'Surugamide_A'	CCMSLIB00000839206
2847	Lomaiviticin E	CCMSLIB00000839294
3013	Nevaltophin_D	CCMSLIB00000840594
3280	Coelichelin	CCMSLIB00003739957
3592	Plipastatin	CCMSLIB00004679204
3593	Plipastatin	CCMSLIB00004679205
3680	Putative orfamide A	CCMSLIB00004679298
3681	Putative orfamide B	CCMSLIB00004679299
3682	Putative orfamide C	CCMSLIB00004679300
3813	Propionyl-Albicidin	CCMSLIB00004681475
3819	Beta-Methoxy-Albicidin	CCMSLIB00004681481
3820	Pyocyanin	CCMSLIB00004681482
3824	Carbamoyl-Beta-Methoxy-Albicidin	CCMSLIB00004681486
3825	Carbamoyl-Beta-Methoxy-Asn-Albicidin	CCMSLIB00004681487
4351	Clavulanic Acid - Dark Web Drugs	CCMSLIB00005434466
4581	Clavulanic acid	CCMSLIB00005435928
4582	Clavulanic acid	CCMSLIB00005435929
4583	Cephamycin C	CCMSLIB00005435930
4587	Holomycin	CCMSLIB00005435934
4645	Pyocyanin	CCMSLIB00005436037
12902	Daptomycin	CCMSLIB00000078118
14932	"""MLS000877011-01!1-(3-acetyl-2,4,6-trihydroxyphenyl)ethanone"""	CCMSLIB00000080277
