BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABJH01000031.1.region001	ABJH01000031.1	ABJH01000031.1 Streptomyces clavuligerus strain ATCC 27064 cont1.31, whole genome shotgun sequence	terpene.amglyccycl	Others		
ABYX02000001.1.region019	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	oligosaccharide.T1PKS	Others		
AIIJ01000997.1.region001	AIIJ01000997.1	AIIJ01000997.1 Salinispora arenicola CNT-088 contig01103, whole genome shotgun sequence	amglyccycl	Saccharides		
AQPE01000061.1.region002	AQPE01000061.1	AQPE01000061.1 Streptomyces sp. CNS615 D583DRAFT_scaffold00012.12_C, whole genome shotgun sequence	oligosaccharide.PKS-like.T2PKS.NRPS	Others		
ARBB01000003.1.region002	ARBB01000003.1	ARBB01000003.1 Salinispora arenicola DSM 45545 strain CNS-991 scaffold1_C3, whole genome shotgun sequence	oligosaccharide.T1PKS.PKS-like.NRPS	Others		
ARBB01000003.1.region007	ARBB01000003.1	ARBB01000003.1 Salinispora arenicola DSM 45545 strain CNS-991 scaffold1_C3, whole genome shotgun sequence	amglyccycl	Saccharides		
ARGG01000040.1.region002	ARGG01000040.1	ARGG01000040.1 Salinispora fenicalii strain CNR-942 C549DRAFT_scaffold00016.16_C2, whole genome shotgun sequence	amglyccycl	Saccharides		
ARGH01000073.1.region002	ARGH01000073.1	ARGH01000073.1 Salinispora pacifica CNS055 C550DRAFT_scaffold00001.1_C3, whole genome shotgun sequence	amglyccycl	Saccharides		
ARGJ01000064.1.region002	ARGJ01000064.1	ARGJ01000064.1 Salinispora pacifica DSM 45543 = CNS-863 C552DRAFT_scaffold00011.11_C, whole genome shotgun sequence	amglyccycl	Saccharides		
ARGK01000088.1.region001	ARGK01000088.1	ARGK01000088.1 Salinispora pacifica CNS996 C553DRAFT_scaffold00028.28_C, whole genome shotgun sequence	oligosaccharide.T2PKS	Others		
ARIM01000046.1.region002	ARIM01000046.1	ARIM01000046.1 Streptomyces sp. CNT302 D329DRAFT_scaffold00013.13_C, whole genome shotgun sequence	oligosaccharide.PKS-like.T2PKS.NRPS	Others		
ARJI01000048.1.region001	ARJI01000048.1	ARJI01000048.1 Streptomyces sp. CNB091 D581DRAFT_scaffold00008.8_C, whole genome shotgun sequence	amglyccycl	Saccharides		
AUKR01000035.1.region001	AUKR01000035.1	AUKR01000035.1 Streptomyces sp. TAA040 H300DRAFT_scaffold00033.33_C, whole genome shotgun sequence	oligosaccharide	Saccharides		
AXVR01000044.1.region001	AXVR01000044.1	AXVR01000044.1 Salinispora cortesiana strain CNY-202 K228DRAFT_scaffold00044.44_C, whole genome shotgun sequence	amglyccycl	Saccharides		
AZVX01000040.1.region001	AZVX01000040.1	AZVX01000040.1 Salinispora mooreana strain CNT-150 B174DRAFT_scaffold_36.37_C, whole genome shotgun sequence	amglyccycl	Saccharides		
AZVY01000002.1.region007	AZVY01000002.1	AZVY01000002.1 Salinispora oceanensis strain CNT-138 B173DRAFT_scaffold_0.1_C2, whole genome shotgun sequence	amglyccycl	Saccharides		
AZWB01000004.1.region005	AZWB01000004.1	AZWB01000004.1 Salinispora oceanensis strain CNT-029 B170DRAFT_scaffold_0.1_C4, whole genome shotgun sequence	amglyccycl	Saccharides		
AZWJ01000002.1.region003	AZWJ01000002.1	AZWJ01000002.1 Salinispora vitiensis strain CNT-148 B159DRAFT_scaffold00002.2_C, whole genome shotgun sequence	amglyccycl	Saccharides		
AZWQ01000024.1.region001	AZWQ01000024.1	AZWQ01000024.1 Salinispora fenicalii strain CNT-569 B116DRAFT_scaffold_15.16_C, whole genome shotgun sequence	amglyccycl	Saccharides		
AZXH01000017.1.region002	AZXH01000017.1	AZXH01000017.1 Salinispora tropica CNH898 B037DRAFT_scaffold_10.11_C, whole genome shotgun sequence	amglyccycl	Saccharides		
BGC0000002.1	BGC0000002.1	Aculeximycin biosynthetic gene cluster	oligosaccharide.t1pks	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Kutzneria
BGC0000026.1	BGC0000026.1	Avilamycin A biosynthetic gene cluster	oligosaccharide.t1pks	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
