#BGC Name	Family Number
ABCS01000001.1.region001	0
ABCS01000011.1.region001	6
ABCS01000021.1.region001	9
ABCS01000037.1.region001	14
ABCS01000038.1.region001	15
ABCS01000075.1.region001	17
ABYX02000001.1.region016	47
CP032543.1.region019	47
KB899004.1.region001	47
KL370899.1.region001	47
ACVN02000153.1.region001	68
ACYA01000001.1.region001	75
ACYA01000063.1.region001	81
ACYA01000091.1.region001	82
AL589148.1.region001	128
ALVU02000001.1.region002	160
ALVZ01000137.1.region001	168
ALVZ01000159.1.region001	171
ALVZ01000226.1.region001	175
ALWB01000151.1.region001	182
AP008231.1.region002	185
AP008231.1.region003	186
AP018314.1.region003	201
AP018314.1.region004	202
AP018314.1.region007	205
AUEV01000018.1.region003	230
AUFD01000019.1.region002	249
AUKN01000003.1.region002	269
AUKN01000003.1.region004	271
AUKN01000014.1.region001	280
AUKO01000003.1.region003	294
AUKO01000018.1.region001	299
AUKP01000006.1.region001	311
JNID01000002.1.region002	311
KB897369.1.region001	311
KB897629.1.region001	311
KB897722.1.region001	311
KI911510.1.region002	311
AUKP01000008.1.region001	313
JNID01000001.1.region001	313
KB897364.1.region002	313
KB897627.1.region001	313
KB897717.1.region001	313
AUKQ01000006.1.region001	354
AUKR01000007.1.region001	376
AUKR01000007.1.region002	377
AUKR01000010.1.region001	378
AUKR01000014.1.region001	380
AUKR01000016.1.region002	383
AUKR01000036.1.region001	388
AUKW01000001.1.region001	393
AUKW01000003.1.region001	400
AUKW01000003.1.region002	401
AUKW01000010.1.region001	406
AUKW01000019.1.region001	411
AXVU01000001.1.region001	425
AXVU01000022.1.region001	436
AXVU01000031.1.region001	441
AXVU01000055.1.region001	446
AL645882.2.region012	479
AZUS01000006.1.region001	479
BGC0000660.1	479
CP009124.1.region015	479
CP040916.1.region019	479
DS999641.1.region014	479
GG657758.1.region012	479
KE354250.1.region001	479
PPFB01000001.1.region012	479
AZUS01000007.1.region001	480
AZUS01000023.1.region001	489
PPFB01000001.1.region017	489
ABYX02000001.1.region023	497
AL645882.2.region022	497
AZUS01000042.1.region001	497
AZXC01000017.1.region002	497
BGC0000663.1	497
CM001165.1.region006	497
CP003219.1.region019	497
CP009124.1.region005	497
CP011664.1.region019	497
CP032543.1.region024	497
CP040916.1.region025	497
CP049782.1.region008	497
DS999641.1.region006	497
GG657754.1.region011	497
JAACKE010000001.region008	497
JNLT01000002.1.region002	497
JOIW01000005.1.region001	497
KB846715.1.region002	497
KB897782.1.region004	497
KB898221.1.region003	497
KB898270.1.region009	497
KB898990.1.region001	497
KE354160.1.region001	497
PPFB01000001.1.region007	497
PTJS01000001.1.region007	497
AZWL01000006.1.region001	511
AZWL01000011.1.region002	517
AZWL01000044.1.region001	526
AZWL01000085.1.region001	537
AZWZ01000001.1.region001	538
JNID01000011.1.region001	538
KB897377.1.region001	538
KB897633.1.region001	538
KB897730.1.region001	538
AUKP01000024.1.region002	540
AZWZ01000002.1.region001	540
KB897368.1.region001	540
KB897620.1.region003	540
KB897713.1.region001	540
KL370764.1.region002	540
AZWZ01000009.1.region001	544
AZWZ01000029.1.region001	561
AZXC01000009.1.region002	585
KB846732.1.region001	585
BA000019.2.region002	618
CP000117.1.region011	618
BA000019.2.region007	623
BA000019.2.region012	628
CP000117.1.region004	628
AP009552.1.region007	637
AP019314.1.region002	637
BEYQ01000009.1.region001	637
CP020771.1.region006	637
JXYX01000019.1.region001	637
BGC0000650.1	1281
CM001023.1.region002	1281
BGC0000661.1	1292
CP001037.1.region006	1292
AL645882.2.region002	1295
AUKQ01000006.1.region002	1295
BGC0000649.1	1295
BGC0000664.1	1295
CP049782.1.region001	1295
KB897787.1.region003	1295
PTJS01000001.1.region002	1295
AZUS01000036.1.region001	1711
BGC0001083.1	1711
CACA01000344.1.region001	2448
CACA01000373.1.region001	2455
CAFN01000056.1.region001	2460
CM001165.1.region001	2464
BGC0000654.1	2473
CM001165.1.region010	2473
CM001165.1.region012	2475
CM001165.1.region015	2478
CM001775.1.region001	2483
CM001775.1.region003	2485
CM001775.1.region005	2487
CP000094.2.region004	2507
BA000019.2.region006	2526
CP000117.1.region013	2526
CP001037.1.region007	2536
CP001037.1.region014	2543
CP001037.1.region018	2547
CP001287.1.region001	2553
CP001287.1.region002	2554
CP001287.1.region006	2558
CP001344.1.region008	2568
CP001344.1.region010	2570
CP001344.1.region011	2571
CP001683.1.region004	2578
CP001683.1.region005	2579
CP002198.1.region001	2587
CP002198.1.region002	2588
CP002198.1.region004	2590
CP003219.1.region003	2603
CP003219.1.region012	2612
CP003219.1.region020	2620
CP003229.1.region007	2630
CP003229.1.region009	2632
CP003229.1.region012	2635
CP003229.1.region014	2637
CP003549.1.region007	2657
CP003594.1.region001	2665
CP003594.1.region002	2666
CP003594.1.region006	2670
CP003597.1.region002	2672
CP003600.1.region002	2684
CP003600.1.region015	2697
CP003610.1.region008	2706
CP003610.1.region011	2709
CP003630.1.region005	2715
CP003630.1.region009	2719
CP003642.1.region010	2729
CP003642.1.region011	2730
CP003642.1.region013	2732
CP003642.1.region014	2733
CP003642.1.region017	2736
CP003642.1.region019	2738
CP003646.1.region005	2748
CP003943.1.region001	2755
CP003943.1.region005	2759
CP003943.1.region006	2760
CP003943.1.region007	2761
CP003943.1.region008	2762
CP003944.1.region001	2766
CP003945.1.region003	2770
CP003946.1.region006	2776
CP009124.1.region001	2779
AL645882.2.region027	2780
CP009124.1.region002	2780
CP009124.1.region027	2805
CP011382.1.region005	2810
CP011382.1.region008	2813
CP009124.1.region025	2815
CP011664.1.region002	2815
JOIW01000005.1.region004	2815
KB898992.1.region002	2815
CP011664.1.region004	2817
CP011664.1.region005	2818
CP011664.1.region007	2820
CP011664.1.region010	2823
CP011664.1.region018	2831
CP011664.1.region026	2839
CP020114.1.region007	2852
BEYQ01000011.1.region002	2865
CP020771.1.region009	2865
CP032543.1.region002	2868
JNLT01000022.1.region002	2868
CP040916.1.region001	2897
CP040916.1.region003	2899
CP040916.1.region009	2905
CP040916.1.region014	2910
CP040916.1.region016	2912
