#BGC Name	Family Number
ABCS01000005.1.region001	4
ABCS01000016.1.region001	7
ABCS01000022.1.region001	10
ABCS01000028.1.region001	12
ABCS01000035.1.region001	13
ABCS01000133.1.region001	24
ABJH01000033.1.region001	38
ABJH01000561.1.region001	69
ABYC01000012.1.region001	75
ABYC01000015.1.region001	76
ABYC01000443.1.region001	106
KB898221.1.region001	106
ABYX02000001.1.region011	122
ABYX02000001.1.region021	132
JNLT01000021.1.region001	132
ABYX02000001.1.region026	137
JNLT01000009.1.region004	137
ABYX02000001.1.region028	139
ACRO01000029.1.region001	180
ACRY02000004.1.region001	181
ACYA01000027.1.region001	221
ACYA01000060.1.region001	224
AFDI01000005.1.region001	364
AGDH01000007.1.region001	375
AGDJ01000011.1.region001	375
AGDK01000036.1.region001	375
AGDL01000020.1.region001	375
AGDO01000001.1.region001	375
AGDM01000035.1.region001	402
AGDP01000004.1.region001	411
AGEM01000009.1.region001	424
AGEQ01000003.1.region001	427
AHCD02000148.1.region001	474
AHCD03000027.1.region001	474
AHCD02000075.1.region001	475
AHCD03000034.1.region001	475
AHCD02000170.1.region001	488
AHCD03000044.1.region004	488
AIIJ01000849.1.region001	509
AIIJ01001781.1.region001	534
AIIJ01001782.1.region001	535
AKFT01000146.1.region001	550
AL009126.3.region004	557
BGC0001089.1	557
AL009126.3.region008	561
AL645882.2.region001	568
CP009124.1.region026	568
AL645882.2.region006	573
CP009124.1.region021	573
AL645882.2.region025	592
CP009124.1.region004	592
AL645882.2.region027	594
CP009124.1.region002	594
AIIG01001884.1.region001	596
AIIG01002136.1.region001	596
ALIX01000049.1.region001	596
c01341_NODE_13...region001	596
ALVU02000001.1.region004	623
ALVZ01000171.1.region001	633
ALVZ01000197.1.region001	635
ALVZ01000228.1.region001	637
ALVZ01000233.1.region001	639
ALWB01000066.1.region001	641
ALWB01000112.1.region001	642
CP003600.1.region010	642
AEBC01000107.1.region001	671
AMAQ01000109.1.region001	671
AMAV01000068.1.region001	671
AMAX01000068.1.region001	671
AMBA01000165.1.region001	671
GL455002.1.region001	671
JH809588.1.region001	671
JH810359.1.region001	671
JH810962.1.region001	671
JH811854.1.region001	671
JH813042.1.region001	671
JH813554.1.region001	671
NZ_JH809588.1.region001	671
NZ_JH813042.1.region001	671
AMGU01000024.1.region001	679
AMLL01000008.1.region001	691
AMLN01000011.1.region001	691
FO203355.1.region001	691
AP009324.1.region004	702
BA000033.2.region005	702
BX571856.1.region005	702
CP000253.1.region005	702
CP000255.1.region005	702
CP000736.1.region004	702
CP001844.2.region004	702
CP003045.1.region005	702
CP003603.1.region005	702
AP009552.1.region006	708
AP018314.1.region001	727
AP019314.1.region011	744
BEYQ01000005.1.region001	744
ARBB01000003.1.region002	792
JAASAV010000002.region003	792
ARBB01000003.1.region014	804
ARBB01000003.1.region015	805
ARBB01000003.1.region017	807
ARBB01000004.1.region008	815
ARGG01000047.1.region001	829
AZWQ01000029.1.region001	829
ARGH01000062.1.region001	853
ARGG01000042.1.region001	863
ARGH01000073.1.region004	863
AXVR01000008.1.region001	863
AZWJ01000002.1.region001	863
AZWQ01000007.1.region001	863
AZXH01000019.1.region002	863
BGC0000240.1	863
BGC0000241.1	863
BGC0001693.1	863
ARGJ01000027.1.region001	868
ARGJ01000038.1.region001	870
ARGK01000084.1.region001	870
ARGK01000065.1.region001	891
ARGK01000088.1.region001	896
ARGK01000098.1.region001	901
AZVY01000002.1.region003	901
AZWJ01000023.1.region001	901
ARGJ01000051.1.region001	908
ARGK01000109.1.region001	908
ARHR01000025.1.region001	928
KB897425.1.region001	928
ARHR01000077.1.region001	955
ARHU01000058.1.region001	955
AUKP01000007.1.region001	955
