#BGC Name	Clan Number	Family Number
ABCS01000001.1.region003	5074	2
ABCS01000019.1.region001	5074	8
ABCS01000086.1.region001	5074	18
ABCS01000091.1.region001	5074	19
ABCS01000105.1.region001	5074	21
ABCS01000121.1.region001	5074	22
ABYX02000001.1.region013	5074	44
ACGB01000020.1.region001	5074	62
ACVN02000045.1.region001	5074	63
ACVN02000201.1.region001	5074	70
ACVN02000221.1.region001	5074	72
ACVN02000333.1.region001	5074	74
ADFQ01000075.1.region001	5074	86
AEAA01000004.1.region001	5074	89
AEAA01000101.1.region001	5074	90
AFII01000002.1.region001	5074	92
AFUM01000011.1.region001	5074	94
CP001977.1.region001	5074	94
GL383285.1.region001	5074	94
GL383405.1.region001	5074	94
GL383480.1.region001	5074	94
GL383588.1.region002	5074	94
GL383611.1.region001	5074	94
GL383780.1.region001	5074	94
GL384186.1.region001	5074	94
GL384236.1.region001	5074	94
GL384259.1.region001	5074	94
GL384551.1.region001	5074	94
AHCD02000010.1.region001	5074	98
AHCD02000041.1.region001	5074	102
AHCD02000068.1.region001	5074	103
AKFU01000032.1.region001	5074	126
AKFU01000035.1.region001	5074	127
AL645882.2.region021	5074	150
BGC0000551.1	5074	150
CP009124.1.region006	5074	150
AL645882.2.region024	5074	153
ALJM01000004.1.region001	5074	157
ALJM01000050.1.region001	5074	158
ALVU02000001.1.region001	5074	159
ALVU02000002.1.region001	5074	164
ALVZ01000119.1.region001	5074	165
ALVZ01000124.1.region001	5074	166
ALVZ01000150.1.region001	5074	169
ALVZ01000151.1.region001	5074	170
ALWB01000001.1.region001	5074	179
ALWB01000239.1.region001	5074	183
AP008231.1.region001	5074	184
AP009552.1.region002	5074	188
AP009552.1.region005	5074	191
AP019314.1.region001	5074	191
BEYQ01000001.1.region001	5074	191
AP009552.1.region012	5074	198
AP019314.1.region007	5074	198
JXYX01000001.1.region001	5074	198
AP018314.1.region005	5074	203
AP019314.1.region009	5074	214
AUEV01000013.1.region002	5074	226
AUEV01000018.1.region002	5074	229
KE384282.1.region002	5074	229
AUEV01000019.1.region001	5074	231
AUEV01000019.1.region002	5074	232
BGC0000544.1	5074	232
AUEV01000023.1.region001	5074	233
AUFD01000010.1.region001	5074	240
AUFD01000011.1.region001	5074	241
AUFD01000012.1.region001	5074	242
AUFD01000012.1.region002	5074	243
AUFD01000017.1.region001	5074	246
AUFD01000019.1.region001	5074	248
AUKN01000001.1.region003	5074	262
AUKN01000002.1.region001	5074	263
AUKN01000002.1.region005	5074	267
AUKN01000007.1.region002	5074	273
AUKN01000008.1.region001	5074	274
AUKN01000011.1.region001	5074	277
AUKO01000003.1.region002	5074	293
AUKO01000012.1.region001	5074	296
AUKO01000013.1.region001	5074	298
AUKO01000020.1.region001	5074	300
AUKP01000001.1.region002	5074	305
AUKP01000015.1.region001	5074	318
AXVU01000051.1.region001	5074	318
AZWL01000020.1.region001	5074	318
AZWZ01000024.1.region001	5074	318
JNID01000028.1.region001	5074	318
KB897363.1.region002	5074	318
KB897621.1.region002	5074	318
KB897736.1.region001	5074	318
AUKQ01000005.1.region001	5074	351
AUKQ01000005.1.region003	5074	353
AUKQ01000006.1.region002	5074	355
AUKQ01000012.1.region001	5074	358
AUKQ01000013.1.region002	5074	360
AUKR01000002.1.region001	5074	373
AUKR01000007.1.region001	5074	376
AUKR01000011.1.region001	5074	379
AUKR01000017.1.region001	5074	384
AUKW01000001.1.region003	5074	395
AUKW01000002.1.region004	5074	399
AUKW01000005.1.region001	5074	402
AUEV01000008.1.region001	5074	404
AUKW01000006.1.region001	5074	404
AUKW01000022.1.region002	5074	414
AWXD01000026.1.region001	5074	424
AXVU01000022.1.region002	5074	437
AUKP01000022.1.region002	5074	440
AXVU01000030.1.region001	5074	440
AZWL01000011.1.region001	5074	440
AZWZ01000017.1.region001	5074	440
JNID01000009.1.region002	5074	440
KB897401.1.region001	5074	440
KB897638.1.region001	5074	440
KB897735.1.region002	5074	440
AYUD01000017.1.region001	5074	472
AZUS01000003.1.region001	5074	477
KE354077.1.region001	5074	477
QKWM01000001.1.region005	5074	477
AZUS01000007.1.region001	5074	480
AZUS01000025.1.region001	5074	491
AZUS01000032.1.region001	5074	492
AZWL01000001.1.region002	5074	501
AZWL01000010.1.region001	5074	515
AZWL01000018.1.region001	5074	519
AZWL01000027.1.region001	5074	525
AZWZ01000015.1.region001	5074	551
AZXC01000017.1.region001	5074	595
KB846715.1.region003	5074	595
KB898270.1.region008	5074	595
BA000019.2.region003	5074	619
BA000019.2.region008	5074	624
BA000020.2.region001	5074	630
BEYQ01000001.1.region002	5074	632
AP009552.1.region010	5074	638
AP019314.1.region005	5074	638
BEYQ01000011.1.region001	5074	638
CP020771.1.region008	5074	638
JXYX01000001.1.region002	5074	638
BEYQ01000013.1.region001	5074	642
CP020771.1.region007	5074	642
BEYQ01000014.1.region001	5074	643
BGC0000471.1	5074	1119
BGC0000473.1	5074	1119
BGC0000474.1	5074	1119
BGC0000475.1	5074	1119
BGC0000480.1	5074	1119
BGC0000483.1	5074	1119
CP020771.1.region004	5074	1119
BGC0000610.1	5074	1241
KE354297.1.region001	5074	1241
BGC0001745.1	5074	2354
KB235920.1.region001	5074	2354
CACA01000034.1.region001	5074	2441
CACA01000103.1.region001	5074	2443
CACA01000265.1.region001	5074	2446
CACA01000330.1.region001	5074	2447
CACA01000374.1.region001	5074	2456
CAFN01000024.1.region001	5074	2458
CAFN01000035.1.region001	5074	2459
CAFN01000056.1.region001	5074	2460
CM001165.1.region008	5074	2471
CM001165.1.region019	5074	2482
CM001798.1.region001	5074	2488
KB445544.1.region002	5074	2488
AYUD01000017.1.region002	5074	2490
CP000076.1.region002	5074	2490
CP000094.2.region003	5074	2490
CP000076.1.region015	5074	2503
CP000094.2.region005	5074	2508
CP000117.1.region001	5074	2514
CP000117.1.region003	5074	2516
CP000117.1.region007	5074	2520
CP000119.1.region001	5074	2528
CP001037.1.region004	5074	2533
CP001037.1.region008	5074	2537
CP001037.1.region010	5074	2539
CP001037.1.region011	5074	2540
CP001037.1.region013	5074	2542
CP001037.1.region015	5074	2544
CP001037.1.region017	5074	2546
CP001038.1.region001	5074	2550
CP001042.1.region001	5074	2552
CP001287.1.region004	5074	2556
CP001287.1.region005	5074	2557
CP001344.1.region001	5074	2561
CP001344.1.region002	5074	2562
CP001344.1.region003	5074	2563
CP001344.1.region004	5074	2564
CP001344.1.region005	5074	2565
CP001344.1.region006	5074	2566
CP001344.1.region007	5074	2567
CP001344.1.region009	5074	2569
CP001344.1.region012	5074	2572
CP001344.1.region013	5074	2573
CP001345.1.region001	5074	2574
CP002198.1.region007	5074	2593
CP002199.1.region005	5074	2598
CP002200.1.region001	5074	2599
CP003219.1.region001	5074	2601
CP003219.1.region004	5074	2604
CP003219.1.region007	5074	2607
CP003219.1.region011	5074	2611
CP003219.1.region015	5074	2615
CP003219.1.region018	5074	2618
CP003229.1.region013	5074	2636
CP003229.1.region015	5074	2638
CP003284.1.region001	5074	2639
CP003284.1.region006	5074	2644
CP003549.1.region001	5074	2651
CP003549.1.region002	5074	2652
CP003549.1.region005	5074	2655
CP003549.1.region008	5074	2658
CP003549.1.region010	5074	2660
CP003549.1.region012	5074	2662
CP003549.1.region013	5074	2663
CP003597.1.region001	5074	2671
CP003597.1.region003	5074	2673
CP003597.1.region007	5074	2677
CP003597.1.region010	5074	2680
CP003597.1.region012	5074	2682
CP003600.1.region001	5074	2683
CP003600.1.region003	5074	2685
CP003600.1.region004	5074	2686
CP003600.1.region007	5074	2689
CP003600.1.region008	5074	2690
CP003600.1.region011	5074	2693
CP003600.1.region013	5074	2695
CP003600.1.region016	5074	2698
CP003610.1.region001	5074	2699
CP003610.1.region004	5074	2702
CP003610.1.region005	5074	2703
CP003610.1.region006	5074	2704
CP003610.1.region009	5074	2707
CP003611.1.region001	5074	2710
CP003630.1.region004	5074	2714
CP003630.1.region006	5074	2716
CP003630.1.region007	5074	2717
CP003642.1.region004	5074	2723
CP003642.1.region008	5074	2727
CP003642.1.region015	5074	2734
CP003642.1.region019	5074	2738
CP003642.1.region020	5074	2739
CP003646.1.region002	5074	2745
CP003647.1.region002	5074	2753
CP003943.1.region002	5074	2756
CP003945.1.region001	5074	2768
CP003945.1.region002	5074	2769
CP003946.1.region002	5074	2772
CP003946.1.region003	5074	2773
AL645882.2.region005	5074	2800
CP009124.1.region022	5074	2800
AL645882.2.region003	5074	2802
CP009124.1.region024	5074	2802
CP011382.1.region001	5074	2806
CP011382.1.region002	5074	2807
CP011382.1.region006	5074	2811
CP011664.1.region009	5074	2822
CP011664.1.region011	5074	2824
CP011664.1.region013	5074	2826
CP011664.1.region014	5074	2827
CP011664.1.region015	5074	2828
CP011664.1.region017	5074	2830
CP011664.1.region020	5074	2833
CP011664.1.region022	5074	2835
CP011665.1.region004	5074	2844
CP020114.1.region001	5074	2846
CP020114.1.region003	5074	2848
CP020114.1.region004	5074	2849
CP020114.1.region008	5074	2853
CP020114.1.region009	5074	2854
CP032543.1.region011	5074	2877
ABYX02000001.1.region025	5074	2893
CP032543.1.region027	5074	2893
JNLT01000002.1.region001	5074	2893
CP040916.1.region002	5074	2898
CP040916.1.region007	5074	2903
CP040916.1.region021	5074	2917
CP040916.1.region022	5074	2918
CP040916.1.region023	5074	2919
CP040916.1.region036	5074	2932
CP040916.1.region038	5074	2934
CP040916.1.region040	5074	2936
CP043056.1.region001	5074	2940
CP043056.1.region003	5074	2942
CP049782.1.region004	5074	2957
CP049782.1.region005	5074	2958
CP049782.1.region009	5074	2962
CP049782.1.region012	5074	2965
CP049782.1.region013	5074	2966
CP049782.1.region023	5074	2976
CP049782.1.region025	5074	2978
DS999641.1.region004	5074	2985
DS999641.1.region012	5074	2993
DS999641.1.region017	5074	2998
DS999641.1.region019	5074	3000
DS999641.1.region021	5074	3002
DS999641.1.region025	5074	3006
FP565176.1.region008	5074	3018
GG657754.1.region014	5074	3036
GG657754.1.region023	5074	3045
GG657754.1.region035	5074	3057
GG657758.1.region001	5074	3063
GG657758.1.region008	5074	3070
GG657758.1.region018	5074	3080
GG657758.1.region020	5074	3082
GG657758.1.region023	5074	3085
GG668533.1.region001	5074	3087
GG770199.1.region001	5074	3095
GL349422.1.region001	5074	3096
GL383101.1.region001	5074	3098
GL383225.1.region001	5074	3098
GL383625.1.region001	5074	3098
GL384072.1.region001	5074	3098
GL384102.1.region001	5074	3098
GL384383.1.region001	5074	3098
GL383180.1.region001	5074	3106
GL384144.1.region001	5074	3106
GL384205.1.region002	5074	3180
AFUM01000003.1.region001	5074	3195
CP001977.1.region002	5074	3195
GL383112.1.region001	5074	3195
GL383125.1.region001	5074	3195
GL383162.1.region001	5074	3195
GL383245.1.region002	5074	3195
GL383250.1.region001	5074	3195
GL383283.1.region002	5074	3195
GL383306.1.region001	5074	3195
GL383325.1.region002	5074	3195
GL383364.1.region001	5074	3195
GL383379.1.region001	5074	3195
GL383446.1.region001	5074	3195
GL383459.1.region001	5074	3195
GL383465.1.region002	5074	3195
GL383492.1.region001	5074	3195
GL383502.1.region002	5074	3195
GL383596.1.region001	5074	3195
GL383621.1.region001	5074	3195
GL383669.1.region002	5074	3195
GL383688.1.region002	5074	3195
GL383701.1.region001	5074	3195
GL383714.1.region001	5074	3195
GL383727.1.region002	5074	3195
GL383735.1.region002	5074	3195
GL383759.1.region001	5074	3195
GL383785.1.region001	5074	3195
GL383810.1.region002	5074	3195
GL383821.1.region002	5074	3195
GL383923.1.region002	5074	3195
GL383972.1.region001	5074	3195
GL384167.1.region001	5074	3195
GL384198.1.region001	5074	3195
GL384252.1.region001	5074	3195
GL384260.1.region001	5074	3195
GL384452.1.region001	5074	3195
GL384508.1.region001	5074	3195
GL384524.1.region001	5074	3195
GL384547.1.region002	5074	3195
GL384581.1.region001	5074	3195
GL384605.1.region001	5074	3195
GL384611.1.region002	5074	3195
GL622638.1.region001	5074	3206
GL834357.1.region001	5074	3207
GL890584.1.region001	5074	3208
JH815185.1.region001	5074	3208
GL945335.1.region001	5074	3210
GL945352.1.region001	5074	3211
JAACKE010000001.region003	5074	3214
JAACKE010000001.region005	5074	3216
JAACKE010000001.region006	5074	3217
JAACKE010000001.region010	5074	3221
JAACKE010000001.region016	5074	3227
JAACKE010000003.region007	5074	3240
JAACKE010000004.region001	5074	3243
JAACKE010000004.region002	5074	3244
JAIY01000001.1.region001	5074	3249
JAIY01000003.1.region005	5074	3254
JAIY01000005.1.region001	5074	3260
JAIY01000006.1.region002	5074	3263
JAIY01000006.1.region003	5074	3264
JAIY01000006.1.region004	5074	3265
JAIY01000010.1.region001	5074	3268
JAIY01000014.1.region002	5074	3275
JAIY01000016.1.region001	5074	3277
JAIY01000021.1.region002	5074	3288
JH114322.1.region002	5074	3294
JH724112.1.region001	5074	3294
JH724133.1.region001	5074	3294
JH376860.1.region001	5074	3297
JH810984.1.region001	5074	3321
JH811849.1.region001	5074	3321
JH812946.1.region001	5074	3321
BGC0000618.1	5074	3323
JH809541.1.region001	5074	3323
JH810348.1.region001	5074	3323
JH810995.1.region001	5074	3323
JH813466.1.region001	5074	3323
c06207_NODE_62...region001	5074	3323
JH980292.1.region001	5074	3333
JH980292.1.region005	5074	3337
JH992888.1.region001	5074	3338
JH992893.1.region002	5074	3345
JH992898.1.region004	5074	3352
JH992901.1.region003	5074	3363
JH992901.1.region006	5074	3366
JH992901.1.region007	5074	3367
JH992901.1.region008	5074	3368
JH992901.1.region011	5074	3371
JH993797.1.region005	5074	3381
JH993797.1.region006	5074	3382
JH993797.1.region007	5074	3383
JH993797.1.region009	5074	3385
JMCC02000004.1.region001	5074	3388
PVNL01000139.1.region002	5074	3388
JMCC02000042.1.region001	5074	3397
JMCC02000082.1.region001	5074	3409
JMCC02000128.1.region001	5074	3418
JNID01000001.1.region003	5074	3432
JNID01000028.1.region002	5074	3452
JNLT01000004.1.region001	5074	3473
JNLT01000014.1.region002	5074	3486
JNLT01000020.1.region001	5074	3491
JNYZ01000002.1.region002	5074	3513
JNYZ01000006.1.region001	5074	3516
JNYZ01000014.1.region001	5074	3525
JNYZ01000022.1.region001	5074	3529
JNYZ01000027.1.region001	5074	3531
JOIW01000005.1.region003	5074	3546
JOIW01000011.1.region002	5074	3555
JOIW01000023.1.region001	5074	3565
JQMD01000002.1.region004	5074	3570
JXYX01000009.1.region001	5074	3581
JXYX01000010.1.region001	5074	3582
KB217478.1.region005	5074	3589
KB217478.1.region008	5074	3592
KB217478.1.region011	5074	3595
KB217478.1.region015	5074	3599
KB217478.1.region018	5074	3602
KB217478.1.region020	5074	3604
KB217483.1.region003	5074	3609
KB217483.1.region006	5074	3612
KB217483.1.region007	5074	3613
KB235910.1.region001	5074	3615
KB235914.1.region001	5074	3616
KB235914.1.region002	5074	3617
KB235914.1.region003	5074	3618
KB235914.1.region004	5074	3619
KB235914.1.region006	5074	3621
KB235916.1.region001	5074	3623
KB235917.1.region001	5074	3624
KB235919.1.region003	5074	3627
KB235922.1.region003	5074	3631
KB235922.1.region004	5074	3632
KB235922.1.region005	5074	3633
KB235922.1.region014	5074	3642
KB235930.1.region001	5074	3645
KB235933.1.region001	5074	3655
KB235948.1.region005	5074	3665
KB235948.1.region006	5074	3666
KB235948.1.region007	5074	3667
KB235948.1.region009	5074	3669
KB235949.1.region001	5074	3671
KB235950.1.region001	5074	3672
KB235952.1.region001	5074	3675
KB445544.1.region001	5074	3676
