#BGC Name	Clan Number	Family Number
ABCS01000010.1.region001	1626	5
ABCS01000057.1.region001	1626	16
ABJH01000007.1.region001	1626	32
ABJH01000031.1.region001	1626	37
ABJH01000045.1.region001	1626	39
ABJH01000101.1.region001	1626	42
ABJH01000139.1.region001	1626	44
ABJH01000155.1.region001	1626	46
ABJH01000209.1.region001	1626	48
ABJH01000362.1.region001	1626	52
ABJH01000476.1.region001	1626	59
ABJH01000487.1.region001	1626	63
ABJH01000545.1.region001	1626	66
ABYC01000011.1.region001	1626	74
KB898240.1.region001	1626	74
ABYC01000041.1.region001	1626	88
KB898224.1.region002	1626	88
ABYC01000188.1.region001	1626	91
AL645882.2.region009	1626	91
AUEV01000012.1.region001	1626	91
AUKN01000014.1.region002	1626	91
AUKO01000004.1.region001	1626	91
AUKW01000011.1.region001	1626	91
AZWL01000024.1.region001	1626	91
BGC0000941.1	1626	91
BGC0001478.1	1626	91
CP003229.1.region004	1626	91
CP049782.1.region019	1626	91
KB898230.1.region001	1626	91
KE354211.1.region002	1626	91
PEFS01000001.1.region008	1626	91
PPFB01000001.1.region014	1626	91
PTJS01000001.1.region014	1626	91
QKWM01000004.1.region005	1626	91
ABYX02000001.1.region003	1626	114
ABYX02000001.1.region010	1626	121
BGC0000904.1	1626	121
ABYX02000001.1.region012	1626	123
ABYX02000001.1.region019	1626	130
BGC0001452.1	1626	130
BGC0001522.1	1626	130
ACAA02000013.1.region001	1626	144
KQ235759.1.region001	1626	144
ACRC01000513.1.region001	1626	165
ACRC01000706.1.region001	1626	168
HE798385.1.region002	1626	168
ACRE02000004.1.region001	1626	169
KI391967.1.region001	1626	169
ACRE02000050.1.region001	1626	171
KI391969.1.region001	1626	171
ACRG01000003.1.region001	1626	173
ACRG01000005.1.region001	1626	175
ACRG01000005.1.region002	1626	176
ACRG01000009.1.region002	1626	179
ACUZ02000036.1.region001	1626	185
GG703886.1.region001	1626	185
ACVN02000048.1.region001	1626	187
ACYA01000058.1.region001	1626	223
ACZJ01000014.1.region001	1626	228
ACQH01000068.1.region001	1626	230
ACZS01000058.1.region001	1626	230
GG704825.1.region001	1626	230
GG740073.1.region001	1626	230
ADFQ01000003.1.region001	1626	236
ADFQ01000071.1.region001	1626	237
ADGJ01000005.1.region001	1626	240
ADGJ01000055.1.region001	1626	241
ADXZ01000014.1.region001	1626	286
ADYP01000007.1.region001	1626	286
ADYS01000018.1.region001	1626	286
ADZB01000018.1.region001	1626	286
ADZE01000023.1.region001	1626	286
ADZG01000028.1.region001	1626	286
GL383280.1.region001	1626	286
GL383323.1.region001	1626	286
GL383588.1.region001	1626	286
GL383757.1.region001	1626	286
GL384531.1.region001	1626	286
GL384561.1.region001	1626	286
ACWU01000096.1.region001	1626	349
AE004091.2.region002	1626	349
AP012280.1.region002	1626	349
CP000438.1.region011	1626	349
CP000744.1.region011	1626	349
CP002496.1.region013	1626	349
CP003149.1.region012	1626	349
CP006853.1.region011	1626	349
CP006931.1.region012	1626	349
CP006937.1.region013	1626	349
FM209186.1.region013	1626	349
QOLE01000001.1.region002	1626	349
AGDH01000015.1.region002	1626	383
AGDJ01000001.1.region001	1626	383
AGDK01000003.1.region002	1626	383
AGDL01000006.1.region001	1626	383
AGDO01000026.1.region001	1626	383
AGDP01000021.1.region001	1626	383
AGXF01000025.1.region001	1626	432
JH724082.1.region001	1626	432
AGXG01000031.1.region001	1626	434
JH724085.1.region002	1626	434
ACGA02000059.1.region001	1626	442
ACWH01000015.1.region001	1626	442
ADCL01000038.1.region001	1626	442
AGXG01000001.1.region001	1626	442
AGXW01000011.1.region001	1626	442
AKBZ01000009.1.region001	1626	442
GL945023.1.region001	1626	442
JH636026.1.region001	1626	442
c00508_NODE_50...region001	1626	442
c00630_NODE_63...region001	1626	442
c00748_NODE_74...region001	1626	442
AHCD02000041.1.region001	1626	451
AHCD03000036.1.region001	1626	451
AHCD02000116.1.region001	1626	458
AHCD03000035.1.region001	1626	458
AHCD02000036.1.region001	1626	473
AHCD03000026.1.region001	1626	473
AIIJ01000945.1.region001	1626	515
AL009126.3.region005	1626	558
AL009126.3.region010	1626	563
AL645882.2.region008	1626	575
BGC0000910.1	1626	575
CP009124.1.region019	1626	575
QKWM01000004.1.region006	1626	575
AL645882.2.region018	1626	585
CP009124.1.region009	1626	585
AL645882.2.region026	1626	593
CP009124.1.region003	1626	593
AL645882.2.region027	1626	594
CP009124.1.region002	1626	594
ALNJ01000036.1.region001	1626	614
AM743169.1.region004	1626	648
AM747721.1.region002	1626	654
CP000379.1.region005	1626	654
LAUA01000016.1.region001	1626	654
AMGT01000001.1.region001	1626	672
AMGU01000028.1.region001	1626	672
AMGT01000028.1.region001	1626	674
AMGU01000007.1.region001	1626	674
AMGT01000037.1.region001	1626	675
AMGU01000003.1.region001	1626	675
AP009324.1.region003	1626	701
BA000033.2.region004	1626	701
BGC0000944.1	1626	701
BX571856.1.region004	1626	701
CP000253.1.region004	1626	701
CP000255.1.region004	1626	701
CP000736.1.region003	1626	701
CP001844.2.region003	1626	701
CP003045.1.region004	1626	701
CP003603.1.region004	1626	701
AP009324.1.region004	1626	702
BA000033.2.region005	1626	702
BX571856.1.region005	1626	702
CP000253.1.region005	1626	702
CP000255.1.region005	1626	702
CP000736.1.region004	1626	702
CP001844.2.region004	1626	702
CP003045.1.region005	1626	702
CP003603.1.region005	1626	702
AP018314.1.region002	1626	728
AP018314.1.region005	1626	731
CP020114.1.region003	1626	731
AP009552.1.region001	1626	741
AP019314.1.region008	1626	741
AP009552.1.region003	1626	743
AP019314.1.region010	1626	743
JXYX01000016.1.region001	1626	743
AQFP01000003.1.region002	1626	746
AQFP01000012.1.region001	1626	747
AQFP01000012.1.region002	1626	748
AQFP01000012.1.region003	1626	749
AQFP01000017.1.region001	1626	750
AQFP01000018.1.region001	1626	751
AQPE01000039.1.region001	1626	761
ARIM01000055.1.region002	1626	761
AZXC01000001.1.region002	1626	761
BGC0000940.1	1626	761
CP009124.1.region018	1626	761
CP011664.1.region012	1626	761
GG657754.1.region019	1626	761
KB846746.1.region001	1626	761
KB897778.1.region001	1626	761
KB898273.1.region002	1626	761
AQPE01000043.1.region001	1626	762
AZXC01000040.1.region001	1626	762
AZXC01000047.1.region001	1626	762
KB846742.1.region001	1626	762
ARBB01000003.1.region002	1626	792
JAASAV010000002.region003	1626	792
ARBB01000003.1.region003	1626	793
JAASAV010000002.region002	1626	793
ARBB01000003.1.region005	1626	795
AXVR01000046.1.region001	1626	795
AZVX01000011.1.region001	1626	795
BGC0000827.1	1626	795
JAASAV010000007.region001	1626	795
JAASAW010000016.region001	1626	795
JAASAX010000008.region001	1626	795
ARBB01000004.1.region002	1626	809
ARGG01000029.1.region001	1626	820
ARGJ01000048.1.region001	1626	820
ARGK01000112.1.region002	1626	820
AZWQ01000021.1.region001	1626	820
ARGJ01000026.1.region001	1626	867
ARBB01000004.1.region003	1626	889
ARGH01000065.1.region001	1626	889
ARGJ01000077.1.region001	1626	889
ARGK01000115.1.region001	1626	889
AZVY01000012.1.region001	1626	889
AZWB01000005.1.region001	1626	889
JAASAV010000010.region001	1626	889
JAASAW010000004.region001	1626	889
JAASAX010000002.region002	1626	889
ARGK01000067.1.region001	1626	893
ARGK01000088.1.region001	1626	896
ARGJ01000068.1.region001	1626	915
ARGK01000114.1.region001	1626	915
AUGH01000002.1.region002	1626	915
AZVY01000002.1.region004	1626	915
AZWB01000004.1.region002	1626	915
ARHR01000091.1.region001	1626	1016
ARHU01000070.1.region001	1626	1016
AUKP01000004.1.region001	1626	1016
AXVU01000004.1.region002	1626	1016
AZWZ01000007.1.region001	1626	1016
JNID01000004.1.region001	1626	1016
KB897363.1.region001	1626	1016
KB897621.1.region001	1626	1016
KB897715.1.region001	1626	1016
KL370763.1.region001	1626	1016
PGEW01000003.1.region006	1626	1016
SHLF01000001.1.region015	1626	1016
ARJI01000055.1.region002	1626	1079
BGC0000912.1	1626	1079
KB898991.1.region002	1626	1079
ABYX02000001.1.region027	1626	1087
ARJI01000057.1.region002	1626	1087
BGC0000911.1	1626	1087
CP032543.1.region029	1626	1087
JNLT01000009.1.region003	1626	1087
KB898990.1.region007	1626	1087
ATCF01000012.1.region001	1626	1090
KE150480.1.region001	1626	1090
AUEV01000002.1.region001	1626	1091
AUEV01000003.1.region002	1626	1094
AUEV01000019.1.region002	1626	1106
AUFD01000012.1.region001	1626	1116
AUFD01000018.1.region001	1626	1121
AUFD01000019.1.region001	1626	1122
AUFD01000032.1.region001	1626	1127
AUGH01000011.1.region001	1626	1143
ARGG01000060.1.region005	1626	1147
AUGH01000017.1.region001	1626	1147
AXVR01000023.1.region001	1626	1147
AZVY01000002.1.region008	1626	1147
AZWJ01000025.1.region001	1626	1147
AZWQ01000005.1.region004	1626	1147
AZXH01000017.1.region001	1626	1147
AUKN01000002.1.region002	1626	1161
AUKO01000020.1.region001	1626	1197
AUKQ01000006.1.region001	1626	1253
AUKQ01000006.1.region002	1626	1254
AUKQ01000013.1.region001	1626	1258
AUKQ01000014.1.region001	1626	1260
AUKQ01000019.1.region001	1626	1264
ABYC01000118.1.region001	1626	1271
AL645882.2.region007	1626	1271
AUEV01000007.1.region001	1626	1271
AUFD01000006.1.region001	1626	1271
