BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABCS01000001.1.region002	ABCS01000001.1	ABCS01000001.1 Plesiocystis pacifica SIR-1 1103186006202, whole genome shotgun sequence	siderophore	Others		
ABCS01000010.1.region001	ABCS01000010.1	ABCS01000010.1 Plesiocystis pacifica SIR-1 1103186006341, whole genome shotgun sequence	siderophore	Others		
ABCS01000057.1.region001	ABCS01000057.1	ABCS01000057.1 Plesiocystis pacifica SIR-1 1103186006201, whole genome shotgun sequence	arylpolyene	Others		
ABYX02000001.1.region003	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS-like.nucleoside.T1PKS	Others		
ABYX02000001.1.region006	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	ectoine	Others		
ABYX02000001.1.region008	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	siderophore	Others		
ABYX02000001.1.region010	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS.betalactone.phosphonate	Others		
ABYX02000001.1.region012	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS.siderophore.lassopeptide	Others		
ABYX02000001.1.region018	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	siderophore	Others		
ABYX02000001.1.region019	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	oligosaccharide.T1PKS	Others		
ABYX02000001.1.region027	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	melanin	Others		
ACVN02000048.1.region001	ACVN02000048.1	ACVN02000048.1 Propionibacterium acidifaciens F0233 ctg1127964738429, whole genome shotgun sequence	arylpolyene	Others		
ACYA01000058.1.region001	ACYA01000058.1	ACYA01000058.1 Cylindrospermopsis raciborskii CS-505 CS505_58, whole genome shotgun sequence	arylpolyene	Others		
ADFQ01000003.1.region001	ADFQ01000003.1	ADFQ01000003.1 Prevotella amnii CRIS 21A-A contig00142, whole genome shotgun sequence	arylpolyene	Others		
ADFQ01000071.1.region001	ADFQ01000071.1	ADFQ01000071.1 Prevotella amnii CRIS 21A-A contig00022, whole genome shotgun sequence	resorcinol	Others		
ADGJ01000005.1.region001	ADGJ01000005.1	ADGJ01000005.1 Prevotella nigrescens F0103 abVga-supercont1.5, whole genome shotgun sequence	resorcinol	Others		
