#BGC Name	Clan Number	Family Number
ABCS01000010.1.region001	5	5
ABCS01000057.1.region001	5	16
ABYX02000001.1.region003	5	34
ABYX02000001.1.region010	5	41
BGC0000904.1	5	41
ABYX02000001.1.region012	5	43
ABYX02000001.1.region027	5	58
BGC0000911.1	5	58
CP032543.1.region029	5	58
JNLT01000009.1.region003	5	58
KB898990.1.region007	5	58
ACVN02000048.1.region001	5	64
ACYA01000058.1.region001	5	79
ADFQ01000003.1.region001	5	84
ADFQ01000071.1.region001	5	85
ADGJ01000005.1.region001	5	87
ADGJ01000055.1.region001	5	88
AHCD02000036.1.region001	5	101
AHCD02000041.1.region001	5	102
AHCD02000116.1.region001	5	109
AL589148.1.region002	5	129
BGC0000914.1	5	129
AL645882.2.region018	5	147
CP009124.1.region009	5	147
AL645882.2.region019	5	148
BGC0000038.1	5	148
CP009124.1.region008	5	148
AL645882.2.region026	5	155
CP009124.1.region003	5	155
AP009552.1.region001	5	187
AP019314.1.region008	5	187
AP018314.1.region002	5	200
AUEV01000002.1.region001	5	217
AUEV01000003.1.region002	5	220
AUEV01000012.1.region001	5	224
AUKN01000014.1.region002	5	224
AUKO01000004.1.region001	5	224
AUKW01000011.1.region001	5	224
CP003229.1.region004	5	224
CP049782.1.region019	5	224
KE354211.1.region002	5	224
AUEV01000019.1.region002	5	232
AUFD01000012.1.region001	5	242
AUFD01000018.1.region001	5	247
AUFD01000019.1.region001	5	248
AUFD01000032.1.region001	5	253
AUKN01000002.1.region002	5	264
AUKO01000020.1.region001	5	300
AUKP01000009.1.region002	5	315
AXVU01000007.1.region001	5	315
AZWZ01000010.1.region002	5	315
JNID01000010.1.region002	5	315
KB897366.1.region002	5	315
KB897626.1.region002	5	315
KB897719.1.region002	5	315
AUKQ01000006.1.region001	5	354
AUKQ01000006.1.region002	5	355
AUKQ01000013.1.region001	5	359
AUKQ01000014.1.region001	5	361
AUKQ01000019.1.region001	5	365
AUKR01000007.1.region001	5	376
AUKR01000007.1.region002	5	377
AUKR01000011.1.region001	5	379
AUKR01000015.1.region001	5	381
AUKR01000016.1.region001	5	382
AUKW01000001.1.region002	5	394
AUKW01000002.1.region002	5	397
AUKW01000003.1.region001	5	400
AUKW01000006.1.region001	5	404
AUKW01000006.1.region002	5	405
AUKW01000014.1.region002	5	410
AUKW01000019.1.region001	5	411
AXVU01000022.1.region001	5	436
AXVU01000022.1.region002	5	437
AYUD01000001.1.region004	5	462
AYUD01000001.1.region006	5	464
AYUD01000001.1.region009	5	467
AYUD01000017.1.region003	5	474
AYUD01000023.1.region001	5	476
AZUS01000004.1.region001	5	478
AZUS01000007.1.region001	5	480
AZUS01000017.1.region002	5	487
AL645882.2.region007	5	488
AZUS01000020.1.region001	5	488
DS999641.1.region018	5	488
GG657758.1.region017	5	488
KE354475.1.region001	5	488
PPFB01000001.1.region015	5	488
AZUS01000041.1.region001	5	496
BGC0001083.1	5	496
AZWL01000001.1.region001	5	500
AUKP01000003.1.region001	5	509
AXVU01000014.1.region001	5	509
AZWL01000004.1.region004	5	509
AZWZ01000036.1.region001	5	509
JNID01000011.1.region002	5	509
KB897378.1.region001	5	509
KB897633.1.region003	5	509
KB897730.1.region003	5	509
AZWL01000014.1.region001	5	518
AZWL01000057.1.region001	5	529
AZWL01000078.1.region001	5	536
AUKP01000047.1.region001	5	568
AZWZ01000048.1.region001	5	568
JNID01000042.1.region001	5	568
KB897406.1.region001	5	568
KB897654.1.region001	5	568
KB897745.1.region001	5	568
AUKP01000050.1.region001	5	572
AXVU01000092.1.region001	5	572
AZUS01000036.1.region001	5	572
AZWZ01000060.1.region001	5	572
BGC0000652.1	5	572
BGC0001079.1	5	572
KB897417.1.region001	5	572
KB897677.1.region001	5	572
KB897756.1.region001	5	572
AXVU01000097.1.region001	5	574
AZWZ01000069.1.region001	5	574
JNID01000045.1.region001	5	574
KB897426.1.region001	5	574
KB897760.1.region001	5	574
BA000019.2.region001	5	617
BA000019.2.region011	5	627
CP000117.1.region002	5	627
BGC0000210.1	5	850
CP032543.1.region008	5	850
BGC0000847.1	5	1476
CP003229.1.region008	5	1476
BGC0000849.1	5	1478
BGC0001476.1	5	2091
CP049782.1.region006	5	2091
BGC0001507.1	5	2120
CP049782.1.region012	5	2120
ABYX02000001.1.region019	5	2135
BGC0001452.1	5	2135
BGC0001522.1	5	2135
BGC0001074.1	5	2171
BGC0001558.1	5	2171
BGC0001568.1	5	2171
KB846726.1.region002	5	2171
KB898282.1.region002	5	2171
