BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABCS01000005.1.region001	ABCS01000005.1	ABCS01000005.1 Plesiocystis pacifica SIR-1 1103186006297, whole genome shotgun sequence	transAT-PKS	PKSother		
ABCS01000016.1.region001	ABCS01000016.1	ABCS01000016.1 Plesiocystis pacifica SIR-1 1103186006307, whole genome shotgun sequence	T3PKS	PKSother		
ABCS01000022.1.region001	ABCS01000022.1	ABCS01000022.1 Plesiocystis pacifica SIR-1 1103186006288, whole genome shotgun sequence	hglE-KS.T1PKS	PKSother		
ABCS01000028.1.region001	ABCS01000028.1	ABCS01000028.1 Plesiocystis pacifica SIR-1 1103186006295, whole genome shotgun sequence	T3PKS	PKSother		
ABCS01000035.1.region001	ABCS01000035.1	ABCS01000035.1 Plesiocystis pacifica SIR-1 1103186006318, whole genome shotgun sequence	PKS-like	PKSother		
ABCS01000133.1.region001	ABCS01000133.1	ABCS01000133.1 Plesiocystis pacifica SIR-1 1103186006298, whole genome shotgun sequence	transAT-PKS-like	PKSother		
ABYX02000001.1.region001	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
ABYX02000001.1.region011	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	T2PKS	PKSother		
ABYX02000001.1.region021	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
ABYX02000001.1.region024	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
ABYX02000001.1.region026	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
ABYX02000001.1.region028	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	T3PKS	PKSother		
ABYX02000001.1.region029	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
ACYA01000027.1.region001	ACYA01000027.1	ACYA01000027.1 Cylindrospermopsis raciborskii CS-505 CS505_3, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ACYA01000047.1.region001	ACYA01000047.1	ACYA01000047.1 Cylindrospermopsis raciborskii CS-505 CS505_48, whole genome shotgun sequence	hglE-KS	PKSother		
ACYA01000060.1.region001	ACYA01000060.1	ACYA01000060.1 Cylindrospermopsis raciborskii CS-505 CS505_6, whole genome shotgun sequence	hglE-KS.T1PKS	PKSother		
AFDI01000005.1.region001	AFDI01000005.1	AFDI01000005.1 Gardnerella vaginalis 315-A contig00013, whole genome shotgun sequence	T3PKS	PKSother		
AHCD02000075.1.region001	AHCD02000075.1	AHCD02000075.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig075, whole genome shotgun sequence	T3PKS	PKSother		
AHCD02000148.1.region001	AHCD02000148.1	AHCD02000148.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig148, whole genome shotgun sequence	NRPS.transAT-PKS	PKS-NRP_Hybrids		
AHCD02000170.1.region001	AHCD02000170.1	AHCD02000170.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig170, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
AL645882.2.region001	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	hglE-KS.T1PKS	PKSother		
AL645882.2.region006	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	T3PKS	PKSother		
AL645882.2.region011	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	T2PKS	PKSother		
AL645882.2.region013	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	T2PKS	PKSother		
AL645882.2.region015	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	NRPS-like.T1PKS	PKS-NRP_Hybrids		
AL645882.2.region023	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	T1PKS.PKS-like	PKSother		
AL645882.2.region025	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	T3PKS	PKSother		
AL645882.2.region027	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	NRPS.terpene.T3PKS	Others		
ALVU02000001.1.region004	ALVU02000001.1	ALVU02000001.1 Synechocystis sp. PCC 7509 SYN7509DRAFT_scaffold1.1_C, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
ALVZ01000171.1.region001	ALVZ01000171.1	ALVZ01000171.1 Xenococcus sp. PCC 7305 scaffold_00171, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ALVZ01000197.1.region001	ALVZ01000197.1	ALVZ01000197.1 Xenococcus sp. PCC 7305 scaffold_00197, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ALVZ01000228.1.region001	ALVZ01000228.1	ALVZ01000228.1 Xenococcus sp. PCC 7305 scaffold_00228, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ALVZ01000233.1.region001	ALVZ01000233.1	ALVZ01000233.1 Xenococcus sp. PCC 7305 scaffold_00233, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
ALWB01000066.1.region001	ALWB01000066.1	ALWB01000066.1 Pseudanabaena biceps PCC 7429 scaffold_00066, whole genome shotgun sequence	T3PKS	PKSother		
ALWB01000112.1.region001	ALWB01000112.1	ALWB01000112.1 Pseudanabaena biceps PCC 7429 scaffold_00112, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
AP009552.1.region006	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	hglE-KS.NRPS.T1PKS	PKS-NRP_Hybrids		
AP009552.1.region008	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	NRPS.T1PKS	PKS-NRP_Hybrids		
AP018314.1.region001	AP018314.1	AP018314.1 Sphaerospermopsis kisseleviana NIES-73 DNA, nearly complete genome	hglE-KS.T1PKS	PKSother		
AP018314.1.region006	AP018314.1	AP018314.1 Sphaerospermopsis kisseleviana NIES-73 DNA, nearly complete genome	hglE-KS	PKSother		
AP019314.1.region003	AP019314.1	AP019314.1 Microcystis viridis NIES-102 DNA, complete genome	NRPS.T1PKS	PKS-NRP_Hybrids		
AP019314.1.region011	AP019314.1	AP019314.1 Microcystis viridis NIES-102 DNA, complete genome	NRPS-like.T1PKS	PKS-NRP_Hybrids		
AUEV01000018.1.region001	AUEV01000018.1	AUEV01000018.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00016.16_C, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
AUEV01000019.1.region002	AUEV01000019.1	AUEV01000019.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00017.17_C, whole genome shotgun sequence	hglE-KS.lanthipeptide.T1PKS	Others		
AUFD01000005.1.region002	AUFD01000005.1	AUFD01000005.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00003.3_C, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids		
AUFD01000012.1.region001	AUFD01000012.1	AUFD01000012.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00010.10_C, whole genome shotgun sequence	hglE-KS.NRPS.linaridin	Others		
AUFD01000013.1.region001	AUFD01000013.1	AUFD01000013.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00011.11_C, whole genome shotgun sequence	hglE-KS	PKSother		
