BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABJH01000033.1.region001	ABJH01000033.1	ABJH01000033.1 Streptomyces clavuligerus strain ATCC 27064 cont1.33, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABYC01000012.1.region001	ABYC01000012.1	ABYC01000012.1 Streptomyces albidoflavus strain J1074 cont3.12, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ABYC01000015.1.region001	ABYC01000015.1	ABYC01000015.1 Streptomyces albidoflavus strain J1074 cont3.15, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ABYC01000481.1.region001	ABYC01000481.1	ABYC01000481.1 Streptomyces albidoflavus strain J1074 cont3.481, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABYX02000001.1.region001	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABYX02000001.1.region021	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABYX02000001.1.region024	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABYX02000001.1.region026	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ABYX02000001.1.region029	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ACYA01000027.1.region001	ACYA01000027.1	ACYA01000027.1 Cylindrospermopsis raciborskii CS-505 CS505_3, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
AGDH01000007.1.region001	AGDH01000007.1	AGDH01000007.1 Klebsiella oxytoca 09-7231 cont1.7, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AGDJ01000011.1.region001	AGDJ01000011.1	AGDJ01000011.1 Klebsiella oxytoca 10-5243 cont1.11, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AGDK01000036.1.region001	AGDK01000036.1	AGDK01000036.1 Klebsiella oxytoca 10-5244 cont1.36, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AGDL01000020.1.region001	AGDL01000020.1	AGDL01000020.1 Klebsiella oxytoca 10-5245 cont1.20, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AGDM01000035.1.region001	AGDM01000035.1	AGDM01000035.1 Raoultella ornithinolytica 10-5246 cont1.35, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AGDO01000001.1.region001	AGDO01000001.1	AGDO01000001.1 Klebsiella oxytoca 10-5249 cont1.1, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AGDP01000004.1.region001	AGDP01000004.1	AGDP01000004.1 Klebsiella michiganensis strain 10-5250 cont1.4, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AHCD02000148.1.region001	AHCD02000148.1	AHCD02000148.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig148, whole genome shotgun sequence	transAT-PKS.NRPS	PKS-NRP_Hybrids		
AHCD02000170.1.region001	AHCD02000170.1	AHCD02000170.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig170, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AHCD03000027.1.region001	AHCD03000027.1	AHCD03000027.1 Pseudoalteromonas rubra strain DSM 6842 contig027, whole genome shotgun sequence	transAT-PKS.NRPS	PKS-NRP_Hybrids		
AHCD03000044.1.region004	AHCD03000044.1	AHCD03000044.1 Pseudoalteromonas rubra strain DSM 6842 chromosome II contig044, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AL009126.3.region004	AL009126.3	AL009126.3 Bacillus subtilis subsp. subtilis str. 168 complete genome	T3PKS.transAT-PKS-like.PKS-like.transAT-PKS.NRPS	PKS-NRP_Hybrids		
AL645882.2.region015	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ALVU02000001.1.region004	ALVU02000001.1	ALVU02000001.1 Synechocystis sp. PCC 7509 SYN7509DRAFT_scaffold1.1_C, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ALVZ01000171.1.region001	ALVZ01000171.1	ALVZ01000171.1 Xenococcus sp. PCC 7305 scaffold_00171, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ALVZ01000197.1.region001	ALVZ01000197.1	ALVZ01000197.1 Xenococcus sp. PCC 7305 scaffold_00197, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ALVZ01000228.1.region001	ALVZ01000228.1	ALVZ01000228.1 Xenococcus sp. PCC 7305 scaffold_00228, whole genome shotgun sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids		
ALVZ01000233.1.region001	ALVZ01000233.1	ALVZ01000233.1 Xenococcus sp. PCC 7305 scaffold_00233, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
ALWB01000112.1.region001	ALWB01000112.1	ALWB01000112.1 Pseudanabaena biceps PCC 7429 scaffold_00112, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AMGU01000024.1.region001	AMGU01000024.1	AMGU01000024.1 Proteus mirabilis WGLW4 cont1.24, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AMLL01000008.1.region001	AMLL01000008.1	AMLL01000008.1 Klebsiella pneumoniae subsp. pneumoniae WGLW1 cont1.8, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AMLL01000009.1.region001	AMLL01000009.1	AMLL01000009.1 Klebsiella pneumoniae subsp. pneumoniae WGLW1 cont1.9, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AMLN01000011.1.region001	AMLN01000011.1	AMLN01000011.1 Klebsiella pneumoniae subsp. pneumoniae WGLW3 cont1.11, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AMLN01000013.1.region001	AMLN01000013.1	AMLN01000013.1 Klebsiella pneumoniae subsp. pneumoniae WGLW3 cont1.13, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
AP009552.1.region006	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	hglE-KS.T1PKS.NRPS	PKS-NRP_Hybrids		
AP009552.1.region008	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	T1PKS.NRPS	PKS-NRP_Hybrids		
AP019314.1.region003	AP019314.1	AP019314.1 Microcystis viridis NIES-102 DNA, complete genome	T1PKS.NRPS	PKS-NRP_Hybrids		
