#BGC Name	Clan Number	Family Number
ABCS01000001.1.region001	0	0
ABCS01000011.1.region001	0	6
ABCS01000021.1.region001	0	9
ABCS01000037.1.region001	0	14
ABCS01000038.1.region001	0	15
ABCS01000075.1.region001	0	17
ABYX02000001.1.region016	0	47
CP032543.1.region019	0	47
KB899004.1.region001	0	47
KL370899.1.region001	0	47
ACVN02000153.1.region001	0	68
ACYA01000001.1.region001	0	75
ACYA01000063.1.region001	0	81
ACYA01000091.1.region001	0	82
AL589148.1.region001	0	128
ALVU02000001.1.region002	0	160
ALVZ01000137.1.region001	0	168
ALVZ01000159.1.region001	0	171
ALVZ01000226.1.region001	0	175
ALWB01000151.1.region001	0	182
AP008231.1.region002	0	185
AP008231.1.region003	0	186
AP018314.1.region003	0	201
AP018314.1.region004	0	202
AP018314.1.region007	0	205
AUEV01000018.1.region003	0	230
AUFD01000019.1.region002	0	249
AUKN01000003.1.region002	0	269
AUKN01000003.1.region004	0	271
AUKN01000014.1.region001	0	280
AUKO01000003.1.region003	0	294
AUKO01000018.1.region001	0	299
AUKP01000006.1.region001	0	311
JNID01000002.1.region002	0	311
KB897369.1.region001	0	311
KB897629.1.region001	0	311
KB897722.1.region001	0	311
KI911510.1.region002	0	311
AUKP01000008.1.region001	0	313
JNID01000001.1.region001	0	313
KB897364.1.region002	0	313
KB897627.1.region001	0	313
KB897717.1.region001	0	313
AUKQ01000006.1.region001	0	354
AUKR01000007.1.region001	0	376
AUKR01000007.1.region002	0	377
AUKR01000010.1.region001	0	378
AUKR01000014.1.region001	0	380
AUKR01000016.1.region002	0	383
AUKR01000036.1.region001	0	388
AUKW01000001.1.region001	0	393
AUKW01000003.1.region001	0	400
AUKW01000003.1.region002	0	401
AUKW01000010.1.region001	0	406
AUKW01000019.1.region001	0	411
AXVU01000001.1.region001	0	425
AXVU01000022.1.region001	0	436
AXVU01000031.1.region001	0	441
AXVU01000055.1.region001	0	446
AL645882.2.region012	0	479
AZUS01000006.1.region001	0	479
BGC0000660.1	0	479
CP009124.1.region015	0	479
CP040916.1.region019	0	479
DS999641.1.region014	0	479
GG657758.1.region012	0	479
KE354250.1.region001	0	479
PPFB01000001.1.region012	0	479
AZUS01000007.1.region001	0	480
AZUS01000023.1.region001	0	489
PPFB01000001.1.region017	0	489
ABYX02000001.1.region023	0	497
AL645882.2.region022	0	497
AZUS01000042.1.region001	0	497
AZXC01000017.1.region002	0	497
BGC0000663.1	0	497
CM001165.1.region006	0	497
CP003219.1.region019	0	497
CP009124.1.region005	0	497
CP011664.1.region019	0	497
CP032543.1.region024	0	497
CP040916.1.region025	0	497
CP049782.1.region008	0	497
DS999641.1.region006	0	497
GG657754.1.region011	0	497
JAACKE010000001.region008	0	497
JNLT01000002.1.region002	0	497
JOIW01000005.1.region001	0	497
KB846715.1.region002	0	497
KB897782.1.region004	0	497
KB898221.1.region003	0	497
KB898270.1.region009	0	497
KB898990.1.region001	0	497
KE354160.1.region001	0	497
PPFB01000001.1.region007	0	497
PTJS01000001.1.region007	0	497
AZWL01000011.1.region002	0	517
AZWL01000044.1.region001	0	526
AZWL01000085.1.region001	0	537
AZWZ01000001.1.region001	0	538
JNID01000011.1.region001	0	538
KB897377.1.region001	0	538
KB897633.1.region001	0	538
KB897730.1.region001	0	538
AZWZ01000009.1.region001	0	544
AZWZ01000029.1.region001	0	561
AZXC01000009.1.region002	0	585
KB846732.1.region001	0	585
BA000019.2.region002	0	618
CP000117.1.region011	0	618
BA000019.2.region007	0	623
BA000019.2.region012	0	628
CP000117.1.region004	0	628
AP009552.1.region007	0	637
AP019314.1.region002	0	637
BEYQ01000009.1.region001	0	637
CP020771.1.region006	0	637
JXYX01000019.1.region001	0	637
BGC0000650.1	0	1281
CM001023.1.region002	0	1281
BGC0000661.1	0	1292
