#BGC Name	Family Number
ABCS01000001.1.region003	2
ABCS01000019.1.region001	8
ABCS01000086.1.region001	18
ABCS01000091.1.region001	19
ABCS01000105.1.region001	21
ABCS01000121.1.region001	22
ABYX02000001.1.region013	44
ACGB01000020.1.region001	62
ACVN02000045.1.region001	63
ACVN02000201.1.region001	70
ACVN02000221.1.region001	72
ACVN02000333.1.region001	74
ADFQ01000075.1.region001	86
AEAA01000004.1.region001	89
AEAA01000101.1.region001	90
AFII01000002.1.region001	92
AFUM01000011.1.region001	94
CP001977.1.region001	94
GL383285.1.region001	94
GL383405.1.region001	94
GL383480.1.region001	94
GL383588.1.region002	94
GL383611.1.region001	94
GL383780.1.region001	94
GL384186.1.region001	94
GL384236.1.region001	94
GL384259.1.region001	94
GL384551.1.region001	94
AHCD02000010.1.region001	98
AHCD02000041.1.region001	102
AHCD02000068.1.region001	103
AKFU01000032.1.region001	126
AKFU01000035.1.region001	127
AL645882.2.region021	150
BGC0000551.1	150
CP009124.1.region006	150
AL645882.2.region024	153
ALJM01000004.1.region001	157
ALJM01000050.1.region001	158
ALVU02000001.1.region001	159
ALVU02000002.1.region001	164
ALVZ01000119.1.region001	165
ALVZ01000124.1.region001	166
ALVZ01000150.1.region001	169
ALVZ01000151.1.region001	170
ALWB01000001.1.region001	179
ALWB01000239.1.region001	183
AP008231.1.region001	184
AP009552.1.region002	188
AP009552.1.region005	191
AP019314.1.region001	191
BEYQ01000001.1.region001	191
AP009552.1.region012	198
AP019314.1.region007	198
JXYX01000001.1.region001	198
AP018314.1.region005	203
AP019314.1.region009	214
AUEV01000013.1.region002	226
AUEV01000018.1.region002	229
KE384282.1.region002	229
AUEV01000019.1.region001	231
AUEV01000019.1.region002	232
BGC0000544.1	232
AUEV01000023.1.region001	233
AUFD01000010.1.region001	240
AUFD01000011.1.region001	241
AUFD01000012.1.region001	242
AUFD01000012.1.region002	243
AUFD01000017.1.region001	246
AUFD01000019.1.region001	248
AUKN01000001.1.region003	262
AUKN01000002.1.region001	263
AUKN01000002.1.region005	267
AUKN01000007.1.region002	273
AUKN01000008.1.region001	274
AUKN01000011.1.region001	277
AUKO01000003.1.region002	293
AUKO01000012.1.region001	296
AUKO01000013.1.region001	298
AUKO01000020.1.region001	300
AUKP01000001.1.region002	305
AUKP01000015.1.region001	318
AXVU01000051.1.region001	318
AZWL01000020.1.region001	318
AZWZ01000024.1.region001	318
JNID01000028.1.region001	318
KB897363.1.region002	318
KB897621.1.region002	318
KB897736.1.region001	318
AUKQ01000005.1.region001	351
AUKQ01000005.1.region003	353
AUKQ01000006.1.region002	355
AUKQ01000012.1.region001	358
AUKQ01000013.1.region002	360
AUKR01000002.1.region001	373
AUKR01000007.1.region001	376
AUKR01000011.1.region001	379
AUKR01000017.1.region001	384
AUKW01000001.1.region003	395
AUKW01000002.1.region004	399
AUKW01000005.1.region001	402
AUEV01000008.1.region001	404
AUKW01000006.1.region001	404
AUKW01000022.1.region002	414
AWXD01000026.1.region001	424
AXVU01000022.1.region002	437
AUKP01000022.1.region002	440
AXVU01000030.1.region001	440
AZWL01000011.1.region001	440
AZWZ01000017.1.region001	440
JNID01000009.1.region002	440
KB897401.1.region001	440
KB897638.1.region001	440
KB897735.1.region002	440
AYUD01000017.1.region001	472
AZUS01000003.1.region001	477
KE354077.1.region001	477
QKWM01000001.1.region005	477
AZUS01000007.1.region001	480
AZUS01000025.1.region001	491
AZUS01000032.1.region001	492
AZWL01000001.1.region002	501
AZWL01000010.1.region001	515
AZWL01000018.1.region001	519
AZWL01000027.1.region001	525
AZWZ01000015.1.region001	551
AZXC01000017.1.region001	595
KB846715.1.region003	595
KB898270.1.region008	595
AZXC01000020.1.region003	603
BA000019.2.region003	619
BA000019.2.region008	624
BA000020.2.region001	630
BEYQ01000001.1.region002	632
AP009552.1.region010	638
AP019314.1.region005	638
BEYQ01000011.1.region001	638
CP020771.1.region008	638
JXYX01000001.1.region002	638
BEYQ01000013.1.region001	642
CP020771.1.region007	642
BEYQ01000014.1.region001	643
BGC0000471.1	1119
BGC0000473.1	1119
BGC0000474.1	1119
BGC0000475.1	1119
BGC0000480.1	1119
BGC0000483.1	1119
CP020771.1.region004	1119
BGC0000610.1	1241
KE354297.1.region001	1241
BGC0001745.1	2354
KB235920.1.region001	2354
CACA01000034.1.region001	2441
CACA01000103.1.region001	2443
CACA01000265.1.region001	2446
CACA01000330.1.region001	2447
CACA01000374.1.region001	2456
CAFN01000024.1.region001	2458
CAFN01000035.1.region001	2459
CAFN01000056.1.region001	2460
CM001165.1.region008	2471
CM001165.1.region019	2482
CM001798.1.region001	2488
KB445544.1.region002	2488
AYUD01000017.1.region002	2490
CP000076.1.region002	2490
CP000094.2.region003	2490
CP000076.1.region015	2503
CP000094.2.region005	2508
CP000117.1.region001	2514
CP000117.1.region003	2516
CP000117.1.region007	2520
CP000119.1.region001	2528
CP001037.1.region004	2533
CP001037.1.region008	2537
CP001037.1.region010	2539
CP001037.1.region011	2540
CP001037.1.region013	2542
CP001037.1.region015	2544
CP001037.1.region017	2546
CP001038.1.region001	2550
CP001042.1.region001	2552
CP001287.1.region004	2556
CP001287.1.region005	2557
CP001344.1.region001	2561
CP001344.1.region002	2562
CP001344.1.region003	2563
CP001344.1.region004	2564
CP001344.1.region005	2565
CP001344.1.region006	2566
CP001344.1.region007	2567
CP001344.1.region009	2569
CP001344.1.region012	2572
CP001344.1.region013	2573
CP001345.1.region001	2574
CP002198.1.region007	2593
CP002199.1.region005	2598
CP002200.1.region001	2599
CP003219.1.region001	2601
CP003219.1.region004	2604
CP003219.1.region007	2607
CP003219.1.region011	2611
CP003219.1.region015	2615
CP003219.1.region018	2618
CP003229.1.region013	2636
CP003229.1.region015	2638
CP003284.1.region001	2639
CP003284.1.region006	2644
CP003549.1.region001	2651
CP003549.1.region002	2652
CP003549.1.region005	2655
CP003549.1.region008	2658
CP003549.1.region010	2660
CP003549.1.region012	2662
CP003549.1.region013	2663
CP003597.1.region001	2671
CP003597.1.region003	2673
CP003597.1.region007	2677
CP003597.1.region010	2680
CP003597.1.region012	2682
CP003600.1.region001	2683
CP003600.1.region003	2685
CP003600.1.region004	2686
CP003600.1.region007	2689
CP003600.1.region008	2690
CP003600.1.region011	2693
CP003600.1.region013	2695
CP003600.1.region016	2698
CP003610.1.region001	2699
CP003610.1.region004	2702
CP003610.1.region005	2703
CP003610.1.region006	2704
CP003610.1.region009	2707
CP003611.1.region001	2710
CP003630.1.region004	2714
CP003630.1.region006	2716
CP003630.1.region007	2717
CP003642.1.region004	2723
CP003642.1.region008	2727
CP003642.1.region015	2734
CP003642.1.region019	2738
CP003642.1.region020	2739
CP003646.1.region002	2745
CP003647.1.region002	2753
CP003943.1.region002	2756
CP003945.1.region001	2768
CP003945.1.region002	2769
CP003946.1.region002	2772
CP003946.1.region003	2773
AL645882.2.region005	2800
CP009124.1.region022	2800
AL645882.2.region003	2802
CP009124.1.region024	2802
CP011382.1.region001	2806
CP011382.1.region002	2807
CP011382.1.region006	2811
CP011664.1.region009	2822
CP011664.1.region011	2824
CP011664.1.region013	2826
CP011664.1.region014	2827
CP011664.1.region015	2828
CP011664.1.region017	2830
CP011664.1.region020	2833
CP011664.1.region022	2835
CP011665.1.region004	2844
CP020114.1.region001	2846
CP020114.1.region003	2848
CP020114.1.region004	2849
CP020114.1.region008	2853
CP020114.1.region009	2854
CP032543.1.region011	2877
ABYX02000001.1.region025	2893
CP032543.1.region027	2893
JNLT01000002.1.region001	2893
CP040916.1.region002	2898
CP040916.1.region007	2903
CP040916.1.region021	2917
CP040916.1.region022	2918
CP040916.1.region023	2919
CP040916.1.region036	2932
CP040916.1.region038	2934
CP040916.1.region040	2936
CP043056.1.region001	2940
CP043056.1.region003	2942
CP049782.1.region004	2957
CP049782.1.region005	2958
CP049782.1.region009	2962
CP049782.1.region012	2965
CP049782.1.region013	2966
CP049782.1.region023	2976
CP049782.1.region025	2978
DS999641.1.region004	2985
DS999641.1.region012	2993
DS999641.1.region017	2998
DS999641.1.region019	3000
DS999641.1.region021	3002
DS999641.1.region025	3006
FP565176.1.region008	3018
GG657754.1.region014	3036
GG657754.1.region023	3045
GG657754.1.region035	3057
GG657758.1.region001	3063
GG657758.1.region008	3070
GG657758.1.region018	3080
GG657758.1.region020	3082
GG657758.1.region023	3085
GG668533.1.region001	3087
GG770199.1.region001	3095
GL349422.1.region001	3096
GL383101.1.region001	3098
GL383225.1.region001	3098
GL383625.1.region001	3098
GL384072.1.region001	3098
GL384102.1.region001	3098
GL384383.1.region001	3098
GL383180.1.region001	3106
GL384144.1.region001	3106
GL384205.1.region002	3180
AFUM01000003.1.region001	3195
CP001977.1.region002	3195
GL383112.1.region001	3195
GL383125.1.region001	3195
GL383162.1.region001	3195
GL383245.1.region002	3195
GL383250.1.region001	3195
GL383283.1.region002	3195
GL383306.1.region001	3195
GL383325.1.region002	3195
GL383364.1.region001	3195
GL383379.1.region001	3195
GL383446.1.region001	3195
GL383459.1.region001	3195
GL383465.1.region002	3195
GL383492.1.region001	3195
GL383502.1.region002	3195
GL383596.1.region001	3195
GL383621.1.region001	3195
GL383669.1.region002	3195
GL383688.1.region002	3195
GL383701.1.region001	3195
GL383714.1.region001	3195
GL383727.1.region002	3195
GL383735.1.region002	3195
GL383759.1.region001	3195
GL383785.1.region001	3195
