#BGC Name	Clan Number	Family Number
ABCS01000003.1.region001	251	3
ABCS01000122.1.region001	251	23
ABCS01000183.1.region001	251	28
ABJH01000025.1.region001	251	35
ABJH01000026.1.region001	251	36
ABJH01000033.1.region001	251	38
ABJH01000100.1.region001	251	41
ABJH01000154.1.region001	251	45
ABJH01000155.1.region001	251	46
ABJH01000269.1.region001	251	50
BGC0000373.1	251	50
ABJH01000401.1.region001	251	54
ABJH01000402.1.region001	251	55
ABJH01000476.1.region001	251	59
ABJH01000477.1.region001	251	60
ABJH01000556.1.region001	251	68
ABYC01000006.1.region001	251	73
ABYC01000015.1.region001	251	76
ABYC01000045.1.region001	251	89
KB898224.1.region001	251	89
ABYC01000236.1.region001	251	93
BGC0001792.1	251	93
KB898235.1.region001	251	93
ABYC01000237.1.region001	251	94
ABYC01000250.1.region001	251	95
ABYC01000253.1.region001	251	96
ABYC01000412.1.region001	251	104
KB898228.1.region002	251	104
ABYC01000500.1.region001	251	111
ABYX02000001.1.region001	251	112
ABYX02000001.1.region029	251	112
ARJI01000031.1.region001	251	112
JNLT01000009.1.region001	251	112
KB899010.1.region001	251	112
ABYX02000001.1.region003	251	114
ABYX02000001.1.region005	251	116
BGC0000431.1	251	116
ABYX02000001.1.region009	251	120
BGC0000950.1	251	120
ABYX02000001.1.region010	251	121
ABYX02000001.1.region012	251	123
ABYX02000001.1.region017	251	128
ABYX02000001.1.region026	251	137
JNLT01000009.1.region004	251	137
ABYX02000001.1.region030	251	141
ACRB01000131.1.region001	251	157
AZJH01000039.1.region001	251	157
GG739940.1.region001	251	157
KI669428.1.region001	251	157
ACRB01000132.1.region001	251	158
ACVN02000087.1.region001	251	188
ACVN02000123.1.region001	251	189
ACVN02000145.1.region001	251	190
ACVN02000185.1.region001	251	192
ACVN02000205.1.region001	251	194
ACVN02000330.1.region001	251	196
ACWU01000219.1.region001	251	208
ACWU01000231.1.region001	251	209
ACWU01000232.1.region001	251	210
ACWU01000234.1.region001	251	211
ACWU01000235.1.region001	251	212
ACWU01000237.1.region001	251	213
ACWU01000238.1.region001	251	214
ACYA01000025.1.region001	251	220
ACYA01000027.1.region001	251	221
ADLL01000027.1.region001	251	242
ADXS01000014.1.region002	251	251
ADXW01000032.1.region001	251	251
ADXZ01000053.1.region001	251	251
ADYB01000060.1.region001	251	251
ADYC01000049.1.region001	251	251
ADYE01000045.1.region001	251	251
ADYF01000056.1.region001	251	251
ADYG01000071.1.region001	251	251
ADYK01000018.1.region001	251	251
ADYL01000016.1.region002	251	251
ADYN01000035.1.region001	251	251
ADYO01000023.1.region001	251	251
ADYP01000021.1.region001	251	251
ADYQ01000017.1.region001	251	251
ADYR01000020.1.region001	251	251
ADYS01000040.1.region001	251	251
ADYT01000010.1.region001	251	251
ADYU01000021.1.region001	251	251
ADYV01000051.1.region002	251	251
ADYW01000016.1.region001	251	251
ADZB01000031.1.region001	251	251
ADZE01000028.1.region001	251	251
ADZF01000026.1.region001	251	251
ADZH01000006.1.region001	251	251
ADZI01000031.1.region001	251	251
ADZK01000021.1.region002	251	251
ADZL01000027.1.region001	251	251
ADZM01000008.1.region001	251	251
ADZN01000006.1.region001	251	251
ADZO01000045.1.region001	251	251
ADZR01000020.1.region001	251	251
ADZS01000028.1.region001	251	251
ADZT01000014.1.region001	251	251
ADZU01000002.1.region001	251	251
ADZV01000031.1.region001	251	251
ADZW01000010.1.region001	251	251
GL383100.1.region001	251	251
GL383112.1.region002	251	251
GL383125.1.region002	251	251
GL383158.1.region001	251	251
GL383169.1.region001	251	251
GL383213.1.region001	251	251
GL383245.1.region001	251	251
GL383264.1.region001	251	251
GL383283.1.region001	251	251
GL383325.1.region001	251	251
GL383364.1.region002	251	251
GL383379.1.region002	251	251
GL383459.1.region002	251	251
GL383465.1.region001	251	251
GL383502.1.region001	251	251
GL383596.1.region002	251	251
GL383635.1.region001	251	251
GL383669.1.region001	251	251
GL383688.1.region001	251	251
GL383701.1.region002	251	251
GL383714.1.region002	251	251
GL383727.1.region001	251	251
GL383735.1.region001	251	251
GL383759.1.region002	251	251
GL383810.1.region001	251	251
GL383821.1.region001	251	251
GL383923.1.region001	251	251
GL383972.1.region002	251	251
GL384071.1.region001	251	251
GL384112.1.region001	251	251
GL384205.1.region001	251	251
GL384389.1.region001	251	251
GL384452.1.region002	251	251
GL384508.1.region002	251	251
GL384524.1.region002	251	251
GL384547.1.region001	251	251
GL384605.1.region002	251	251
GL384611.1.region001	251	251
ADXX01000073.1.region001	251	255
ADXY01000057.1.region001	251	255
AFXO01000007.1.region001	251	369
AGDH01000015.1.region001	251	380
AGDI01000002.1.region001	251	380
AGDJ01000001.1.region002	251	380
AGDK01000003.1.region001	251	380
AGDL01000007.1.region001	251	380
AGDO01000033.1.region001	251	380
AGDP01000021.1.region002	251	380
ALNJ01000072.1.region001	251	380
AMLL01000012.1.region001	251	380
AMLM01000005.1.region001	251	380
AMLN01000015.1.region001	251	380
CP003200.1.region002	251	380
FO203355.1.region003	251	380
c00602_NODE_60...region001	251	380
AGDM01000020.1.region001	251	400
AGDH01000007.1.region001	251	411
AGDJ01000011.1.region001	251	411
AGDK01000036.1.region001	251	411
AGDL01000020.1.region001	251	411
AGDO01000001.1.region001	251	411
AGDP01000004.1.region001	251	411
AGEM01000003.1.region001	251	423
AGEM01000013.1.region002	251	426
AGWI01000016.1.region001	251	431
AHCD02000002.1.region001	251	444
AHCD02000008.1.region001	251	446
AHCD02000017.1.region001	251	448
AHCD02000023.1.region001	251	449
AHCD02000041.1.region001	251	451
AHCD03000036.1.region001	251	451
AHCD02000074.1.region001	251	453
AHCD02000101.1.region001	251	455
AHCD02000109.1.region001	251	456
AHCD02000122.1.region001	251	456
AHCD02000115.1.region001	251	457
AHCD03000037.1.region001	251	457
AHCD02000132.1.region001	251	461
AHCD02000135.1.region001	251	462
AHCD02000136.1.region002	251	464
AHCD03000044.1.region001	251	464
AHCD02000142.1.region001	251	465
AHCD03000043.1.region002	251	465
AHCD02000142.1.region002	251	466
AHCD03000043.1.region001	251	466
AHCD02000165.1.region001	251	468
AHCD02000179.1.region001	251	470
AHCD02000191.1.region001	251	471
AHCD02000129.1.region001	251	472
AHCD03000020.1.region001	251	472
AHCD02000036.1.region001	251	473
AHCD03000026.1.region001	251	473
AHCD02000148.1.region001	251	474
AHCD03000027.1.region001	251	474
AHCD03000040.1.region001	251	480
AHCD03000041.1.region001	251	481
AHCD03000042.1.region001	251	482
AHCD02000170.1.region001	251	488
AHCD03000044.1.region004	251	488
AIIG01002610.1.region001	251	492
AIIG01003880.1.region001	251	493
AIIG01004161.1.region001	251	497
AIIJ01000146.1.region001	251	500
AIIJ01000147.1.region001	251	501
AIIJ01000488.1.region001	251	505
AIIJ01000859.1.region001	251	510
AIIJ01001167.1.region001	251	522
AIIJ01001175.1.region001	251	523
AIIJ01001176.1.region001	251	524
AIIJ01001177.1.region001	251	525
AIIJ01001178.1.region001	251	526
AIIJ01001235.1.region001	251	528
AIIJ01001869.1.region001	251	536
AIIJ01001874.1.region001	251	537
AIIG01003894.1.region001	251	538
AIIJ01001880.1.region001	251	538
AIIJ01001982.1.region001	251	541
AIIJ01002037.1.region001	251	542
AJJQ01000038.1.region001	251	544
AKBX01000001.1.region001	251	546
AKFT01000128.1.region001	251	549
AL009126.3.region004	251	557
AL009126.3.region005	251	558
BGC0000407.1	251	558
AL009126.3.region009	251	562
BGC0000309.1	251	562
AL645882.2.region004	251	571
BGC0000325.1	251	571
CP009124.1.region023	251	571
CP040916.1.region037	251	571
JAACKE010000001.region011	251	571
JOIW01000005.1.region005	251	571
ALIX01000092.1.region001	251	598
ALIX01000342.1.region001	251	602
ALIX01000392.1.region001	251	607
ALIX01000446.1.region001	251	608
ALVU02000001.1.region003	251	622
ALVU02000001.1.region004	251	623
ALVU02000001.1.region005	251	624
ALVZ01000171.1.region001	251	633
ALVZ01000183.1.region001	251	634
ALVZ01000197.1.region001	251	635
ALVZ01000228.1.region001	251	637
ALVZ01000230.1.region001	251	638
ALVZ01000233.1.region001	251	639
ALWB01000112.1.region001	251	642
AM747721.1.region002	251	654
BGC0001599.1	251	654
CP000379.1.region005	251	654
LAUA01000016.1.region001	251	654
AM747721.1.region007	251	659
CP000379.1.region001	251	659
LAUA01000002.1.region004	251	659
AMGU01000024.1.region001	251	679
AP009324.1.region002	251	700
BA000033.2.region002	251	700
BGC0000308.1	251	700
BX571856.1.region002	251	700
CP000253.1.region002	251	700
CP000255.1.region002	251	700
CP000736.1.region002	251	700
CP001844.2.region002	251	700
CP003045.1.region002	251	700
CP003603.1.region002	251	700
AP009552.1.region004	251	706
AP009552.1.region006	251	708
AP018314.1.region005	251	731
CP020114.1.region003	251	731
AP019314.1.region011	251	744
BEYQ01000005.1.region001	251	744
AQPE01000047.1.region001	251	766
AZXC01000019.1.region002	251	766
KB846738.1.region001	251	766
AQPE01000047.1.region002	251	767
AZXC01000019.1.region001	251	767
BGC0000423.1	251	767
KB846738.1.region002	251	767
ARBB01000003.1.region014	251	804
ARBB01000003.1.region015	251	805
ARBB01000003.1.region017	251	807
ARBB01000004.1.region008	251	815
ARGG01000047.1.region002	251	830
ARGH01000074.1.region001	251	830
ARGJ01000050.1.region001	251	830
ARGK01000099.1.region001	251	830
AZVY01000002.1.region002	251	830
AZWB01000004.1.region001	251	830
AZWJ01000023.1.region001	251	830
AZWQ01000006.1.region001	251	830
