	NCBI_ID	Database	BioSample	LCMS_file	Genome_label	Method	New_NCBI_ID	Downloaded
47	CP022686.1	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N1.mzXML	Ecoli_Nissle_genome	genome	NaN	no
48	CP022686.1	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N2.mzXML	Ecoli_Nissle_genome	genome	NaN	no
49	CP022686.1	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N3.mzXML	Ecoli_Nissle_genome	genome	NaN	no
212	GCF_000227135.1	RefSeq_accession	SAMN08057133	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BHU568	genome	NaN	no
213	GCF_000227135.1	RefSeq_accession	SAMN08057132	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BHU575	genome	NaN	no
214	GCF_000227135.1	RefSeq_accession	SAMN08057131	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BPK275	genome	NaN	no
215	GCF_000227135.1	RefSeq_accession	SAMN08057130	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BPK282	genome	NaN	no
216	GCF_000227135.1	RefSeq_accession	SAMN08057129	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BPK604	genome	NaN	no
217	GCF_000227135.1	RefSeq_accession	SAMN08057128	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BPK406	genome	NaN	no
218	GCF_000227135.1	RefSeq_accession	SAMN08057125	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BPK026	genome	NaN	no
219	GCF_000227135.1	RefSeq_accession	SAMN08057127	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BPK519	genome	NaN	no
220	GCF_000227135.1	RefSeq_accession	SAMN08057126	https://www.ebi.ac.uk/metabolights/MTBLS1606	Leishmania donovani BPK612	genome	NaN	no
226	CP031759	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000083295/raw/CO348.mzXML	Pseudoalteromonas piscicida strain DE1-A	genome	NaN	no
238	ASM205596v1	GenBank_accession	AAAAA000000	ftp://massive.ucsd.edu/MSV000078556/ccms_peak/Microbe%20Extraction/44_Bsub_3610_LB_RD1_01_5571.mzXML	ASM205596v1	genome	NaN	no
239	ASM764v1	GenBank_accession	AAAAA000000	ftp://massive.ucsd.edu/MSV000078556/ccms_peak/Microbe%20Extraction/13_SE12228_LB_RA7_01_5443.mzXML	ASM764v1	genome	NaN	no
240	Wild_Type_454AllContigs	GenBank_accession	AAAAA000000	ftp://massive.ucsd.edu/MSV000078556/ccms_peak/Microbe%20Extraction/47_Paer_PA01_LB_RD3_01_5579.mzXML	Wild_Type_454AllContigs	genome	NaN	no
241	SE1457	GenBank_accession	AAAAA000000	ftp://massive.ucsd.edu/MSV000078556/ccms_peak/Microbe%20Extraction/16_SE1457_NA_RB8_01_5481.mzXML	SE1457	genome	NaN	no
