Clustername 1	Clustername 2	Raw distance	Squared similarity	Jaccard index	DSS index	Adjacency index	raw DSS non-anchor	raw DSS anchor	Non-anchor domains	Anchor domains	Combined group	Shared group
GL383688.1.region001	GL383923.1.region001	0.022481761872768402	0.9555419087409973	1.0	0.9775182604789734	1.0	0.014223807491362095	0.03899766877293587	24	3	NRPS - NRPS	NRPS
c00528_NODE_52...region001	c00951_NODE_95...region001	0.09305062144994736	0.8225571513175964	1.0	0.9069494009017944	1.0	0.14622239768505096	0.0	7	1	NRPS-like - NRPS-like	NRPS-like
c05228_NODE_52...region001	c05977_NODE_59...region001	0.2988748252391815	0.49157652258872986	0.6666666865348816	0.7011252045631409	0.5	0.5	0.19831223785877228	2	1	NRPS-like - NRPS-like	NRPS-like
c00702_NODE_70...region001	c01700_NODE_17...region001	0.2942465841770172	0.49808788299560547	0.25	0.7057534456253052	0.0	1.0	0.11780822277069092	1	1	NRPS-like - NRPS-like	NRPS-like
c01177_NODE_11...region001	c01186_NODE_11...region001	0.02747252769768238	0.9458096623420715	0.5	0.9725274443626404	0.4000000059604645	0.0	0.041208792477846146	2	1	NRPS-like - NRPS-like	NRPS-like
c03275_NODE_32...region001	c04807_NODE_48...region001	0.17823834717273712	0.6752921938896179	1.0	0.8217616677284241	1.0	0.0	0.2227979302406311	1	1	NRPS-like - NRPS-like	NRPS-like
c01266_NODE_12...region001	c05398_NODE_53...region001	0.29830148816108704	0.4923807978630066	0.6666666865348816	0.7016985416412354	0.5	0.5	0.19745223224163055	2	1	NRPS-like - NRPS-like	NRPS-like
c05239_NODE_52...region001	c05754_NODE_57...region001	0.1284974068403244	0.7595167756080627	0.6666666865348816	0.8715025782585144	0.0	0.0	0.1606217622756958	1	1	NRPS-like - NRPS-like	NRPS-like
c01475_NODE_14...region001	c01939_NODE_19...region001	0.27991801500320435	0.5185180306434631	0.5	0.7200819849967957	0.3333333432674408	0.0	0.27991801500320435	0	2	NRPS - NRPS-like	
BGC0001016.1	CP043056.1.region009	0.041847504675388336	0.9180561900138855	0.8999999761581421	0.9581524729728699	0.8709677457809448	0.10929819196462631	0.01178795751184225	41	23	NRPS.T1PKS - nrps.t1pks	
KB897624.1.region001	KB897714.1.region001	0.05989569053053856	0.8837960958480835	0.8999999761581421	0.9401043057441711	0.8095238208770752	0.057046834379434586	0.06416898220777512	18	3	NRPS - NRPS.T1PKS	
c03654_NODE_36...region001	c03753_NODE_37...region001	0.2248372882604599	0.6008772253990173	1.0	0.7751626968383789	1.0	0.0	0.2248372882604599	0	2	NRPS - NRPS	NRPS
c03161_NODE_31...region001	c04393_NODE_43...region001	0.17304854094982147	0.6838487386703491	0.75	0.8269514441490173	0.6666666865348816	0.008196720853447914	0.2554744482040405	2	1	NRPS-like - NRPS-like	NRPS-like
c00838_NODE_83...region001	c01567_NODE_15...region001	0.1456994116306305	0.7298294901847839	1.0	0.8543005585670471	1.0	0.10101009905338287	0.1680440753698349	2	1	NRPS-like - NRPS-like	NRPS-like
c03590_NODE_35...region001	c06945_NODE_69...region001	0.1957431137561798	0.6468291282653809	1.0	0.8042569160461426	1.0	0.0	0.1957431137561798	0	2	NRPS - NRPS	NRPS
GL383112.1.region002	GL383125.1.region002	0.000516129017341882	0.9989680051803589	1.0	0.9994838833808899	1.0	0.0	0.0013333333190530539	19	3	NRPS - NRPS	NRPS
c02854_NODE_28...region001	c03722_NODE_37...region001	0.28354978561401367	0.513300895690918	0.6666666865348816	0.7164502143859863	0.5	0.5	0.1753246784210205	2	1	NRPS-like - NRPS-like	NRPS-like
c00856_NODE_85...region001	c01590_NODE_15...region001	0.13614849746227264	0.746239423751831	0.4000000059604645	0.8638514876365662	0.25	1.0	0.02816706709563732	1	2	NRPS - NRPS-like	
c00162_NODE_16...region001	c00285_NODE_28...region001	0.18588392436504364	0.662784993648529	0.5416666865348816	0.8141160607337952	0.52173912525177	0.2011590451002121	0.13623978197574615	13	1	NRPS-like - NRPS-like	NRPS-like
c00838_NODE_83...region001	c01186_NODE_11...region001	0.02747252769768238	0.9458096623420715	0.5	0.9725274443626404	0.4000000059604645	0.0	0.041208792477846146	2	1	NRPS-like - NRPS-like	NRPS-like
c01097_NODE_10...region001	c01295_NODE_12...region001	0.25882047414779663	0.5493471026420593	1.0	0.7411795258522034	1.0	0.0	0.25882047414779663	0	3	NRPS - NRPS	NRPS
GL383112.1.region002	GL383923.1.region001	0.0012796669034287333	0.9974423050880432	1.0	0.9987203478813171	1.0	0.0012474671239033341	0.0013333333190530539	20	3	NRPS - NRPS	NRPS
c00461_NODE_46...region001	c00715_NODE_71...region001	0.0	1.0	0.5555555820465088	1.0	0.5	0.0	0.0	4	1	NRPS-like - NRPS-like	NRPS-like
c02828_NODE_28...region001	c03194_NODE_31...region001	0.23304755985736847	0.5882160663604736	1.0	0.7669524550437927	1.0	0.27561327815055847	0.21176470816135406	2	1	NRPS-like - NRPS-like	NRPS-like
GL383213.1.region001	GL383264.1.region001	0.05565490573644638	0.8917876482009888	0.9583333134651184	0.9443451166152954	0.8888888955116272	0.0503675639629364	0.06667020171880722	25	3	NRPS - NRPS	NRPS
c01435_NODE_14...region001	c03042_NODE_30...region001	0.28611382842063904	0.509633481502533	1.0	0.7138861417770386	1.0	0.004830917809158564	0.49707603454589844	3	1	NRPS-like - NRPS-like	NRPS-like
GL383112.1.region002	GL384605.1.region002	0.001987357856705785	0.996029257774353	1.0	0.9980126619338989	1.0	0.0	0.005299621261656284	20	3	NRPS - NRPS	NRPS
c03654_NODE_36...region001	c05520_NODE_55...region001	0.2358810305595398	0.5838778018951416	1.0	0.7641189694404602	1.0	0.0	0.2358810305595398	0	2	NRPS - NRPS	NRPS
c01103_NODE_11...region001	c01691_NODE_16...region001	0.16797488927841187	0.6922658085823059	0.6666666865348816	0.8320251107215881	0.6666666865348816	1.0	0.09863945841789246	1	3	NRPS - NRPS	NRPS
c04894_NODE_48...region001	c07452_NODE_74...region001	0.10004115849733353	0.80992591381073	1.0	0.8999588489532471	1.0	0.2033492773771286	0.04838709533214569	2	1	NRPS-like - NRPS-like	NRPS-like
GL383701.1.region002	GL383727.1.region001	0.016101719811558723	0.9680558443069458	1.0	0.9838982820510864	1.0	0.02326369099318981	0.0017777777975425124	24	3	NRPS - NRPS	NRPS
c00566_NODE_56...region001	c01248_NODE_12...region001	0.28807657957077026	0.5068349242210388	0.625	0.7119234204292297	0.5714285969734192	0.4327225089073181	0.03494623675942421	7	1	NRPS-like - NRPS-like	NRPS-like
c00905_NODE_90...region001	c01304_NODE_13...region001	0.1520758420228958	0.7189753651618958	0.5	0.8479241728782654	0.3333333432674408	0.0	0.1520758420228958	0	2	NRPS - NRPS	NRPS
c00723_NODE_72...region001	c01319_NODE_13...region001	0.20810310542583466	0.6271007061004639	0.5	0.7918968796730042	0.4000000059604645	0.4010927379131317	0.06336088478565216	3	1	NRPS-like - NRPS-like	NRPS-like
c03756_NODE_37...region001	c05093_NODE_50...region001	0.1294797658920288	0.7578054666519165	0.6666666865348816	0.8705202341079712	0.5	0.0	0.161849707365036	1	1	NRPS-like - NRPS-like	NRPS-like
GL383379.1.region002	GL383714.1.region002	0.02495661750435829	0.9507095813751221	1.0	0.9750433564186096	1.0	0.017936090007424355	0.03899766877293587	24	3	NRPS - NRPS	NRPS
c00656_NODE_65...region001	c00705_NODE_70...region001	0.141680508852005	0.7367123365402222	0.5	0.8583194613456726	0.3333333432674408	0.141680508852005	0.0	3	0	NRPS-like - NRPS-like	NRPS-like
c00702_NODE_70...region001	c01484_NODE_14...region001	0.2942465841770172	0.49808788299560547	0.1666666716337204	0.7057534456253052	0.0	1.0	0.11780822277069092	1	1	NRPS-like - NRPS-like	NRPS-like
c06023_NODE_60...region001	c08434_NODE_84...region001	0.2770419418811798	0.5226683616638184	0.6666666865348816	0.7229580283164978	0.5	0.5	0.16556291282176971	2	1	NRPS-like - NRPS-like	NRPS-like
c03446_NODE_34...region001	c08434_NODE_84...region001	0.1515151560306549	0.7199265360832214	1.0	0.8484848737716675	1.0	0.0	0.18939393758773804	1	1	NRPS-like - NRPS-like	NRPS-like
c00863_NODE_86...region001	c01224_NODE_12...region001	0.1436552256345749	0.7333263754844666	0.75	0.8563447594642639	0.6666666865348816	0.33519554138183594	0.0	3	1	NRPS-like - NRPS-like	NRPS-like
c00441_NODE_44...region001	c00506_NODE_50...region001	0.25853049755096436	0.5497770309448242	0.2857142984867096	0.7414695024490356	0.1666666716337204	0.5454545617103577	0.11506849527359009	2	1	NRPS-like - NRPS-like	NRPS-like
c00974_NODE_97...region001	c01186_NODE_11...region001	0.20213212072849274	0.6365931630134583	0.2857142984867096	0.7978678941726685	0.1666666716337204	0.5454545617103577	0.030470913276076317	2	1	NRPS-like - NRPS-like	NRPS-like
c00704_NODE_70...region001	c01049_NODE_10...region001	0.14095331728458405	0.7379612326622009	0.800000011920929	0.8590466976165771	0.75	0.2571813464164734	0.024725275114178658	4	1	NRPS-like - NRPS-like	NRPS-like
c01856_NODE_18...region001	c05093_NODE_50...region001	0.15061496198177338	0.721454918384552	1.0	0.8493850231170654	1.0	0.025615384802222252	0.21311475336551666	2	1	NRPS-like - NRPS-like	NRPS-like
c03284_NODE_32...region001	c03382_NODE_33...region001	0.27028411626815796	0.5324852466583252	1.0	0.729715883731842	1.0	0.07017543911933899	0.2952977120876312	1	2	NRPS - NRPS	NRPS
c05490_NODE_54...region001	c05663_NODE_56...region001	0.095238097012043	0.8185940980911255	1.0	0.9047619104385376	1.0	0.0	0.1428571492433548	2	1	NRPS-like - NRPS-like	NRPS-like
c01173_NODE_11...region001	c01260_NODE_12...region001	0.08256480097770691	0.8416873216629028	1.0	0.9174352288246155	1.0	0.1332320272922516	0.01923076994717121	5	1	NRPS-like - NRPS-like	NRPS-like
GL383125.1.region002	GL384605.1.region002	0.0015373935457319021	0.9969275593757629	1.0	0.9984626173973083	1.0	0.0	0.0039715999737381935	19	3	NRPS - NRPS	NRPS
c02467_NODE_24...region001	c04246_NODE_42...region001	0.20304569602012634	0.6351361870765686	1.0	0.7969542741775513	1.0	0.01879699155688286	0.3412322402000427	3	1	NRPS-like - NRPS-like	NRPS-like
c01527_NODE_15...region001	c03834_NODE_38...region001	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1	1	NRPS-like - NRPS-like	NRPS-like
c00974_NODE_97...region001	c01567_NODE_15...region001	0.2655677795410156	0.5393906831741333	0.5	0.7344322204589844	0.3333333432674408	0.5	0.14835165441036224	2	1	NRPS-like - NRPS-like	NRPS-like
