#BGC Name	Clan Number	Family Number
ABYX02000001.1.region024	55	55
BGC0001043.1	55	55
CP032543.1.region026	55	55
KB898990.1.region004	55	55
ABYX02000001.1.region026	55	57
JNLT01000009.1.region004	55	57
ACYA01000027.1.region001	55	77
AHCD02000148.1.region001	55	118
AHCD02000170.1.region001	55	120
AL645882.2.region015	55	144
CP009124.1.region012	55	144
ALVU02000001.1.region004	55	162
ALVZ01000171.1.region001	55	172
ALVZ01000197.1.region001	55	174
ALVZ01000228.1.region001	55	176
ALVZ01000233.1.region001	55	178
AP009552.1.region006	55	192
AP019314.1.region011	55	216
BEYQ01000005.1.region001	55	216
AUEV01000018.1.region001	55	228
AUFD01000005.1.region002	55	236
AUFD01000025.1.region001	55	250
AUKN01000001.1.region001	55	260
AUKN01000007.1.region001	55	272
AUKN01000010.1.region001	55	275
AUKN01000013.1.region001	55	278
AUKO01000002.1.region001	55	290
AUKO01000002.1.region002	55	291
AUKO01000012.1.region002	55	297
AUKP01000016.1.region001	55	319
KB897425.1.region001	55	319
KB897624.1.region001	55	319
KB897729.1.region002	55	319
KL370765.1.region001	55	319
AUKQ01000011.1.region001	55	357
AUKQ01000024.1.region001	55	366
AXVU01000004.1.region001	55	427
AZWL01000004.1.region003	55	508
AZWL01000009.1.region001	55	514
BA000019.2.region004	55	620
BA000019.2.region009	55	625
BA000019.2.region010	55	626
BEYQ01000012.1.region002	55	641
CP020771.1.region001	55	641
BGC0000996.1	55	1624
CM001165.1.region013	55	1624
BGC0000958.1	55	1839
BGC0001216.1	55	1839
PPFB01000001.1.region004	55	1839
BGC0001726.1	55	2336
PTJS01000001.1.region006	55	2336
BGC0001230.1	55	2375
BGC0001766.1	55	2375
KB899005.1.region001	55	2375
CACA01000024.1.region001	55	2440
CACA01000353.1.region001	55	2450
CACA01000370.1.region001	55	2454
CM001165.1.region007	55	2470
CM001165.1.region016	55	2479
CM001775.1.region002	55	2484
CP000076.1.region006	55	2494
CP000117.1.region009	55	2522
CP000117.1.region010	55	2523
CP000117.1.region012	55	2525
CP000117.1.region014	55	2527
CP001037.1.region003	55	2532
