	NCBI_ID	Database	BioSample	LCMS_file	Genome_label	Method	New_NCBI_ID	Downloaded
0	2821485673	JGI_Genome_ID	SAMN13061032	ftp://massive.ucsd.edu/MSV000086050/updates/2020-09-01_mschorn_d7c0b04e/peak/GUM007_RNAL.mzXML	GUM007	metagenome-assembled genome	NaN	yes
1	MDRX01000000	GenBank_accession	No BioSample	ftp://massive.ucsd.edu/MSV000085021/peak/DA2-85-D5-M1.mzXML	WMMB235	genome	NaN	yes
2	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/34b.mzXML	Salinispora pacifica CNR942	genome	NaN	yes
3	2518285561	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/34c.mzXML	Salinispora pacifica CNR942	genome	NaN	yes
4	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/11a.mzXML	Salinispora pacifica CNS055	genome	NaN	yes
5	2518285562	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/11c.mzXML	Salinispora pacifica CNS055	genome	NaN	yes
6	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/8a.mzXML	Salinispora pacifica CNS237	genome	NaN	yes
7	2524614807	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/8b.mzXML	Salinispora pacifica CNS237	genome	NaN	yes
8	2517572194	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/22a.mzXML	Salinispora pacifica CNS863	genome	NaN	yes
9	2517572194	JGI_Genome_ID	No BioSample	ftp://massive.ucsd.edu/MSV000079284//raw/Duncan%20et%20al.%2030%20Salinispora/22b.mzXML	Salinispora pacifica CNS863	genome	NaN	yes
