#BGC Name	Family Number
ABCS01000001.1.region003	2
ABCS01000019.1.region001	8
ABCS01000086.1.region001	18
ABCS01000091.1.region001	19
ABCS01000105.1.region001	21
ABCS01000121.1.region001	22
ABJH01000091.1.region001	40
ABJH01000209.1.region001	48
ABJH01000263.1.region001	49
ABJH01000404.1.region001	56
ABJH01000478.1.region001	61
ABJH01000492.1.region001	64
ABYC01000011.1.region001	74
KB898240.1.region001	74
ABYC01000041.1.region001	88
KB898224.1.region002	88
ABYC01000294.1.region001	97
KB898255.1.region001	97
ABYC01000305.1.region001	98
ABYC01000314.1.region001	99
ABYX02000001.1.region013	124
ACGB01000020.1.region001	148
ACOG02000019.1.region001	149
ACOG02000027.1.region001	150
ACOG02000056.1.region001	151
ACOG02000093.1.region001	152
ACOG02000094.1.region001	153
ACRE02000006.1.region001	170
KI391967.1.region002	170
ACRG01000009.1.region001	178
ACTO01000067.1.region001	183
ACVN02000045.1.region001	186
ACVN02000201.1.region001	193
ACVN02000221.1.region001	195
ACVN02000333.1.region001	197
ACZJ01000003.1.region001	227
ACZJ01000017.1.region001	229
ADCN01000035.1.region001	232
GL622638.1.region001	232
ADFQ01000075.1.region001	238
ADLL01000041.1.region001	243
c01084_NODE_10...region001	243
ADYH01000036.1.region001	271
ADZU01000019.1.region001	271
GL383180.1.region001	271
GL384144.1.region001	271
AE004091.2.region004	351
AP012280.1.region004	351
CP000438.1.region009	351
CP002496.1.region011	351
CP003149.1.region010	351
CP004054.2.region010	351
CP006853.1.region009	351
CP006931.1.region010	351
CP006937.1.region011	351
FM209186.1.region011	351
QOLE01000004.1.region001	351
AEAA01000101.1.region001	362
AFII01000002.1.region001	365
AFXO01000008.1.region001	370
AGDH01000013.1.region001	381
AGDI01000004.1.region001	381
AGDJ01000004.1.region001	381
AGDK01000001.1.region001	381
AGDL01000010.1.region001	381
AGDM01000025.1.region001	381
AGDO01000027.1.region001	381
AGDP01000022.1.region001	381
ALNJ01000076.1.region001	381
AMLL01000010.1.region001	381
AMLM01000007.1.region001	381
AMLN01000014.1.region001	381
CP003200.1.region003	381
CP006784.1.region002	381
FO203355.1.region002	381
LOIC01000072.1.region002	381
NIBS01000018.1.region001	381
NJAH01000007.1.region001	381
NZ_CP022686.1.region004	381
c00002_NODE_2_...region002	381
c00017_NODE_17...region001	381
AGDH01000025.1.region001	382
AGDI01000023.1.region001	382
AGDJ01000028.1.region001	382
AGDK01000012.1.region001	382
AGDL01000040.1.region001	382
AGDM01000050.1.region001	382
AGDP01000015.1.region001	382
ALNJ01000114.1.region001	382
AMLL01000019.1.region001	382
AMLM01000020.1.region001	382
AMLN01000003.1.region001	382
CP003200.1.region001	382
c00023_NODE_23...region001	382
c00026_NODE_26...region001	382
c00029_NODE_29...region001	382
AGDM01000011.1.region001	399
AGDR01000028.1.region001	420
AGEB01000003.1.region001	420
KB445544.1.region003	420
AGWI01000010.1.region001	430
AHCD02000041.1.region001	451
AHCD03000036.1.region001	451
AHCD02000068.1.region001	452
AHCD03000044.1.region003	452
AHCD02000010.1.region001	477
AHCD03000035.1.region002	477
AIIG01004112.1.region001	496
AJJQ01000036.1.region001	543
AKFT01000218.1.region001	551
AKFU01000032.1.region001	552
AKFU01000035.1.region001	553
AL009126.3.region001	554
AL009126.3.region007	560
AL009126.3.region011	564
AL645882.2.region005	572
CP009124.1.region022	572
AL645882.2.region024	591
ALJM01000004.1.region001	611
ALJM01000050.1.region001	612
ALKL01000007.1.region001	613
GG770199.1.region001	613
ALVU02000001.1.region001	620
ALVU02000002.1.region001	625
ALVZ01000119.1.region001	626
ALVZ01000124.1.region001	627
ALVZ01000150.1.region001	630
ALVZ01000151.1.region001	631
ALWB01000001.1.region001	640
ALWB01000239.1.region001	644
AM743169.1.region001	645
AMAV01000092.1.region001	668
AMAX01000062.1.region001	668
JH810984.1.region001	668
JH811849.1.region001	668
JH812946.1.region001	668
NZ_JH812946.1.region001	668
AMLL01000023.1.region001	695
AMLN01000022.1.region001	695
FO203353.1.region001	695
AP008231.1.region001	696
AP009552.1.region002	704
AP018314.1.region005	731
AP009552.1.region005	734
AP019314.1.region001	734
BEYQ01000001.1.region001	734
AP009552.1.region012	740
AP019314.1.region007	740
JXYX01000001.1.region001	740
AP019314.1.region009	742
AQPE01000075.1.region007	790
ARIM01000058.1.region004	790
AZXC01000014.1.region004	790
KB846715.1.region007	790
KB898270.1.region004	790
ARBB01000003.1.region006	796
ARBB01000003.1.region009	799
ARGH01000072.1.region001	799
AXVR01000023.1.region001	799
AZWQ01000005.1.region004	799
LNBE01000003.1.region018	799
ARBB01000004.1.region006	813
ARGG01000024.1.region001	818
ARGG01000040.1.region001	824
AZWQ01000024.1.region002	824
AIIG01001947.1.region001	862
ARGH01000073.1.region003	862
ARGJ01000059.1.region001	862
ARGK01000110.1.region001	862
AUGH01000017.1.region002	862
AZVY01000002.1.region005	862
AZWB01000004.1.region003	862
AZWJ01000002.1.region002	862
AZXH01000019.1.region001	862
ARGH01000074.1.region001	865
ARHR01000044.1.region001	936
KB897407.1.region001	936
ARHR01000073.1.region002	951
ARHU01000048.1.region002	951
KB897378.1.region002	951
KB897633.1.region002	951
KB897730.1.region002	951
PGEW01000002.1.region002	951
ABYX02000001.1.region025	1085
ARJI01000056.1.region005	1085
CP032543.1.region027	1085
JNLT01000002.1.region001	1085
KB898990.1.region005	1085
AUEV01000008.1.region001	1096
AUKW01000006.1.region001	1096
AUEV01000013.1.region002	1100
AUEV01000019.1.region001	1105
AUEV01000023.1.region001	1107
AUFD01000010.1.region001	1114
AUFD01000011.1.region001	1115
AUFD01000012.1.region001	1116
AUFD01000012.1.region002	1117
AUFD01000017.1.region001	1120
AUFD01000019.1.region001	1122
AUGH01000028.1.region001	1153
AUKN01000001.1.region003	1159
AUKN01000002.1.region001	1160
AUKN01000002.1.region005	1164
AUKN01000007.1.region002	1170
AUKN01000008.1.region001	1171
AUKN01000011.1.region001	1174
AUKO01000003.1.region002	1190
AUKO01000012.1.region001	1193
AUKO01000013.1.region001	1195
AUKO01000020.1.region001	1197
AUKP01000001.1.region002	1202
AUKQ01000005.1.region001	1250
AUKQ01000005.1.region003	1252
AUKQ01000006.1.region002	1254
AUKQ01000012.1.region001	1257
AUKQ01000013.1.region002	1259
AUKR01000002.1.region001	1272
AUKR01000007.1.region001	1275
AUKR01000011.1.region001	1278
AUKR01000017.1.region001	1283
AUKW01000001.1.region003	1294
AUKW01000002.1.region004	1298
AUKW01000005.1.region001	1301
AUKW01000022.1.region002	1313
AWEV01000009.1.region001	1325
AWEV01000020.1.region001	1326
AWEV01000060.1.region001	1333
AWEV01000112.1.region001	1337
AWEV01000121.1.region001	1340
AWEV01000141.1.region001	1342
AWEV01000295.1.region001	1347
AWXB01000063.1.region001	1353
AWXD01000026.1.region001	1355
AXVR01000045.1.region001	1409
AZVX01000054.1.region001	1409
AXVR01000064.1.region001	1414
AXVU01000022.1.region002	1430
AXVU01000051.1.region001	1437
AZJD01000007.1.region001	1473
AZJE01000010.1.region001	1474
AZUS01000003.1.region001	1479
KE354077.1.region001	1479
QKWM01000001.1.region005	1479
AZUS01000007.1.region001	1482
AZUS01000025.1.region001	1493
AZUS01000032.1.region001	1494
ARGJ01000028.1.region001	1514
AZVX01000026.1.region001	1514
ARGJ01000070.1.region001	1528
AZVY01000002.1.region008	1528
AZWB01000004.1.region007	1528
AIIJ01000244.1.region001	1535
ARGK01000093.1.region001	1535
AXVR01000002.1.region001	1535
AZVY01000008.1.region001	1535
JAASAV010000001.region001	1535
AZWB01000013.1.region001	1564
ARBB01000003.1.region016	1567
ARGG01000043.1.region001	1567
ARGH01000058.1.region001	1567
AUGH01000015.1.region001	1567
AXVR01000030.1.region001	1567
AZVY01000020.1.region001	1567
AZWB01000024.1.region001	1567
AZWQ01000020.1.region001	1567
AZXH01000038.1.region001	1567
JAASAV010000006.region001	1567
JAASAX010000001.region001	1567
JACHIZ010000001.region002	1567
MDRX01000001.1.region015	1567
PJMP01000001.1.region011	1567
SHKZ01000001.1.region013	1567
AZWJ01000017.1.region001	1575
AZWL01000001.1.region002	1582
AZWL01000010.1.region001	1596
AZWL01000018.1.region001	1600
AZWL01000027.1.region001	1606
AZWZ01000005.1.region001	1646
KI911510.1.region001	1646
PGEW01000001.1.region002	1646
AZWZ01000015.1.region001	1656
AQPE01000063.1.region003	1691
ARIM01000053.1.region002	1691
AZXC01000010.1.region001	1691
KB846724.1.region003	1691
KB898275.1.region002	1691
AZXH01000032.1.region001	1736
AZXH01000051.1.region001	1741
AZXH01000057.1.region001	1746
AZXH01000062.1.region001	1747
AZYV01000005.1.region001	1753
BA000019.2.region003	1758
BA000019.2.region008	1763
BA000020.2.region001	1769
BAFR01000123.1.region001	1793
BAFR01000170.1.region001	1800
BAFR01000174.1.region001	1801
BDAX01000010.1.region001	1873
BDBF01000011.1.region001	1898
BAFR01000189.1.region002	1928
BDBM01000006.1.region002	1928
BAGG01000108.1.region001	1951
BDBM01000060.1.region001	1951
KV411304.1.region025	1951
BDBU01000021.1.region001	1975
BDBF01000002.1.region002	1997
BDBU01000061.1.region001	1997
BDCA01000002.1.region003	1997
BDCL01000044.1.region001	2035
BDCL01000046.1.region001	2036
BEYQ01000001.1.region002	2057
BEYQ01000014.1.region001	2068
BGC0000471.1	2544
BGC0000475.1	2544
