BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABCS01000001.1.region003	ABCS01000001.1	ABCS01000001.1 Plesiocystis pacifica SIR-1 1103186006202, whole genome shotgun sequence	bacteriocin	RiPPs		
ABCS01000019.1.region001	ABCS01000019.1	ABCS01000019.1 Plesiocystis pacifica SIR-1 1103186006320, whole genome shotgun sequence	bacteriocin	RiPPs		
ABCS01000086.1.region001	ABCS01000086.1	ABCS01000086.1 Plesiocystis pacifica SIR-1 1103186006183, whole genome shotgun sequence	bacteriocin	RiPPs		
ABCS01000091.1.region001	ABCS01000091.1	ABCS01000091.1 Plesiocystis pacifica SIR-1 1103186006238, whole genome shotgun sequence	bacteriocin	RiPPs		
ABCS01000105.1.region001	ABCS01000105.1	ABCS01000105.1 Plesiocystis pacifica SIR-1 1103186006075, whole genome shotgun sequence	bacteriocin	RiPPs		
ABCS01000121.1.region001	ABCS01000121.1	ABCS01000121.1 Plesiocystis pacifica SIR-1 1103186006327, whole genome shotgun sequence	bacteriocin	RiPPs		
ABYX02000001.1.region007	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	lanthipeptide	RiPPs		
ABYX02000001.1.region012	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS.siderophore.lassopeptide	Others		
ABYX02000001.1.region013	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	lanthipeptide	RiPPs		
ABYX02000001.1.region015	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	lanthipeptide	RiPPs		
ABYX02000001.1.region022	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	bacteriocin	RiPPs		
ABYX02000001.1.region025	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	bacteriocin	RiPPs		
ACGB01000020.1.region001	ACGB01000020.1	ACGB01000020.1 Acidaminococcus intestini strain D21 cont1.20, whole genome shotgun sequence	sactipeptide	RiPPs		
ACVN02000045.1.region001	ACVN02000045.1	ACVN02000045.1 Propionibacterium acidifaciens F0233 ctg1127964738299, whole genome shotgun sequence	lassopeptide	RiPPs		
ACVN02000201.1.region001	ACVN02000201.1	ACVN02000201.1 Propionibacterium acidifaciens F0233 ctg1127964738362, whole genome shotgun sequence	thiopeptide	RiPPs		
ACVN02000221.1.region001	ACVN02000221.1	ACVN02000221.1 Propionibacterium acidifaciens F0233 ctg1127964738424, whole genome shotgun sequence	sactipeptide	RiPPs		
ACVN02000333.1.region001	ACVN02000333.1	ACVN02000333.1 Propionibacterium acidifaciens F0233 ctg1127964738297, whole genome shotgun sequence	bacteriocin	RiPPs		
ADFQ01000075.1.region001	ADFQ01000075.1	ADFQ01000075.1 Prevotella amnii CRIS 21A-A contig00038, whole genome shotgun sequence	LAP.thiopeptide	RiPPs		
AEAA01000004.1.region001	AEAA01000004.1	AEAA01000004.1 Peptoniphilus sp. oral taxon 836 str. F0141 contig00127, whole genome shotgun sequence	sactipeptide	RiPPs		
AEAA01000101.1.region001	AEAA01000101.1	AEAA01000101.1 Peptoniphilus sp. oral taxon 836 str. F0141 contig00058, whole genome shotgun sequence	bacteriocin	RiPPs		
AFII01000002.1.region001	AFII01000002.1	AFII01000002.1 Parvimonas sp. oral taxon 110 str. F0139 Contig496, whole genome shotgun sequence	thiopeptide.LAP	RiPPs		
AFUM01000003.1.region001	AFUM01000003.1	AFUM01000003.1 Cutibacterium acnes SK182 ctg1123499743096, whole genome shotgun sequence	bacteriocin	RiPPs		
AFUM01000011.1.region001	AFUM01000011.1	AFUM01000011.1 Cutibacterium acnes SK182 ctg1123499743111, whole genome shotgun sequence	LAP	RiPPs		
AHCD02000010.1.region001	AHCD02000010.1	AHCD02000010.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig010, whole genome shotgun sequence	bacteriocin	RiPPs		
AHCD02000041.1.region001	AHCD02000041.1	AHCD02000041.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig041, whole genome shotgun sequence	NRPS.lanthipeptide	Others		
AHCD02000068.1.region001	AHCD02000068.1	AHCD02000068.1 Pseudoalteromonas rubra DSM 6842 strain ATCC 29570 contig068, whole genome shotgun sequence	bacteriocin	RiPPs		
AKFU01000032.1.region001	AKFU01000032.1	AKFU01000032.1 Clostridium sp. MSTE9 ctg120006482994, whole genome shotgun sequence	bacteriocin	RiPPs		
AKFU01000035.1.region001	AKFU01000035.1	AKFU01000035.1 Clostridium sp. MSTE9 ctg120006483021, whole genome shotgun sequence	sactipeptide	RiPPs		
AL645882.2.region003	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	lanthipeptide	RiPPs		
AL645882.2.region005	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	bacteriocin	RiPPs		
AL645882.2.region016	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	bacteriocin	RiPPs		
AL645882.2.region021	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	lanthipeptide	RiPPs		
AL645882.2.region024	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	lanthipeptide	RiPPs		
ALJM01000004.1.region001	ALJM01000004.1	ALJM01000004.1 Peptostreptococcaceae bacterium AS15 ctg120005099185, whole genome shotgun sequence	sactipeptide	RiPPs		
ALJM01000050.1.region001	ALJM01000050.1	ALJM01000050.1 Peptostreptococcaceae bacterium AS15 ctg120005099221, whole genome shotgun sequence	lanthipeptide	RiPPs		
ALVU02000001.1.region001	ALVU02000001.1	ALVU02000001.1 Synechocystis sp. PCC 7509 SYN7509DRAFT_scaffold1.1_C, whole genome shotgun sequence	bacteriocin	RiPPs		
ALVU02000002.1.region001	ALVU02000002.1	ALVU02000002.1 Synechocystis sp. PCC 7509 SYN7509DRAFT_scaffold2.2_C, whole genome shotgun sequence	bacteriocin.lanthipeptide	RiPPs		
ALVZ01000119.1.region001	ALVZ01000119.1	ALVZ01000119.1 Xenococcus sp. PCC 7305 scaffold_00119, whole genome shotgun sequence	bacteriocin	RiPPs		
ALVZ01000124.1.region001	ALVZ01000124.1	ALVZ01000124.1 Xenococcus sp. PCC 7305 scaffold_00124, whole genome shotgun sequence	lassopeptide	RiPPs		
ALVZ01000150.1.region001	ALVZ01000150.1	ALVZ01000150.1 Xenococcus sp. PCC 7305 scaffold_00150, whole genome shotgun sequence	bacteriocin	RiPPs		
ALVZ01000151.1.region001	ALVZ01000151.1	ALVZ01000151.1 Xenococcus sp. PCC 7305 scaffold_00151, whole genome shotgun sequence	microviridin	RiPPs		
ALWB01000001.1.region001	ALWB01000001.1	ALWB01000001.1 Pseudanabaena biceps PCC 7429 scaffold_00001, whole genome shotgun sequence	bacteriocin	RiPPs		
ALWB01000239.1.region001	ALWB01000239.1	ALWB01000239.1 Pseudanabaena biceps PCC 7429 scaffold_00239, whole genome shotgun sequence	bacteriocin	RiPPs		
AP008231.1.region001	AP008231.1	AP008231.1 Synechococcus elongatus PCC 6301 DNA, complete genome	bacteriocin	RiPPs		
AP009552.1.region002	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	cyanobactin	RiPPs		
AP009552.1.region005	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	microviridin	RiPPs		
AP009552.1.region010	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	bacteriocin	RiPPs		
AP009552.1.region012	AP009552.1	AP009552.1 Microcystis aeruginosa NIES-843 DNA, complete genome	NRPS.microviridin	Others		
AP018314.1.region005	AP018314.1	AP018314.1 Sphaerospermopsis kisseleviana NIES-73 DNA, nearly complete genome	NRPS.betalactone.microviridin	Others		
AP019314.1.region001	AP019314.1	AP019314.1 Microcystis viridis NIES-102 DNA, complete genome	microviridin	RiPPs		
AP019314.1.region005	AP019314.1	AP019314.1 Microcystis viridis NIES-102 DNA, complete genome	bacteriocin	RiPPs		
AP019314.1.region007	AP019314.1	AP019314.1 Microcystis viridis NIES-102 DNA, complete genome	NRPS.microviridin	Others		
AP019314.1.region009	AP019314.1	AP019314.1 Microcystis viridis NIES-102 DNA, complete genome	cyanobactin	RiPPs		
AUEV01000008.1.region001	AUEV01000008.1	AUEV01000008.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00007.7_C, whole genome shotgun sequence	thiopeptide.LAP	RiPPs		
AUEV01000013.1.region002	AUEV01000013.1	AUEV01000013.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00011.11_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUEV01000018.1.region002	AUEV01000018.1	AUEV01000018.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00016.16_C, whole genome shotgun sequence	linaridin	RiPPs		
AUEV01000019.1.region001	AUEV01000019.1	AUEV01000019.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00017.17_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUEV01000019.1.region002	AUEV01000019.1	AUEV01000019.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00017.17_C, whole genome shotgun sequence	hglE-KS.lanthipeptide.T1PKS	Others		
AUEV01000023.1.region001	AUEV01000023.1	AUEV01000023.1 Streptomyces sp. TAA486 I004DRAFT_scaffold00021.21_C, whole genome shotgun sequence	linaridin	RiPPs		
AUFD01000010.1.region001	AUFD01000010.1	AUFD01000010.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00008.8_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUFD01000011.1.region001	AUFD01000011.1	AUFD01000011.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00009.9_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUFD01000012.1.region001	AUFD01000012.1	AUFD01000012.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00010.10_C, whole genome shotgun sequence	hglE-KS.NRPS.linaridin	Others		
AUFD01000012.1.region002	AUFD01000012.1	AUFD01000012.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00010.10_C, whole genome shotgun sequence	linaridin	RiPPs		
AUFD01000017.1.region001	AUFD01000017.1	AUFD01000017.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00015.15_C, whole genome shotgun sequence	thiopeptide.LAP	RiPPs		
AUFD01000019.1.region001	AUFD01000019.1	AUFD01000019.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00017.17_C, whole genome shotgun sequence	NRPS.lanthipeptide	Others		
AUKN01000001.1.region003	AUKN01000001.1	AUKN01000001.1 Streptomyces sp. CNT318 H296DRAFT_scaffold00001.1_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKN01000002.1.region001	AUKN01000002.1	AUKN01000002.1 Streptomyces sp. CNT318 H296DRAFT_scaffold00002.2_C, whole genome shotgun sequence	linaridin	RiPPs		
AUKN01000002.1.region005	AUKN01000002.1	AUKN01000002.1 Streptomyces sp. CNT318 H296DRAFT_scaffold00002.2_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKN01000007.1.region002	AUKN01000007.1	AUKN01000007.1 Streptomyces sp. CNT318 H296DRAFT_scaffold00006.6_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUKN01000008.1.region001	AUKN01000008.1	AUKN01000008.1 Streptomyces sp. CNT318 H296DRAFT_scaffold00007.7_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKN01000011.1.region001	AUKN01000011.1	AUKN01000011.1 Streptomyces sp. CNT318 H296DRAFT_scaffold00010.10_C, whole genome shotgun sequence	LAP.thiopeptide	RiPPs		
AUKO01000003.1.region002	AUKO01000003.1	AUKO01000003.1 Streptomyces sp. CNT360 H297DRAFT_scaffold00003.3_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKO01000012.1.region001	AUKO01000012.1	AUKO01000012.1 Streptomyces sp. CNT360 H297DRAFT_scaffold00008.8_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUKO01000013.1.region001	AUKO01000013.1	AUKO01000013.1 Streptomyces sp. CNT360 H297DRAFT_scaffold00009.9_C, whole genome shotgun sequence	LAP	RiPPs		
AUKO01000020.1.region001	AUKO01000020.1	AUKO01000020.1 Streptomyces sp. CNT360 H297DRAFT_scaffold00013.13_C, whole genome shotgun sequence	NRPS.lanthipeptide.T1PKS	Others		
AUKP01000001.1.region002	AUKP01000001.1	AUKP01000001.1 Streptomyces sp. CNQ865 H298DRAFT_scaffold00001.1_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKP01000002.1.region002	AUKP01000002.1	AUKP01000002.1 Streptomyces sp. CNQ865 H298DRAFT_scaffold00002.2_C, whole genome shotgun sequence	linaridin	RiPPs		
AUKP01000015.1.region001	AUKP01000015.1	AUKP01000015.1 Streptomyces sp. CNQ865 H298DRAFT_scaffold00014.14_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUKP01000022.1.region002	AUKP01000022.1	AUKP01000022.1 Streptomyces sp. CNQ865 H298DRAFT_scaffold00021.21_C, whole genome shotgun sequence	thiopeptide.LAP	RiPPs		
AUKQ01000005.1.region001	AUKQ01000005.1	AUKQ01000005.1 Streptomyces sp. CNH287 H299DRAFT_scaffold00004.4_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUKQ01000005.1.region003	AUKQ01000005.1	AUKQ01000005.1 Streptomyces sp. CNH287 H299DRAFT_scaffold00004.4_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKQ01000006.1.region002	AUKQ01000006.1	AUKQ01000006.1 Streptomyces sp. CNH287 H299DRAFT_scaffold00005.5_C, whole genome shotgun sequence	hglE-KS.terpene.LAP	Others		
AUKQ01000012.1.region001	AUKQ01000012.1	AUKQ01000012.1 Streptomyces sp. CNH287 H299DRAFT_scaffold00009.9_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKQ01000013.1.region002	AUKQ01000013.1	AUKQ01000013.1 Streptomyces sp. CNH287 H299DRAFT_scaffold00010.10_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKR01000002.1.region001	AUKR01000002.1	AUKR01000002.1 Streptomyces sp. TAA040 H300DRAFT_scaffold00002.2_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKR01000007.1.region001	AUKR01000007.1	AUKR01000007.1 Streptomyces sp. TAA040 H300DRAFT_scaffold00006.6_C, whole genome shotgun sequence	NRPS.terpene.lanthipeptide	Others		
AUKR01000011.1.region001	AUKR01000011.1	AUKR01000011.1 Streptomyces sp. TAA040 H300DRAFT_scaffold00010.10_C, whole genome shotgun sequence	thiopeptide.T1PKS.LAP	Others		
AUKR01000017.1.region001	AUKR01000017.1	AUKR01000017.1 Streptomyces sp. TAA040 H300DRAFT_scaffold00016.16_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKW01000001.1.region003	AUKW01000001.1	AUKW01000001.1 Streptomyces sp. TAA204 H343DRAFT_scaffold00001.1_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUKW01000002.1.region004	AUKW01000002.1	AUKW01000002.1 Streptomyces sp. TAA204 H343DRAFT_scaffold00002.2_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AUKW01000005.1.region001	AUKW01000005.1	AUKW01000005.1 Streptomyces sp. TAA204 H343DRAFT_scaffold00005.5_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AUKW01000006.1.region001	AUKW01000006.1	AUKW01000006.1 Streptomyces sp. TAA204 H343DRAFT_scaffold00006.6_C, whole genome shotgun sequence	LAP.NRPS.thiopeptide	Others		
AUKW01000022.1.region002	AUKW01000022.1	AUKW01000022.1 Streptomyces sp. TAA204 H343DRAFT_scaffold00018.18_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AWXD01000026.1.region001	AWXD01000026.1	AWXD01000026.1 Peptoniphilus sp. BV3AC2 contig00003, whole genome shotgun sequence	sactipeptide	RiPPs		
AXVU01000022.1.region002	AXVU01000022.1	AXVU01000022.1 Streptomyces sp. CNQ329 I003DRAFT_scaffold00021.21_C, whole genome shotgun sequence	furan.thiopeptide.LAP	Others		
AXVU01000030.1.region001	AXVU01000030.1	AXVU01000030.1 Streptomyces sp. CNQ329 I003DRAFT_scaffold00029.29_C, whole genome shotgun sequence	LAP.thiopeptide	RiPPs		
AXVU01000051.1.region001	AXVU01000051.1	AXVU01000051.1 Streptomyces sp. CNQ329 I003DRAFT_scaffold00050.50_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AYUD01000017.1.region001	AYUD01000017.1	AYUD01000017.1 Pseudomonas chlororaphis subsp. aurantiaca PB-St2 scaffold3, whole genome shotgun sequence	bacteriocin	RiPPs		
AYUD01000017.1.region002	AYUD01000017.1	AYUD01000017.1 Pseudomonas chlororaphis subsp. aurantiaca PB-St2 scaffold3, whole genome shotgun sequence	bacteriocin	RiPPs		
AZUS01000003.1.region001	AZUS01000003.1	AZUS01000003.1 Streptomyces sp. CNH189 B100DRAFT_scaffold_2.3_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AZUS01000007.1.region001	AZUS01000007.1	AZUS01000007.1 Streptomyces sp. CNH189 B100DRAFT_scaffold_6.7_C, whole genome shotgun sequence	terpene.bacteriocin.T1PKS	Others		
AZUS01000025.1.region001	AZUS01000025.1	AZUS01000025.1 Streptomyces sp. CNH189 B100DRAFT_scaffold_24.25_C, whole genome shotgun sequence	LAP.thiopeptide	RiPPs		
AZUS01000032.1.region001	AZUS01000032.1	AZUS01000032.1 Streptomyces sp. CNH189 B100DRAFT_scaffold_31.32_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AZUS01000033.1.region001	AZUS01000033.1	AZUS01000033.1 Streptomyces sp. CNH189 B100DRAFT_scaffold_32.33_C, whole genome shotgun sequence	NRPS.lanthipeptide	Others		
AZWL01000001.1.region002	AZWL01000001.1	AZWL01000001.1 Streptomyces sp. CNH099 B121DRAFT_scaffold_0.1_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AZWL01000010.1.region001	AZWL01000010.1	AZWL01000010.1 Streptomyces sp. CNH099 B121DRAFT_scaffold_8.9_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AZWL01000011.1.region001	AZWL01000011.1	AZWL01000011.1 Streptomyces sp. CNH099 B121DRAFT_scaffold_9.10_C, whole genome shotgun sequence	thiopeptide.LAP	RiPPs		
AZWL01000018.1.region001	AZWL01000018.1	AZWL01000018.1 Streptomyces sp. CNH099 B121DRAFT_scaffold_16.17_C, whole genome shotgun sequence	lassopeptide	RiPPs		
AZWL01000020.1.region001	AZWL01000020.1	AZWL01000020.1 Streptomyces sp. CNH099 B121DRAFT_scaffold_18.19_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AZWL01000027.1.region001	AZWL01000027.1	AZWL01000027.1 Streptomyces sp. CNH099 B121DRAFT_scaffold_25.26_C, whole genome shotgun sequence	lanthipeptide	RiPPs		
AZWZ01000015.1.region001	AZWZ01000015.1	AZWZ01000015.1 Streptomyces sp. CNT371 B105DRAFT_scaffold_11.12_C, whole genome shotgun sequence	LAP	RiPPs		
AZWZ01000017.1.region001	AZWZ01000017.1	AZWZ01000017.1 Streptomyces sp. CNT371 B105DRAFT_scaffold_13.14_C, whole genome shotgun sequence	LAP.thiopeptide	RiPPs		
AZWZ01000024.1.region001	AZWZ01000024.1	AZWZ01000024.1 Streptomyces sp. CNT371 B105DRAFT_scaffold_20.21_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AZXC01000010.1.region001	AZXC01000010.1	AZXC01000010.1 Streptomyces sp. CNR698 B101DRAFT_scaffold_7.8_C, whole genome shotgun sequence	hglE-KS.lanthipeptide.T1PKS	Others		
AZXC01000014.1.region004	AZXC01000014.1	AZXC01000014.1 Streptomyces sp. CNR698 B101DRAFT_scaffold_11.12_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AZXC01000017.1.region001	AZXC01000017.1	AZXC01000017.1 Streptomyces sp. CNR698 B101DRAFT_scaffold_14.15_C, whole genome shotgun sequence	bacteriocin	RiPPs		
AZXC01000020.1.region003	AZXC01000020.1	AZXC01000020.1 Streptomyces sp. CNR698 B101DRAFT_scaffold_17.18_C, whole genome shotgun sequence	LAP	RiPPs		
AZXC01000023.1.region001	AZXC01000023.1	AZXC01000023.1 Streptomyces sp. CNR698 B101DRAFT_scaffold_20.21_C, whole genome shotgun sequence	LAP.thiopeptide	RiPPs		
AZXC01000038.1.region001	AZXC01000038.1	AZXC01000038.1 Streptomyces sp. CNR698 B101DRAFT_scaffold_33.34_C, whole genome shotgun sequence	thiopeptide	RiPPs		
BA000019.2.region003	BA000019.2	BA000019.2 Nostoc sp. PCC 7120 DNA, complete genome	bacteriocin	RiPPs		
BA000019.2.region008	BA000019.2	BA000019.2 Nostoc sp. PCC 7120 DNA, complete genome	bacteriocin.lanthipeptide	RiPPs		
BA000020.2.region001	BA000020.2	BA000020.2 Nostoc sp. PCC 7120 plasmid pCC7120alpha DNA, complete genome	microviridin	RiPPs		
BEYQ01000001.1.region001	BEYQ01000001.1	BEYQ01000001.1 Microcystis aeruginosa NIES-298 DNA, sequence01, whole genome shotgun sequence	microviridin	RiPPs		
BEYQ01000001.1.region002	BEYQ01000001.1	BEYQ01000001.1 Microcystis aeruginosa NIES-298 DNA, sequence01, whole genome shotgun sequence	bacteriocin.lanthipeptide	RiPPs		
BEYQ01000011.1.region001	BEYQ01000011.1	BEYQ01000011.1 Microcystis aeruginosa NIES-298 DNA, sequence11, whole genome shotgun sequence	bacteriocin	RiPPs		
BEYQ01000013.1.region001	BEYQ01000013.1	BEYQ01000013.1 Microcystis aeruginosa NIES-298 DNA, sequence13, whole genome shotgun sequence	NRPS.microviridin	Others		
BEYQ01000014.1.region001	BEYQ01000014.1	BEYQ01000014.1 Microcystis aeruginosa NIES-298 DNA, sequence14, whole genome shotgun sequence	LAP.bacteriocin.cyanobactin	RiPPs		
BGC0000175.1	BGC0000175.1	Cycloheximide / actiphenol biosynthetic gene cluster	transatpks.lantipeptide	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000385.1	BGC0000385.1	Lysobactin biosynthetic gene cluster	nrps.transatpks.lantipeptide	Others	Lysobacter sp. ATCC 53042	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
BGC0000468.1	BGC0000468.1	Bottromycin A2 biosynthetic gene cluster	bottromycin.bacteriocin	RiPPs	Streptomyces bottropensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000469.1	BGC0000469.1	Bottromycin A2 biosynthetic gene cluster	bottromycin.bacteriocin	RiPPs	Streptomyces sp. BC16019	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000470.1	BGC0000470.1	Bottromycin D biosynthetic gene cluster	bottromycin.bacteriocin	RiPPs	Streptomyces sp. WMMB 272	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000471.1	BGC0000471.1	Viridisamide A biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Oscillatoria nigro-viridis PCC 7112	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoria
BGC0000472.1	BGC0000472.1	Anacyclamide biosynthetic gene cluster	cyanobactin	RiPPs	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena
BGC0000473.1	BGC0000473.1	Microcyclamide biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Microcystis aeruginosa NIES-298	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystis
BGC0000474.1	BGC0000474.1	Microcyclamide biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Microcystis aeruginosa PCC 7806	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystis
BGC0000475.1	BGC0000475.1	Patellamide A / patellamide C biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Prochloron didemni	Bacteria,Cyanobacteria,Prochlorales,Prochloraceae,Prochloron
BGC0000477.1	BGC0000477.1	Patellin 2 / patellin 3 biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	uncultured Prochloron sp. 06037A	Bacteria,Cyanobacteria,Prochlorales,Prochloraceae,Prochloron,environmental samples
BGC0000479.1	BGC0000479.1	Prenylagaramide B / prenylagaramide C biosynthetic gene cluster	cyanobactin	RiPPs	Planktothrix agardhii NIES-596	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Planktothrix
BGC0000480.1	BGC0000480.1	Tenuecyclamide A / tenuecyclamide C biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Nostoc spongiaeforme var. tenue str. Carmeli	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0000481.1	BGC0000481.1	Trichamide biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Trichodesmium erythraeum IMS101	Bacteria,Cyanobacteria,Oscillatoriales,Trichodesmium
BGC0000483.1	BGC0000483.1	Aeruginosamide biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Microcystis aeruginosa PCC 9432	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystis
BGC0000484.1	BGC0000484.1	Glycocin F biosynthetic gene cluster	glycocin	RiPPs	Lactobacillus plantarum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000485.1	BGC0000485.1	Acidocin B biosynthetic gene cluster	bacteriocin	RiPPs	Lactobacillus acidophilus	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000486.1	BGC0000486.1	Butyrivibriocin AR10 biosynthetic gene cluster	bacteriocin	RiPPs	Butyrivibrio fibrisolvens	Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
BGC0000487.1	BGC0000487.1	Carnocyclin biosynthetic gene cluster	bacteriocin	RiPPs	Carnobacterium maltaromaticum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
BGC0000488.1	BGC0000488.1	Circularin A biosynthetic gene cluster	bacteriocin	RiPPs	Clostridium beijerinckii	Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
BGC0000489.1	BGC0000489.1	Enterocin AS-48 biosynthetic gene cluster	bacteriocin	RiPPs	Enterococcus faecalis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
BGC0000490.1	BGC0000490.1	Garvicin ML biosynthetic gene cluster	bacteriocin	RiPPs	Lactococcus garvieae DCC43	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000491.1	BGC0000491.1	Gassericin A biosynthetic gene cluster	bacteriocin	RiPPs	Lactobacillus gasseri	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
