#BGC Name	Family Number
ABJH01000033.1.region001	38
ABYC01000015.1.region001	76
ABYX02000001.1.region001	112
ABYX02000001.1.region029	112
ARJI01000031.1.region001	112
JNLT01000009.1.region001	112
KB899010.1.region001	112
ABYX02000001.1.region026	137
JNLT01000009.1.region004	137
ACYA01000027.1.region001	221
AGDH01000007.1.region001	375
AGDJ01000011.1.region001	375
AGDK01000036.1.region001	375
AGDL01000020.1.region001	375
AGDO01000001.1.region001	375
AGDP01000004.1.region001	411
AHCD02000148.1.region001	474
AHCD03000027.1.region001	474
AHCD02000170.1.region001	488
AHCD03000044.1.region004	488
AL009126.3.region004	557
ALVU02000001.1.region004	623
ALVZ01000171.1.region001	633
ALVZ01000197.1.region001	635
ALVZ01000228.1.region001	637
ALVZ01000233.1.region001	639
ALWB01000112.1.region001	642
CP003600.1.region010	642
AMGU01000024.1.region001	679
AGDM01000035.1.region001	692
AMLL01000009.1.region001	692
AMLN01000013.1.region001	692
FO203355.1.region001	692
AP009552.1.region006	708
AP019314.1.region011	744
BEYQ01000005.1.region001	744
ARBB01000003.1.region014	804
ARBB01000003.1.region015	805
ARBB01000003.1.region017	807
ARBB01000004.1.region008	815
ARGH01000062.1.region001	853
ARGK01000065.1.region001	891
ARGJ01000038.1.region001	895
ARGK01000084.1.region001	895
BGC0001237.1	895
ARGK01000098.1.region001	901
AZVY01000002.1.region003	901
AZWJ01000023.1.region001	901
ARGJ01000051.1.region001	908
ARGK01000109.1.region001	908
ARHR01000072.1.region001	990
ARHU01000046.1.region001	990
AUKP01000017.1.region001	990
AZWZ01000018.1.region001	990
JNID01000021.1.region001	990
KB897379.1.region001	990
KB897641.1.region001	990
KB897732.1.region001	990
KL370766.1.region001	990
PGEW01000002.1.region006	990
SHLF01000003.1.region001	990
ARJI01000018.1.region001	1053
KB899023.1.region001	1053
ARJI01000027.1.region001	1056
KB899014.1.region001	1056
ARJI01000055.1.region001	1078
JNLT01000003.1.region003	1078
KB898991.1.region001	1078
ABYC01000481.1.region001	1084
ABYX02000001.1.region024	1084
ARJI01000056.1.region004	1084
BGC0001043.1	1084
CP032543.1.region026	1084
KB898221.1.region004	1084
KB898990.1.region004	1084
AUEV01000018.1.region001	1102
AUFD01000005.1.region002	1110
AUFD01000025.1.region001	1124
AUGH01000011.1.region003	1145
AZVX01000012.1.region001	1145
AUKN01000001.1.region001	1157
AUKN01000007.1.region001	1169
AUKN01000010.1.region001	1172
AUKN01000013.1.region001	1175
AUKO01000002.1.region001	1187
AUKO01000002.1.region002	1188
AUKO01000012.1.region002	1194
AUKQ01000011.1.region001	1256
AUKQ01000024.1.region001	1265
AXCT02000597.1.region001	1391
AXCT02000613.1.region001	1392
AXVR01000001.1.region001	1393
ARGH01000060.1.region001	1403
AXVR01000024.1.region001	1403
AZVY01000023.1.region001	1403
AZWB01000026.1.region001	1403
AZWJ01000022.1.region001	1403
AZXH01000030.1.region001	1403
JAASAW010000024.region001	1403
AXVU01000004.1.region001	1420
AZWL01000004.1.region003	1589
AZWL01000009.1.region001	1595
ARGG01000051.1.region001	1630
AUGH01000002.1.region003	1630
AZWQ01000016.1.region002	1630
AZXH01000001.1.region001	1720
BGC0000145.1	1720
BGC0001041.1	1720
JAASAV010000059.region001	1720
BA000019.2.region004	1759
BA000019.2.region009	1764
BA000019.2.region010	1765
BAFR01000100.1.region001	1785
BAGG01000009.1.region001	1823
BDAX01000002.1.region003	1861
BDAX01000002.1.region007	1865
BDBF01000002.1.region001	1890
BDCA01000002.1.region002	1890
BDBF01000009.1.region002	1897
BDBM01000001.1.region001	1921
BDBM01000007.1.region001	1930
BDBM01000013.1.region001	1934
BDBM01000062.1.region001	1952
BDBU01000002.1.region003	1959
BDBU01000019.1.region002	1974
BDBU01000047.1.region001	1985
BDCL01000020.1.region001	2030
BEYQ01000012.1.region002	2066
CP020771.1.region001	2066
AZXH01000004.1.region003	2216
BGC0000150.1	2216
BGC0000383.1	2448
LOMY01000034.1.region001	2448
ABYC01000012.1.region001	3012
BGC0000958.1	3012
BGC0001216.1	3012
PPFB01000001.1.region004	3012
BGC0000996.1	3049
CM001165.1.region013	3049
BGC0001011.1	3066
BGC0001012.1	3066
BGC0001013.1	3066
CP025018.1.region037	3066
AP009552.1.region008	3070
AP019314.1.region003	3070
BEYQ01000002.1.region001	3070
BGC0001017.1	3070
CP020771.1.region005	3070
JXYX01000004.1.region001	3070
BGC0001054.1	3107
NITY01000011.1.region001	3107
BGC0001102.1	3154
CP008785.1.region004	3154
BGC0001236.1	3284
BGC0001354.1	3284
BGC0001355.1	3284
KE354369.1.region001	3284
BGC0001726.1	3761
PTJS01000001.1.region006	3761
CACA01000024.1.region001	3870
CACA01000353.1.region001	3880
CACA01000370.1.region001	3884
CM001165.1.region007	3900
CM001165.1.region016	3909
CM001775.1.region002	3914
CP000076.1.region006	3924
CP000117.1.region009	3954
CP000117.1.region010	3955
CP000117.1.region012	3957
CP000117.1.region014	3959
CP001037.1.region003	4032
CP001037.1.region009	4038
CP001037.1.region020	4049
CP001040.1.region001	4051
CP001287.1.region007	4059
CP001683.1.region003	4077
AMLL01000008.1.region001	4090
AMLN01000011.1.region001	4090
BGC0000972.1	4090
CP001969.1.region002	4090
CP003200.1.region004	4090
NZ_CP022686.1.region001	4090
CP002198.1.region005	4097
CP002199.1.region001	4100
CP003219.1.region013	4163
CP003219.1.region014	4164
CP003219.1.region022	4172
CP003549.1.region011	4211
CP003597.1.region009	4229
CP003600.1.region012	4244
CP003610.1.region007	4260
CP003630.1.region001	4266
CP003642.1.region001	4275
CP003642.1.region006	4280
