#BGC Name	Family Number
ABCS01000001.1.region001	0
ABCS01000011.1.region001	6
ABCS01000021.1.region001	9
ABCS01000037.1.region001	14
ABCS01000038.1.region001	15
ABCS01000075.1.region001	17
ABJH01000022.1.region001	34
ABJH01000031.1.region001	37
ABJH01000136.1.region001	43
ABJH01000155.1.region001	46
ABJH01000207.1.region001	47
ABJH01000209.1.region001	48
ABJH01000280.1.region001	51
ABJH01000459.1.region001	57
ABJH01000551.1.region001	67
ABYC01000041.1.region001	88
KB898224.1.region002	88
ABYC01000351.1.region001	100
KB898222.1.region002	100
ABYC01000374.1.region001	101
ABYC01000471.1.region001	108
CM001165.1.region006	108
CP025018.1.region015	108
CP032543.1.region024	108
CP040916.1.region025	108
GG657754.1.region011	108
JAACKE010000001.region008	108
KB897782.1.region004	108
KB898221.1.region003	108
KB898990.1.region001	108
ABYC01000474.1.region001	109
ACRC01000040.1.region001	160
HE798385.1.region007	160
ACRG01000004.1.region001	174
ACRG01000007.1.region001	177
ACVN02000153.1.region001	191
ACWY01000060.1.region001	218
GG740015.1.region001	218
ACYA01000001.1.region001	219
ACYA01000063.1.region001	225
ACYA01000091.1.region001	226
AGEM01000013.1.region001	425
AGEQ01000007.1.region001	428
AGEQ01000011.1.region001	429
AIIG01003919.1.region001	495
AIIJ01000538.1.region001	508
AIIJ01001893.1.region001	539
AL009126.3.region003	556
AL009126.3.region006	559
AL589148.1.region001	566
AL645882.2.region002	569
CP009124.1.region025	569
CP011664.1.region002	569
AL645882.2.region027	594
CP009124.1.region002	594
ALIX01000357.1.region001	605
ALIX01000357.1.region002	606
ALIX01000480.1.region001	610
ALOA01000018.1.region001	619
JH815185.1.region002	619
ALVU02000001.1.region002	621
ALVZ01000137.1.region001	629
ALVZ01000159.1.region001	632
ALVZ01000226.1.region001	636
ALWB01000151.1.region001	643
AM747722.1.region001	661
CP000380.1.region001	661
LAUA01000003.1.region001	661
AP008231.1.region002	697
AP008231.1.region003	698
AP009324.1.region004	702
BA000033.2.region005	702
BX571856.1.region005	702
CP000253.1.region005	702
CP000255.1.region005	702
CP000736.1.region004	702
CP001844.2.region004	702
CP003045.1.region005	702
CP003603.1.region005	702
AP009552.1.region009	711
AP019314.1.region004	711
JXYX01000007.1.region001	711
AP018314.1.region003	729
AP018314.1.region004	730
AP018314.1.region007	733
AP009552.1.region007	735
AP019314.1.region002	735
BEYQ01000009.1.region001	735
CP020771.1.region006	735
JXYX01000019.1.region001	735
AQFP01000003.1.region001	745
ARHU01000003.1.region001	971
KB897773.1.region001	971
AUEV01000018.1.region003	1104
AUFD01000019.1.region002	1123
AUKN01000003.1.region002	1166
AUKN01000003.1.region004	1168
PEFS01000001.1.region011	1168
AUKN01000014.1.region001	1177
AUKO01000003.1.region003	1191
AUKO01000018.1.region001	1196
AUKQ01000006.1.region001	1253
AUKR01000007.1.region001	1275
AUKR01000007.1.region002	1276
AUKR01000010.1.region001	1277
AUKR01000014.1.region001	1279
AUKR01000016.1.region002	1282
AUKR01000036.1.region001	1287
AUKW01000001.1.region001	1292
AUKW01000003.1.region001	1299
AUKW01000003.1.region002	1300
AUKW01000010.1.region001	1305
AUKW01000019.1.region001	1310
AWEV01000046.1.region001	1329
AWEV01000047.1.region001	1330
AWEV01000114.1.region001	1339
AWEV01000244.1.region001	1344
AWEV01000328.1.region001	1350
AXCT02000033.1.region001	1358
AXCT02000035.1.region001	1359
AXCT02000071.1.region002	1367
AXCT02000362.1.region001	1379
AXCT02000499.1.region001	1384
AIIJ01001017.1.region001	1406
ARBB01000003.1.region008	1406
ARGG01000060.1.region005	1406
ARGH01000073.1.region001	1406
ARGJ01000064.1.region001	1406
ARGK01000104.1.region002	1406
AUGH01000017.1.region001	1406
AXVR01000034.1.region001	1406
AZVX01000004.1.region003	1406
AZVY01000002.1.region008	1406
AZWB01000004.1.region006	1406
AZWJ01000025.1.region001	1406
AZWQ01000005.1.region004	1406
AZXH01000017.1.region001	1406
JAASAV010000028.region002	1406
JAASAW010000062.region001	1406
JAASAX010000010.region001	1406
AXVU01000001.1.region001	1416
AXVU01000022.1.region001	1429
AXVU01000031.1.region001	1434
AXVU01000055.1.region001	1439
AZUS01000007.1.region001	1482
AZUS01000023.1.region001	1491
PPFB01000001.1.region017	1491
ABYX02000001.1.region023	1499
AL645882.2.region022	1499
AQPE01000075.1.region002	1499
ARIM01000059.1.region002	1499
ARJI01000056.1.region001	1499
AZUS01000042.1.region001	1499
AZXC01000017.1.region002	1499
BGC0000663.1	1499
CP003219.1.region019	1499
CP009124.1.region005	1499
CP011664.1.region019	1499
CP049782.1.region008	1499
DS999641.1.region006	1499
GG657758.1.region004	1499
JNLT01000002.1.region002	1499
JOIW01000005.1.region001	1499
KB846715.1.region002	1499
KB898270.1.region009	1499
KE354160.1.region001	1499
LNBE01000003.1.region005	1499
PPFB01000001.1.region007	1499
PTJS01000001.1.region007	1499
ARGJ01000047.1.region001	1566
ARGK01000095.1.region002	1566
AUGH01000030.1.region001	1566
AZVY01000018.1.region001	1566
AZWB01000022.1.region001	1566
AZWJ01000024.1.region001	1566
AZWL01000011.1.region002	1598
AZWL01000044.1.region001	1607
AZWL01000085.1.region001	1618
ARBB01000004.1.region002	1628
ARGG01000017.1.region001	1628
ARGH01000035.1.region001	1628
AXVR01000056.1.region001	1628
AZVX01000014.1.region001	1628
AZWQ01000013.1.region001	1628
AZXH01000003.1.region001	1628
BGC0001087.1	1628
JAASAV010000012.region001	1628
JACHIZ010000001.region016	1628
MDRX01000001.1.region012	1628
AZWZ01000009.1.region001	1649
AZWZ01000029.1.region001	1666
AQPE01000054.1.region001	1690
ARIM01000051.1.region001	1690
AZXC01000009.1.region002	1690
KB846732.1.region001	1690
KB898277.1.region001	1690
BA000019.2.region006	1761
CP000117.1.region013	1761
BA000019.2.region007	1762
BAFR01000022.1.region001	1776
BAFR01000030.1.region001	1779
BAFR01000059.1.region001	1781
BAFR01000073.1.region001	1784
BAGG01000051.1.region001	1784
BAFR01000121.1.region001	1792
BDBM01000035.1.region001	1792
