BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABCS01000001.1.region001	ABCS01000001.1	ABCS01000001.1 Plesiocystis pacifica SIR-1 1103186006202, whole genome shotgun sequence	terpene	Terpene		
ABCS01000011.1.region001	ABCS01000011.1	ABCS01000011.1 Plesiocystis pacifica SIR-1 1103186006224, whole genome shotgun sequence	terpene	Terpene		
ABCS01000021.1.region001	ABCS01000021.1	ABCS01000021.1 Plesiocystis pacifica SIR-1 1103186006200, whole genome shotgun sequence	terpene	Terpene		
ABCS01000037.1.region001	ABCS01000037.1	ABCS01000037.1 Plesiocystis pacifica SIR-1 1103186006263, whole genome shotgun sequence	terpene	Terpene		
ABCS01000038.1.region001	ABCS01000038.1	ABCS01000038.1 Plesiocystis pacifica SIR-1 1103186006194, whole genome shotgun sequence	terpene	Terpene		
ABCS01000075.1.region001	ABCS01000075.1	ABCS01000075.1 Plesiocystis pacifica SIR-1 1103186006312, whole genome shotgun sequence	terpene	Terpene		
ABJH01000022.1.region001	ABJH01000022.1	ABJH01000022.1 Streptomyces clavuligerus strain ATCC 27064 cont1.22, whole genome shotgun sequence	terpene	Terpene		
ABJH01000031.1.region001	ABJH01000031.1	ABJH01000031.1 Streptomyces clavuligerus strain ATCC 27064 cont1.31, whole genome shotgun sequence	terpene.amglyccycl	Others		
ABJH01000136.1.region001	ABJH01000136.1	ABJH01000136.1 Streptomyces clavuligerus strain ATCC 27064 cont1.136, whole genome shotgun sequence	terpene	Terpene		
ABJH01000155.1.region001	ABJH01000155.1	ABJH01000155.1 Streptomyces clavuligerus strain ATCC 27064 cont1.155, whole genome shotgun sequence	terpene.NRPS	Others		
ABJH01000207.1.region001	ABJH01000207.1	ABJH01000207.1 Streptomyces clavuligerus strain ATCC 27064 cont1.207, whole genome shotgun sequence	terpene	Terpene		
ABJH01000209.1.region001	ABJH01000209.1	ABJH01000209.1 Streptomyces clavuligerus strain ATCC 27064 cont1.209, whole genome shotgun sequence	lanthipeptide.terpene	Others		
ABJH01000280.1.region001	ABJH01000280.1	ABJH01000280.1 Streptomyces clavuligerus strain ATCC 27064 cont1.280, whole genome shotgun sequence	terpene	Terpene		
ABJH01000459.1.region001	ABJH01000459.1	ABJH01000459.1 Streptomyces clavuligerus strain ATCC 27064 cont1.459, whole genome shotgun sequence	terpene	Terpene		
ABJH01000551.1.region001	ABJH01000551.1	ABJH01000551.1 Streptomyces clavuligerus strain ATCC 27064 cont1.551, whole genome shotgun sequence	terpene	Terpene		
ABYC01000041.1.region001	ABYC01000041.1	ABYC01000041.1 Streptomyces albidoflavus strain J1074 cont3.41, whole genome shotgun sequence	bacteriocin.terpene	Others		
ABYC01000351.1.region001	ABYC01000351.1	ABYC01000351.1 Streptomyces albidoflavus strain J1074 cont3.351, whole genome shotgun sequence	terpene	Terpene		
ABYC01000374.1.region001	ABYC01000374.1	ABYC01000374.1 Streptomyces albidoflavus strain J1074 cont3.374, whole genome shotgun sequence	terpene	Terpene		
ABYC01000471.1.region001	ABYC01000471.1	ABYC01000471.1 Streptomyces albidoflavus strain J1074 cont3.471, whole genome shotgun sequence	terpene	Terpene		
ABYC01000474.1.region001	ABYC01000474.1	ABYC01000474.1 Streptomyces albidoflavus strain J1074 cont3.474, whole genome shotgun sequence	terpene	Terpene		
ABYX02000001.1.region004	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	terpene	Terpene		
ABYX02000001.1.region016	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	terpene	Terpene		
ABYX02000001.1.region023	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	terpene	Terpene		
ACRC01000040.1.region001	ACRC01000040.1	ACRC01000040.1 Achromobacter xylosoxidans C54 cont1.40, whole genome shotgun sequence	terpene	Terpene		
ACRG01000004.1.region001	ACRG01000004.1	ACRG01000004.1 Neisseria mucosa C102 cont1.4, whole genome shotgun sequence	terpene	Terpene		
ACRG01000007.1.region001	ACRG01000007.1	ACRG01000007.1 Neisseria mucosa C102 cont1.7, whole genome shotgun sequence	terpene	Terpene		
ACVN02000153.1.region001	ACVN02000153.1	ACVN02000153.1 Propionibacterium acidifaciens F0233 ctg1127964738382, whole genome shotgun sequence	terpene	Terpene		
ACWY01000060.1.region001	ACWY01000060.1	ACWY01000060.1 Prevotella melaninogenica D18 cont1.60, whole genome shotgun sequence	terpene	Terpene		
ACYA01000001.1.region001	ACYA01000001.1	ACYA01000001.1 Cylindrospermopsis raciborskii CS-505 CS505_1, whole genome shotgun sequence	terpene	Terpene		
ACYA01000063.1.region001	ACYA01000063.1	ACYA01000063.1 Cylindrospermopsis raciborskii CS-505 CS505_62, whole genome shotgun sequence	terpene	Terpene		
ACYA01000091.1.region001	ACYA01000091.1	ACYA01000091.1 Cylindrospermopsis raciborskii CS-505 CS505_9, whole genome shotgun sequence	terpene	Terpene		
AGEM01000013.1.region001	AGEM01000013.1	AGEM01000013.1 Corynebacterium sp. HFH0082 acAqB-supercont-complete.C13, whole genome shotgun sequence	terpene	Terpene		
AGEQ01000007.1.region001	AGEQ01000007.1	AGEQ01000007.1 Paenisporosarcina sp. HGH0030 acAqH-supercont1.1.C7, whole genome shotgun sequence	terpene	Terpene		
AGEQ01000011.1.region001	AGEQ01000011.1	AGEQ01000011.1 Paenisporosarcina sp. HGH0030 acAqH-supercont1.1.C11, whole genome shotgun sequence	terpene	Terpene		
AIIG01003919.1.region001	AIIG01003919.1	AIIG01003919.1 Salinispora pacifica CNS-143 contig05338, whole genome shotgun sequence	terpene	Terpene		
AIIJ01000538.1.region001	AIIJ01000538.1	AIIJ01000538.1 Salinispora arenicola CNT-088 contig00584, whole genome shotgun sequence	terpene	Terpene		
AIIJ01001017.1.region001	AIIJ01001017.1	AIIJ01001017.1 Salinispora arenicola CNT-088 contig01124, whole genome shotgun sequence	terpene	Terpene		
AIIJ01001893.1.region001	AIIJ01001893.1	AIIJ01001893.1 Salinispora arenicola CNT-088 contig02110, whole genome shotgun sequence	terpene	Terpene		
AL009126.3.region003	AL009126.3	AL009126.3 Bacillus subtilis subsp. subtilis str. 168 complete genome	terpene	Terpene		
AL009126.3.region006	AL009126.3	AL009126.3 Bacillus subtilis subsp. subtilis str. 168 complete genome	terpene	Terpene		
AL589148.1.region001	AL589148.1	AL589148.1 Streptomyces coelicolor plasmid SCP1	terpene	Terpene		
AL645882.2.region002	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	terpene	Terpene		
AL645882.2.region012	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	terpene	Terpene		
AL645882.2.region017	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	terpene	Terpene		
AL645882.2.region022	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	terpene	Terpene		
AL645882.2.region027	AL645882.2	AL645882.2 Streptomyces coelicolor A3(2) complete genome	T3PKS.terpene.NRPS	Others		
ALIX01000005.1.region001	ALIX01000005.1	ALIX01000005.1 Burkholderia multivorans CF2 ctg100011134840, whole genome shotgun sequence	terpene	Terpene		
ALIX01000215.1.region001	ALIX01000215.1	ALIX01000215.1 Burkholderia multivorans CF2 ctg100011134881, whole genome shotgun sequence	terpene	Terpene		
ALIX01000357.1.region001	ALIX01000357.1	ALIX01000357.1 Burkholderia multivorans CF2 ctg100011134642, whole genome shotgun sequence	terpene	Terpene		
ALIX01000357.1.region002	ALIX01000357.1	ALIX01000357.1 Burkholderia multivorans CF2 ctg100011134642, whole genome shotgun sequence	terpene	Terpene		
ALIX01000480.1.region001	ALIX01000480.1	ALIX01000480.1 Burkholderia multivorans CF2 ctg100011134728, whole genome shotgun sequence	terpene	Terpene		
ALOA01000018.1.region001	ALOA01000018.1	ALOA01000018.1 Lachnoanaerobaculum sp. OBRC5-5 cont1.18, whole genome shotgun sequence	terpene	Terpene		
ALVU02000001.1.region002	ALVU02000001.1	ALVU02000001.1 Synechocystis sp. PCC 7509 SYN7509DRAFT_scaffold1.1_C, whole genome shotgun sequence	terpene	Terpene		
ALVZ01000137.1.region001	ALVZ01000137.1	ALVZ01000137.1 Xenococcus sp. PCC 7305 scaffold_00137, whole genome shotgun sequence	terpene	Terpene		
ALVZ01000159.1.region001	ALVZ01000159.1	ALVZ01000159.1 Xenococcus sp. PCC 7305 scaffold_00159, whole genome shotgun sequence	terpene	Terpene		
ALVZ01000226.1.region001	ALVZ01000226.1	ALVZ01000226.1 Xenococcus sp. PCC 7305 scaffold_00226, whole genome shotgun sequence	terpene	Terpene		
ALWB01000151.1.region001	ALWB01000151.1	ALWB01000151.1 Pseudanabaena biceps PCC 7429 scaffold_00151, whole genome shotgun sequence	terpene	Terpene		
AM747720.1.region003	AM747720.1	AM747720.1 Burkholderia cenocepacia J2315 chromosome 1, complete genome	terpene	Terpene		
AM747721.1.region004	AM747721.1	AM747721.1 Burkholderia cenocepacia J2315 chromosome 2, complete genome	terpene	Terpene		
AM747721.1.region006	AM747721.1	AM747721.1 Burkholderia cenocepacia J2315 chromosome 2, complete genome	terpene	Terpene		
