#BGC Name	Family Number
ABCS01000025.1.region001	11
ABCS01000094.1.region001	20
ABCS01000172.1.region001	25
ABCS01000180.1.region001	26
ABCS01000182.1.region001	27
ABCS01000198.1.region001	29
ABCS01000201.1.region001	30
ABCS01000213.1.region001	31
ABYX02000001.1.region003	34
AHCD02000036.1.region001	101
AL645882.2.region019	148
BGC0000038.1	148
CP009124.1.region008	148
ALVZ01000136.1.region001	167
AUEV01000003.1.region001	219
AUEV01000019.1.region002	232
AUFD01000012.1.region003	244
AUFD01000018.1.region001	247
AUFD01000029.1.region001	251
AUFD01000037.1.region001	254
AUFD01000040.1.region001	255
AUFD01000043.1.region001	256
AUFD01000044.1.region001	257
AUFD01000056.1.region001	258
AUKN01000047.1.region001	286
AUKO01000001.1.region001	288
AUKO01000020.1.region001	300
AUKO01000026.1.region001	301
AUKP01000014.1.region001	317
AXVU01000001.1.region002	317
AZWZ01000040.1.region001	317
KB897635.1.region001	317
KB897658.1.region001	317
KB897727.1.region001	317
KI911459.1.region003	317
AUKP01000061.1.region001	339
AUKP01000063.1.region001	341
AZWZ01000071.1.region001	341
KB897430.1.region001	341
KB897668.1.region001	341
AUKP01000065.1.region001	342
AZWL01000072.1.region001	342
JNID01000054.1.region001	342
KB897428.1.region001	342
AUKP01000068.1.region001	343
AUKP01000069.1.region001	344
AUKP01000072.1.region001	345
AUKP01000090.1.region001	347
AUKQ01000003.1.region001	348
BGC0001172.1	348
AUKR01000011.1.region001	379
AUKR01000033.1.region001	386
AUKR01000040.1.region001	389
AUKR01000043.1.region001	390
KB899032.1.region001	390
AUKR01000047.1.region001	391
AUKR01000061.1.region001	392
AUKW01000002.1.region002	397
AUKW01000010.1.region002	407
AUKW01000019.1.region001	411
AUKW01000027.1.region001	415
AUKW01000028.1.region001	416
AUKW01000029.1.region001	417
AUKW01000035.1.region001	419
AUKW01000036.1.region001	420
AUKW01000037.1.region001	421
AUKP01000056.1.region001	447
AXVU01000064.1.region001	447
AZWL01000058.1.region001	447
AZWZ01000062.1.region001	447
JNID01000046.1.region001	447
KB897418.1.region001	447
AXVU01000112.1.region001	456
AZUS01000007.1.region001	480
AZUS01000007.1.region002	481
AZUS01000008.1.region001	482
AZUS01000047.1.region001	498
AZUS01000048.1.region001	499
AZWL01000004.1.region001	506
AZWL01000022.1.region001	523
AZWL01000075.1.region001	533
AZWZ01000075.1.region001	533
JNID01000062.1.region001	533
JNID01000064.1.region001	533
KB897762.1.region001	533
AZWL01000077.1.region001	535
KB897433.1.region001	535
KB897682.1.region001	535
AUKP01000005.1.region001	542
AXVU01000052.1.region001	542
AZWL01000005.1.region001	542
AZWZ01000002.1.region003	542
JNID01000024.1.region001	542
KB897383.1.region001	542
AXVU01000079.1.region001	575
AZWL01000070.1.region001	575
AZWZ01000070.1.region001	575
KB897758.1.region001	575
AZXC01000013.1.region001	588
AZXC01000013.1.region003	590
BGC0000035.1	678
BGC0000047.1	678
BGC0001396.1	678
CP011664.1.region021	678
BGC0000052.1	695
BGC0001581.1	695
BGC0001662.1	695
CP011664.1.region008	695
BGC0000127.1	769
CP000076.1.region005	769
BGC0001028.1	1656
CP001037.1.region004	1656
BGC0001043.1	1671
JNLT01000002.1.region001	1671
JOIW01000005.1.region006	1671
BGC0000958.1	1839
BGC0001216.1	1839
KB898240.1.region001	1839
BGC0000028.1	1855
BGC0001232.1	1855
BGC0001348.1	1855
